BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolation_source	Sample_Name	Strain	biotic_relationship	flowcell_barcode (run)	geographic_location_(country_and/or_sea	instrument_name (run)	lane (run)	material_type (exp)	project (exp)	project (run)	run_barcode (run)	run_name (run)	work_request (exp)	work_request (run)	analysis_type (exp)	ArrayExpress-Phenotype	gssr_ids (exp)
PRJNA60363	SRR157496	WGS	202	15006494958	SAMN00139641	4152743610	BI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX000918	Illumina HiSeq 2000	Solexa-56261	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2011-03-31T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	NA	B016AABXX	missing	SL-HBM	7	Voucher	G5041	G5041	B016AABXX110201	110201_SL-HBM_0079_AFCB016AABXX	23486	23486	NA	71253.11, 71253.12, 71253.17, 71253.18	71253.11, 71253.12, 71253.17, 71253.18
PRJNA60363	SRR077260	WGS	202	18488993744	SAMN00139641	10963501603	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033029	Illumina HiSeq 2000	Solexa-46547	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	80N8HABXX	missing	SL-HAA	1	Voucher	G5041	G5041	80N8HABXX101109	101109_SL-HAA_0206_AFC80N8HABXX	23979	23979	AssemblyWithReference	29238.16, 29238.17	29238.16, 29238.17
PRJNA60363	SRR077261	WGS	152	9538257640	SAMN00139641	2544215989	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033030	Illumina HiSeq 2000	Solexa-42047	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	2094JABXX	missing	SL-HAK	6	Voucher	G5041	G5041	2094JABXX100903	100903_SL-HAK_0230_AFC2094JABXX	23486	23486	AssemblyWithReference	71253.10, 71253.6, 71253.7, 71253.8	71253.10, 71253.6, 71253.7, 71253.8
PRJNA60363	SRR077262	WGS	72	4852189368	SAMN00139641	2411913265	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033031	Illumina HiSeq 2000	Solexa-32988	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	202PAABXX	missing	SL-HAC	8	Voucher	G5041	G5041	202PAABXX100623	100623_SL-HAC_0225_AFC202PAABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077263	WGS	152	9084311464	SAMN00139641	2940083001	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033030	Illumina HiSeq 2000	Solexa-42047	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	2094JABXX	missing	SL-HAK	2	Voucher	G5041	G5041	2094JABXX100903	100903_SL-HAK_0230_AFC2094JABXX	23486	23486	AssemblyWithReference	71253.10, 71253.6, 71253.7, 71253.8	71253.10, 71253.6, 71253.7, 71253.8
PRJNA60363	SRR077264	WGS	202	16360789212	SAMN00139641	9446330524	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033032	Illumina HiSeq 2000	Solexa-42102	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	8018VABXX	missing	SL-HAF	7	Voucher	G5041	G5041	8018VABXX100916	100916_SL-HAF_0097_BFC8018VABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077265	WGS	202	14971102336	SAMN00139641	8856802791	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033033	Illumina HiSeq 2000	Solexa-46545	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	80N8HABXX	missing	SL-HAA	3	Voucher	G5041	G5041	80N8HABXX101109	101109_SL-HAA_0206_AFC80N8HABXX	23979	23979	AssemblyWithReference	29238.16, 29238.17	29238.16, 29238.17
PRJNA60363	SRR077266	WGS	88	7535977152	SAMN00139641	4288133740	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033034	Illumina HiSeq 2000	Solexa-42103	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	20968ABXX	missing	SL-HAF	6	Voucher	G5041	G5041	20968ABXX100905	100905_SL-HAF_0094_AFC20968ABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077267	WGS	152	8527124000	SAMN00139641	2657488944	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033035	Illumina HiSeq 2000	Solexa-42049	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	2094JABXX	missing	SL-HAK	8	Voucher	G5041	G5041	2094JABXX100903	100903_SL-HAK_0230_AFC2094JABXX	23486	23486	AssemblyWithReference	71253.19, 71253.20, 71253.22, 71253.23	71253.19, 71253.20, 71253.22, 71253.23
PRJNA60363	SRR077268	WGS	72	6007111704	SAMN00139641	3117892546	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033036	Illumina HiSeq 2000	Solexa-32987	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	202PAABXX	missing	SL-HAC	5	Voucher	G5041	G5041	202PAABXX100623	100623_SL-HAC_0225_AFC202PAABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
