BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA634228	SRR11822945	WGS	300	28525184700	SAMN14987184	10186593357	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373571	Illumina HiSeq 4000	SMQWGS2-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822946	WGS	300	28003489500	SAMN14987184	9949894951	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373570	Illumina HiSeq 4000	SMQWGS1-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822947	WGS	300	4774151700	SAMN14987184	1987174018	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373569	Illumina HiSeq 4000	SMQWGS10-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822948	WGS	300	5121598200	SAMN14987184	2138133672	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373568	Illumina HiSeq 4000	SMQWGS9-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822949	WGS	300	2223825300	SAMN14987184	797933778	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373567	Illumina HiSeq 4000	SMQWGS8-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822951	WGS	300	2285930400	SAMN14987184	825514015	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373565	Illumina HiSeq 4000	SMQWGS6-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822952	WGS	300	2274452700	SAMN14987184	817457217	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373564	Illumina HiSeq 4000	SMQWGS5-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822953	WGS	300	28212118200	SAMN14987184	9987070644	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373563	Illumina HiSeq 4000	SMQWGS4-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822954	WGS	300	25752569700	SAMN14987184	9184842387	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8373562	Illumina HiSeq 4000	SMQWGS3-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065790	WGS	300	10985467500	SAMN16789468	3755692871	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513815	Illumina HiSeq 4000	QHXN02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp10	SRP262565	Model organism or animal	unknown	breast muscle replicate 9	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065791	WGS	300	12046955700	SAMN16789467	4145503397	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513814	Illumina HiSeq 4000	QHXN01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp09	SRP262565	Model organism or animal	unknown	breast muscle replicate 8	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065792	WGS	300	10323913500	SAMN16789466	3501332240	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513813	Illumina HiSeq 4000	GSQY02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp08	SRP262565	Model organism or animal	unknown	breast muscle replicate 7	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065793	WGS	300	11879538900	SAMN16789465	4049419675	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513812	Illumina HiSeq 4000	GSQY01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp07	SRP262565	Model organism or animal	unknown	breast muscle replicate 6	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065795	WGS	300	11644243500	SAMN16789463	3958101944	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513810	Illumina HiSeq 4000	GXNN01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp05	SRP262565	Model organism or animal	unknown	breast muscle replicate 4	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065796	WGS	300	11345903700	SAMN16789462	3721173370	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513809	Illumina HiSeq 4000	GZGY02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp04	SRP262565	Model organism or animal	unknown	breast muscle replicate 3	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065797	WGS	300	12782943900	SAMN16789482	4085485977	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513808	Illumina HiSeq 4000	GDGZ02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp24	SRP262565	Model organism or animal	unknown	breast muscle replicate 23	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065798	WGS	300	11011171800	SAMN16789481	3559568988	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513807	Illumina HiSeq 4000	GDGZ01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp23	SRP262565	Model organism or animal	unknown	breast muscle replicate 22	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065799	WGS	300	10520468100	SAMN16789480	3554240343	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513806	Illumina HiSeq 4000	SXSL02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp22	SRP262565	Model organism or animal	unknown	breast muscle replicate 21	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065800	WGS	300	11991797700	SAMN16789479	4057881005	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513805	Illumina HiSeq 4000	SXSL01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp21	SRP262565	Model organism or animal	unknown	breast muscle replicate 20	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065801	WGS	300	10820506500	SAMN16789461	3584053126	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513804	Illumina HiSeq 4000	GZGY01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp03	SRP262565	Model organism or animal	unknown	breast muscle replicate 2	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
