BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Ecotype	Sample_Type	Sample_code	use_species
PRJNA642736	SRR12106887	WGS	299	30168411738	SAMN15398084	11631729918	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631115	Illumina NovaSeq 6000	HGS20_CapeWrath_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS20_CapeWrath	SRP269168	Model organism or animal	not applicable	missing	adult	Cape Wrath	pool	HGS20_CapeWrath	1
PRJNA642736	SRR12106874	WGS	302	3491254994	SAMN15398089	1263316771	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631128	Illumina NovaSeq 6000	HGS22_CapeWrath_Atlantic_Autumn_rg3	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS22_CapeWrath	SRP269168	Model organism or animal	not applicable	missing	adult	Cape Wrath	pool	HGS22_CapeWrath	1
PRJNA642736	SRR12106875	WGS	302	3534434048	SAMN15398089	1280068688	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631127	Illumina NovaSeq 6000	HGS22_CapeWrath_Atlantic_Autumn_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS22_CapeWrath	SRP269168	Model organism or animal	not applicable	missing	adult	Cape Wrath	pool	HGS22_CapeWrath	1
PRJNA642736	SRR12106876	WGS	300	28069268280	SAMN15398089	10722847729	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631126	Illumina NovaSeq 6000	HGS22_CapeWrath_Atlantic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS22_CapeWrath	SRP269168	Model organism or animal	not applicable	missing	adult	Cape Wrath	pool	HGS22_CapeWrath	1
PRJNA642736	SRR12106877	WGS	300	7321743600	SAMN15398036	3060630129	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631125	Illumina NovaSeq 6000	Pacific30_Vancouver_Pacific_rg1	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific30	SRP269168	Model organism or animal	not determined	missing	adult	Canada:Vancouver	individual	Pacific30	1
PRJNA642736	SRR12106879	WGS	302	2854402830	SAMN15398088	1020145627	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631123	Illumina NovaSeq 6000	HGS16_Orkney_NorthSea_Autumn_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS16_Orkney	SRP269168	Model organism or animal	not applicable	missing	adult	North Sea:Orkney	pool	HGS16_Orkney	1
PRJNA642736	SRR12106880	WGS	299	27330086242	SAMN15398088	10442346216	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631122	Illumina NovaSeq 6000	HGS16_Orkney_NorthSea_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS16_Orkney	SRP269168	Model organism or animal	not applicable	missing	adult	North Sea:Orkney	pool	HGS16_Orkney	1
PRJNA642736	SRR12106881	WGS	299	29289455092	SAMN15398087	11263231463	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631121	Illumina NovaSeq 6000	HGS18_CelticSea_Atlantic_AutumnWinter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS18_CelticSea	SRP269168	Model organism or animal	not applicable	missing	adult	Celtic Sea	pool	HGS18_CelticSea	1
PRJNA642736	SRR12106883	WGS	302	5934526802	SAMN15398086	2150257331	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631119	Illumina NovaSeq 6000	HGS21_Hebrides_Atlantic_Mixed_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS21_Hebrides	SRP269168	Model organism or animal	not applicable	missing	adult	North Sea:Hebrides	pool	HGS21_Hebrides	1
PRJNA642736	SRR12106884	WGS	302	25570846152	SAMN15398086	9787724265	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631118	Illumina NovaSeq 6000	HGS21_Hebrides_Atlantic_Mixed_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS21_Hebrides	SRP269168	Model organism or animal	not applicable	missing	adult	North Sea:Hebrides	pool	HGS21_Hebrides	1
