BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Strain	Breed	Cultivar	sub_species
PRJNA690558	SRR13394191	WGS	302	11819647008	SAMN17251358	3687569907	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813503	Illumina NovaSeq 6000	MRKM4	PAIRED	RANDOM	GENOMIC	Cyprinodon_brontotheroides	ILLUMINA	2021-01-09T00:00:00Z	MRKM4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	MRKM4	not applicable	not applicable	NA
PRJNA690558	SRR13394192	WGS	302	9083154944	SAMN17251357	2808465743	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813502	Illumina NovaSeq 6000	MRKM3	PAIRED	RANDOM	GENOMIC	Cyprinodon_brontotheroides	ILLUMINA	2021-01-09T00:00:00Z	MRKM3	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	MRKM3	not applicable	not applicable	NA
PRJNA690558	SRR13394193	WGS	302	10244181864	SAMN17251356	4782803016	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813501	Illumina NovaSeq 6000	MRKM2-2	PAIRED	RANDOM	GENOMIC	Cyprinodon_brontotheroides	ILLUMINA	2021-01-09T00:00:00Z	MRKM2-2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	MRKM2-2	not applicable	not applicable	NA
PRJNA690558	SRR13394194	WGS	302	9575445144	SAMN17251355	4333616342	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813500	Illumina NovaSeq 6000	MEG-Q1	PAIRED	RANDOM	GENOMIC	Megupsilon_aporus	ILLUMINA	2021-01-09T00:00:00Z	MEG-Q1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	MEG-Q1	not applicable	not applicable	NA
PRJNA690558	SRR13394195	WGS	302	11032061510	SAMN17251354	5111402547	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813499	Illumina NovaSeq 6000	ME2P1-1	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	ME2P1-1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	ME2P1-1	not applicable	not applicable	NA
PRJNA690558	SRR13394196	WGS	302	10134193162	SAMN17251353	3152544688	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813498	Illumina NovaSeq 6000	MAFA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_ovinus	ILLUMINA	2021-01-09T00:00:00Z	MAFA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	USA	North America	USA: Falmouth River in MA	MAFA1	not applicable	not applicable	ovinus
PRJNA690558	SRR13394197	WGS	302	7415989010	SAMN17251352	3311330143	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813497	Illumina NovaSeq 6000	LILP5	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	LILP5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	LILP5	not applicable	not applicable	NA
PRJNA690558	SRR13394198	WGS	302	8188416222	SAMN17251351	3804213283	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813496	Illumina NovaSeq 6000	LILP4-2	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	LILP4-2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	LILP4-2	not applicable	not applicable	NA
PRJNA690558	SRR13394199	WGS	302	7063173282	SAMN17251350	3206119484	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813495	Illumina NovaSeq 6000	LILM5	PAIRED	RANDOM	GENOMIC	Cyprinodon_brontotheroides	ILLUMINA	2021-01-09T00:00:00Z	LILM5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	LILM5	not applicable	not applicable	NA
PRJNA690558	SRR13394200	WGS	302	8588494648	SAMN17251349	4000889896	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813494	Illumina NovaSeq 6000	LILM4-2	PAIRED	RANDOM	GENOMIC	Cyprinodon_brontotheroides	ILLUMINA	2021-01-09T00:00:00Z	LILM4-2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	LILM4-2	not applicable	not applicable	NA
