Organism	BioProject	BioSample	SampleName	Sex	Isolate	Country	Continent	Locality	Strain
Passer_domesticus	PRJEB27649	SAMEA4785080	SAMEA4785080	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785081	SAMEA4785081	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785082	SAMEA4785082	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785083	SAMEA4785083	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785084	SAMEA4785084	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785085	SAMEA4785085	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785086	SAMEA4785086	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785088	SAMEA4785088	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785089	SAMEA4785089	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785111	SAMEA4785111	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785151	SAMEA4785151	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785152	SAMEA4785152	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785153	SAMEA4785153	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785154	SAMEA4785154	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJEB27649	SAMEA4785087	SAMEA4785087	NA	NA	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN02929199	8887266	female	8887266	Norway	Europe	Norway: Luroey municipality\, Aldra	missing
Passer_domesticus	PRJNA255814	SAMN06619701	8N73604	male	8N73604	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619700	8N73248	male	8N73248	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619699	8N06612	male	8N06612	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619698	8N05890	male	8N05890	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619697	8M72455	male	8M72455	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619696	8M71932	male	8M71932	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619695	8M31651	male	8M31651	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619694	8L89915	male	8L89915	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619693	8L64869	male	8L64869	NA	NA	NA	NA
Passer_domesticus	PRJNA255814	SAMN06619692	8L19786	male	8L19786	NA	NA	NA	NA
