Organism	BioProject	BioSample	SampleName	Sex	Isolate
Plectropomus_leopardus	PRJNA622646	SAMN14524154	Pl_09	hermaphrodite	Hainan_09
Plectropomus_leopardus	PRJNA622646	SAMN14524200	Pl_55	hermaphrodite	Hainan_55
Plectropomus_leopardus	PRJNA622646	SAMN14524152	Pl_07	hermaphrodite	Hainan_07
Plectropomus_leopardus	PRJNA622646	SAMN14524196	Pl_51	hermaphrodite	Hainan_51
Plectropomus_leopardus	PRJNA622646	SAMN14524193	Pl_48	hermaphrodite	Hainan_48
Plectropomus_leopardus	PRJNA622646	SAMN14524191	Pl_46	hermaphrodite	Hainan_46
Plectropomus_leopardus	PRJNA622646	SAMN14524151	Pl_06	hermaphrodite	Hainan_06
Plectropomus_leopardus	PRJNA622646	SAMN14524185	Pl_40	hermaphrodite	Hainan_40
Plectropomus_leopardus	PRJNA622646	SAMN14524183	Pl_38	hermaphrodite	Hainan_38
Plectropomus_leopardus	PRJNA622646	SAMN14524181	Pl_36	hermaphrodite	Hainan_36
Plectropomus_leopardus	PRJNA622646	SAMN14524179	Pl_34	hermaphrodite	Hainan_34
Plectropomus_leopardus	PRJNA622646	SAMN14524177	Pl_32	hermaphrodite	Hainan_32
Plectropomus_leopardus	PRJNA622646	SAMN14524176	Pl_31	hermaphrodite	Hainan_31
Plectropomus_leopardus	PRJNA622646	SAMN14524173	Pl_28	hermaphrodite	Hainan_28
Plectropomus_leopardus	PRJNA622646	SAMN14524171	Pl_26	hermaphrodite	Hainan_26
Plectropomus_leopardus	PRJNA622646	SAMN14524169	Pl_24	hermaphrodite	Hainan_24
Plectropomus_leopardus	PRJNA622646	SAMN14524167	Pl_22	hermaphrodite	Hainan_22
Plectropomus_leopardus	PRJNA622646	SAMN14524166	Pl_21	hermaphrodite	Hainan_21
Plectropomus_leopardus	PRJNA622646	SAMN14524165	Pl_20	hermaphrodite	Hainan_20
Plectropomus_leopardus	PRJNA622646	SAMN14524163	Pl_18	hermaphrodite	Hainan_18
Plectropomus_leopardus	PRJNA622646	SAMN14524161	Pl_16	hermaphrodite	Hainan_16
Plectropomus_leopardus	PRJNA622646	SAMN14524159	Pl_14	hermaphrodite	Hainan_14
Plectropomus_leopardus	PRJNA622646	SAMN14524157	Pl_12	hermaphrodite	Hainan_12
Plectropomus_leopardus	PRJNA622646	SAMN14524146	Pl_01	hermaphrodite	Hainan_01
Plectropomus_leopardus	PRJNA622646	SAMN14524156	Pl_11	hermaphrodite	Hainan_11
Plectropomus_leopardus	PRJNA622646	SAMN14524155	Pl_10	hermaphrodite	Hainan_10
Plectropomus_leopardus	PRJNA622646	SAMN14524153	Pl_08	hermaphrodite	Hainan_08
Plectropomus_leopardus	PRJNA622646	SAMN14524198	Pl_53	hermaphrodite	Hainan_53
Plectropomus_leopardus	PRJNA622646	SAMN14524197	Pl_52	hermaphrodite	Hainan_52
Plectropomus_leopardus	PRJNA622646	SAMN14524195	Pl_50	hermaphrodite	Hainan_50
Plectropomus_leopardus	PRJNA622646	SAMN14524194	Pl_49	hermaphrodite	Hainan_49
Plectropomus_leopardus	PRJNA622646	SAMN14524192	Pl_47	hermaphrodite	Hainan_47
Plectropomus_leopardus	PRJNA622646	SAMN14524190	Pl_45	hermaphrodite	Hainan_45
Plectropomus_leopardus	PRJNA622646	SAMN14524189	Pl_44	hermaphrodite	Hainan_44
Plectropomus_leopardus	PRJNA622646	SAMN14524187	Pl_42	hermaphrodite	Hainan_42
Plectropomus_leopardus	PRJNA622646	SAMN14524186	Pl_41	hermaphrodite	Hainan_41
Plectropomus_leopardus	PRJNA622646	SAMN14524182	Pl_37	hermaphrodite	Hainan_37
Plectropomus_leopardus	PRJNA622646	SAMN14524180	Pl_35	hermaphrodite	Hainan_35
Plectropomus_leopardus	PRJNA622646	SAMN14524178	Pl_33	hermaphrodite	Hainan_33
Plectropomus_leopardus	PRJNA622646	SAMN14524149	Pl_04	hermaphrodite	Hainan_04
Plectropomus_leopardus	PRJNA622646	SAMN14524175	Pl_30	hermaphrodite	Hainan_30
Plectropomus_leopardus	PRJNA622646	SAMN14524174	Pl_29	hermaphrodite	Hainan_29
Plectropomus_leopardus	PRJNA622646	SAMN14524172	Pl_27	hermaphrodite	Hainan_27
Plectropomus_leopardus	PRJNA622646	SAMN14524168	Pl_23	hermaphrodite	Hainan_23
Plectropomus_leopardus	PRJNA622646	SAMN14524164	Pl_19	hermaphrodite	Hainan_19
Plectropomus_leopardus	PRJNA622646	SAMN14524162	Pl_17	hermaphrodite	Hainan_17
Plectropomus_leopardus	PRJNA622646	SAMN14524160	Pl_15	hermaphrodite	Hainan_15
Plectropomus_leopardus	PRJNA622646	SAMN14524158	Pl_13	hermaphrodite	Hainan_13
Plectropomus_leopardus	PRJNA622646	SAMN14524147	Pl_02	hermaphrodite	Hainan_02
Plectropomus_leopardus	PRJNA622646	SAMN14524188	Pl_43	hermaphrodite	Hainan_43
Plectropomus_leopardus	PRJNA622646	SAMN14524184	Pl_39	hermaphrodite	Hainan_39
Plectropomus_leopardus	PRJNA622646	SAMN14524199	Pl_54	hermaphrodite	Hainan_54
Plectropomus_leopardus	PRJNA622646	SAMN14524148	Pl_03	hermaphrodite	Hainan_03
Plectropomus_leopardus	PRJNA622646	SAMN14524170	Pl_25	hermaphrodite	Hainan_25
