Organism	BioProject	BioSample	SampleName	Sex
Podarcis_muralis	PRJNA515813	SAMN10786402	Podarcis_muralis_TordeQuerol_Females_WGpoolseq_	female
Podarcis_muralis	PRJNA515813	SAMN10786404	Podarcis_muralis_HiC_lib1_	male
Podarcis_muralis	PRJNA515813	SAMN10786390	Podarcis_muralis_HiSeq_	male
Podarcis_muralis	PRJNA515813	SAMN10786391	Podarcis_muralis_Angostrina_Orange_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786392	Podarcis_muralis_Angostrina_OrangeWhite_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786393	Podarcis_muralis_Angostrina_OrangeYellow_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786394	Podarcis_muralis_Angostrina_White_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786395	Podarcis_muralis_Angostrina_Yellow_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786396	Podarcis_muralis_TordeQuerol_Orange_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786397	Podarcis_muralis_TordeQuerol_OrangeWhite_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786398	Podarcis_muralis_TordeQuerol_OrangeYellow_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786399	Podarcis_muralis_TordeQuerol_White_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786400	Podarcis_muralis_TordeQuerol_Yellow_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786401	Podarcis_muralis_lineage5_White_WGpoolseq_	male
Podarcis_muralis	PRJNA515813	SAMN10786405	Podarcis_muralis_HiC_lib2_	male
