BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Collection_date	Sample_Name	use_species
PRJDB2321	DRR013346	WGS	200	28455837600	SAMD00010024	16945030088	Takara Bio	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX012173	Illumina HiSeq 2000	EGK01_01P06_L2	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2014-09-01T00:00:00Z	SAMD00010024	DRP001132	NA	NA	NA	NA	NA	NA	NA	DRS012041	1
PRJNA477377	SRR7411976	WGS	300	1796781300	SAMN09469364	798979412	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283492	Illumina HiSeq 4000	Ppun_2_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_2	SRP151119	Model organism or animal	male	right pectoral fin	2	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411977	WGS	300	3282499800	SAMN09469374	1458136430	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283491	Illumina HiSeq 4000	Ppun_19_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_19	SRP151119	Model organism or animal	male	right pectoral fin	19	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411978	WGS	300	3761236200	SAMN09469358	1736913945	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283490	Illumina HiSeq 4000	Ppun_25_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_25	SRP151119	Model organism or animal	female	right pectoral fin	25	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411979	WGS	300	2342050200	SAMN09469357	1035759683	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283489	Illumina HiSeq 4000	Ppun_24_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_24	SRP151119	Model organism or animal	female	right pectoral fin	24	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411980	WGS	300	3143805000	SAMN09469356	1398400125	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283488	Illumina HiSeq 4000	Ppun_23_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_23	SRP151119	Model organism or animal	female	right pectoral fin	23	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411981	WGS	300	3231423000	SAMN09469376	1426815730	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283487	Illumina HiSeq 4000	Ppun_22_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_22	SRP151119	Model organism or animal	male	right pectoral fin	22	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411985	WGS	300	4397255100	SAMN09469359	2057950921	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283483	Illumina HiSeq 4000	Ppun_26_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_26	SRP151119	Model organism or animal	female	right pectoral fin	26	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411990	WGS	300	4370137800	SAMN09469373	1958904534	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283478	Illumina HiSeq 4000	Ppun_18_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_18	SRP151119	Model organism or animal	male	right pectoral fin	18	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411991	WGS	300	4770684600	SAMN09469354	2108094727	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283477	Illumina HiSeq 4000	Ppun_17_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_17	SRP151119	Model organism or animal	female	right pectoral fin	17	adult	Biwase_tide_pool	2017-04-19	NA	1
