BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Strain	use_species
PRJNA522329	SRR8585987	WGS	300	8425170300	SAMN10928557	2684126532	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386607	HiSeq X Ten	N03	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N03	SRP186117	Model organism or animal	not determined	fin	adult	N03	0
PRJNA522329	SRR8585988	WGS	300	6094281600	SAMN10928556	1855396153	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386606	HiSeq X Ten	N02	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N02	SRP186117	Model organism or animal	not determined	fin	adult	N02	0
PRJNA522329	SRR8585989	WGS	300	5771776800	SAMN10928559	1743958960	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386605	HiSeq X Ten	N07	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N07	SRP186117	Model organism or animal	not determined	fin	adult	N07	0
PRJNA522329	SRR8585990	WGS	300	6438200700	SAMN10928558	1967006091	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386604	HiSeq X Ten	N04	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N04	SRP186117	Model organism or animal	not determined	fin	adult	N04	0
PRJNA522329	SRR8586046	WGS	300	4747107600	SAMN10928570	1466261144	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386548	HiSeq X Ten	N29	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N29	SRP186117	Model organism or animal	not determined	fin	adult	N29	0
PRJNA522329	SRR8586051	WGS	300	5646610500	SAMN10928564	1701794130	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386543	HiSeq X Ten	N17	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N17	SRP186117	Model organism or animal	not determined	fin	adult	N17	0
PRJNA522329	SRR8586052	WGS	300	4739463000	SAMN10928565	1486772065	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386542	HiSeq X Ten	N20	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N20	SRP186117	Model organism or animal	not determined	fin	adult	N20	0
PRJNA522329	SRR8586053	WGS	300	3692457300	SAMN10928566	1146485154	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386541	HiSeq X Ten	N21	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N21	SRP186117	Model organism or animal	not determined	fin	adult	N21	0
PRJNA522329	SRR8586054	WGS	300	4104228900	SAMN10928567	1323304618	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386540	HiSeq X Ten	N22	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N22	SRP186117	Model organism or animal	not determined	fin	adult	N22	0
PRJNA522329	SRR8586055	WGS	300	4731801300	SAMN10928560	1539662216	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386539	HiSeq X Ten	N08	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N08	SRP186117	Model organism or animal	not determined	fin	adult	N08	0
PRJNA522329	SRR8586056	WGS	300	5209021200	SAMN10928561	1580969077	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386538	HiSeq X Ten	N09	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N09	SRP186117	Model organism or animal	not determined	fin	adult	N09	0
PRJNA522329	SRR8586058	WGS	300	5002021500	SAMN10928563	1532641232	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386536	HiSeq X Ten	N15	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N15	SRP186117	Model organism or animal	not determined	fin	adult	N15	0
PRJNA522329	SRR8586059	WGS	300	4590124800	SAMN10928568	1411827135	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386535	HiSeq X Ten	N23	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N23	SRP186117	Model organism or animal	not determined	fin	adult	N23	0
PRJNA522329	SRR8586060	WGS	300	4772584200	SAMN10928569	1495230694	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386534	HiSeq X Ten	N24	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N24	SRP186117	Model organism or animal	not determined	fin	adult	N24	0
PRJNA522329	SRR8586057	WGS	300	5034684000	SAMN10928562	1533293950	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386537	HiSeq X Ten	N13	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N13	SRP186117	Model organism or animal	not determined	fin	adult	N13	0
