Organism	BioProject	BioSample	SampleName	Sex	Strain
Takifugu_rubripes	PRJNA522329	SAMN10928628	R31	not determined	R31
Takifugu_rubripes	PRJNA522329	SAMN10928622	R24	not determined	R24
Takifugu_rubripes	PRJNA522329	SAMN10928623	R25	not determined	R25
Takifugu_rubripes	PRJNA522329	SAMN10928620	R22	not determined	R22
Takifugu_rubripes	PRJNA522329	SAMN10928621	R23	not determined	R23
Takifugu_rubripes	PRJNA522329	SAMN10928627	R29	not determined	R29
Takifugu_rubripes	PRJNA522329	SAMN10928625	R27	not determined	R27
Takifugu_rubripes	PRJNA522329	SAMN10928617	R19	not determined	R19
Takifugu_rubripes	PRJNA522329	SAMN10928616	R18	not determined	R18
Takifugu_rubripes	PRJNA522329	SAMN10928615	R17	not determined	R17
Takifugu_rubripes	PRJNA522329	SAMN10928613	R15	not determined	R15
Takifugu_rubripes	PRJNA522329	SAMN10928612	R14	not determined	R14
Takifugu_rubripes	PRJNA522329	SAMN10928611	R13	not determined	R13
Takifugu_rubripes	PRJNA522329	SAMN10928610	R12	not determined	R12
Takifugu_rubripes	PRJNA522329	SAMN10928619	R21	not determined	R21
Takifugu_rubripes	PRJNA522329	SAMN10928618	R20	not determined	R20
Takifugu_rubripes	PRJNA522329	SAMN10928601	R01	not determined	R01
Takifugu_rubripes	PRJNA522329	SAMN10928602	R02	not determined	R02
Takifugu_rubripes	PRJNA522329	SAMN10928603	R03	not determined	R03
Takifugu_rubripes	PRJNA522329	SAMN10928604	R04	not determined	R04
Takifugu_rubripes	PRJNA522329	SAMN10928605	R07	not determined	R07
Takifugu_rubripes	PRJNA522329	SAMN10928606	R08	not determined	R08
Takifugu_rubripes	PRJNA522329	SAMN10928607	R09	not determined	R09
Takifugu_rubripes	PRJNA522329	SAMN10928608	R10	not determined	R10
Takifugu_rubripes	PRJNA522329	SAMN10928609	R11	not determined	R11
Takifugu_rubripes	PRJNA522329	SAMN10928626	R28	not determined	R28
Takifugu_rubripes	PRJNA522329	SAMN10928624	R26	not determined	R26
Takifugu_rubripes	PRJNA522329	SAMN10928629	R32	not determined	R32
Takifugu_rubripes	PRJNA522329	SAMN10928614	R16	not determined	R16
