Organism	BioProject	BioSample	SampleName
Thunnus_albacares	PRJEB14402	SAMEA4032484	SAMEA4032484
Thunnus_albacares	PRJEB14402	SAMEA4032485	SAMEA4032485
Thunnus_albacares	PRJEB14402	SAMEA4032487	SAMEA4032487
Thunnus_albacares	PRJEB14402	SAMEA4032488	SAMEA4032488
Thunnus_albacares	PRJEB14402	SAMEA4032490	SAMEA4032490
Thunnus_albacares	PRJEB14402	SAMEA4032491	SAMEA4032491
Thunnus_albacares	PRJEB14402	SAMEA4032492	SAMEA4032492
Thunnus_albacares	PRJEB14402	SAMEA4032493	SAMEA4032493
Thunnus_albacares	PRJEB14402	SAMEA4032494	SAMEA4032494
Thunnus_albacares	PRJEB14402	SAMEA4032495	SAMEA4032495
Thunnus_albacares	PRJEB14402	SAMEA4032496	SAMEA4032496
Thunnus_albacares	PRJEB14402	SAMEA4032497	SAMEA4032497
Thunnus_albacares	PRJEB14402	SAMEA4032498	SAMEA4032498
Thunnus_albacares	PRJEB14402	SAMEA4032499	SAMEA4032499
Thunnus_albacares	PRJEB14402	SAMEA4032500	SAMEA4032500
Thunnus_albacares	PRJEB14402	SAMEA4032501	SAMEA4032501
Thunnus_albacares	PRJEB14402	SAMEA4032502	SAMEA4032502
Thunnus_albacares	PRJEB14402	SAMEA4032503	SAMEA4032503
Thunnus_albacares	PRJEB14402	SAMEA4032504	SAMEA4032504
Thunnus_albacares	PRJEB14402	SAMEA4032505	SAMEA4032505
Thunnus_albacares	PRJEB14402	SAMEA4032506	SAMEA4032506
Thunnus_albacares	PRJEB14402	SAMEA4032507	SAMEA4032507
Thunnus_albacares	PRJEB14402	SAMEA4032508	SAMEA4032508
Thunnus_albacares	PRJEB14402	SAMEA4032509	SAMEA4032509
Thunnus_albacares	PRJEB14402	SAMEA4032510	SAMEA4032510
Thunnus_albacares	PRJEB14402	SAMEA4032511	SAMEA4032511
Thunnus_albacares	PRJEB14402	SAMEA4032512	SAMEA4032512
Thunnus_albacares	PRJEB14402	SAMEA4032513	SAMEA4032513
Thunnus_albacares	PRJEB14402	SAMEA4032514	SAMEA4032514
Thunnus_albacares	PRJEB14402	SAMEA4032515	SAMEA4032515
Thunnus_albacares	PRJEB14402	SAMEA4032516	SAMEA4032516
Thunnus_albacares	PRJEB14402	SAMEA4032517	SAMEA4032517
Thunnus_albacares	PRJEB14402	SAMEA4032518	SAMEA4032518
Thunnus_albacares	PRJEB14402	SAMEA4032519	SAMEA4032519
Thunnus_albacares	PRJEB14402	SAMEA4032520	SAMEA4032520
Thunnus_albacares	PRJEB14402	SAMEA4032521	SAMEA4032521
Thunnus_albacares	PRJEB14402	SAMEA4032522	SAMEA4032522
Thunnus_albacares	PRJEB14402	SAMEA4032523	SAMEA4032523
Thunnus_albacares	PRJEB14402	SAMEA4032524	SAMEA4032524
Thunnus_albacares	PRJEB14402	SAMEA4032525	SAMEA4032525
Thunnus_albacares	PRJEB14402	SAMEA4032489	SAMEA4032489
Thunnus_albacares	PRJEB14402	SAMEA4032486	SAMEA4032486
