BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR702300	WGS	250	6186183250	SAMEA2661233	2169366588	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646563	Illumina HiSeq 2000	11649592	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661233	ERP002088	ERS510447	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-08T20:05:54Z	public	ERS510447	Trematocranus placodon	NA	Trematocranus_placodon_2-sc-2016543	ERC000011	0
PRJEB1254	ERR702301	WGS	250	6142914750	SAMEA2661234	2173788347	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646564	Illumina HiSeq 2000	11649604	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661234	ERP002088	ERS510448	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-08T19:51:37Z	public	ERS510448	Trematocranus placodon	NA	Trematocranus_placodon_3-sc-2016544	ERC000011	0
PRJEB1254	ERR702302	WGS	250	6059166250	SAMEA2661235	2119464226	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646565	Illumina HiSeq 2000	11649616	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661235	ERP002088	ERS510449	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-08T19:11:50Z	public	ERS510449	Trematocranus placodon	NA	Trematocranus_placodon_4-sc-2016545	ERC000011	0
PRJEB1254	ERR702303	WGS	250	6393023250	SAMEA2661236	2261715368	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX646566	Illumina HiSeq 2000	11649628	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661236	ERP002088	ERS510450	2014-12-16	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2014-12-16T11:07:47Z	2018-03-08T20:05:54Z	public	ERS510450	Trematocranus placodon	NA	Trematocranus_placodon_5-sc-2016546	ERC000011	0
PRJEB1254	ERR266465	WGS	200	3984108400	SAMEA1877459	2703716040	SC	public	bam,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX240961	Illumina HiSeq 2000	6526469	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2013-05-05T00:00:00Z	SAMEA1877459	ERP002088	ERS198954	2013-04-29	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-04-29T17:02:48Z	2018-03-08T16:10:47Z	public	ERS198954	Trematocranus placodon	NA	Tremitochranus_placodon-sc-2012-12-14T14:26:30Z-1512695	NA	0
PRJEB1254	ERR266489	WGS	200	4296104200	SAMEA1877459	2946101311	SC	public	bam,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX240985	Illumina HiSeq 2000	6526469	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2013-05-05T00:00:00Z	SAMEA1877459	ERP002088	ERS198954	2013-04-29	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-04-29T17:02:48Z	2018-03-08T16:10:47Z	public	ERS198954	Trematocranus placodon	NA	Tremitochranus_placodon-sc-2012-12-14T14:26:30Z-1512695	NA	0
PRJEB1254	ERR266497	WGS	200	4287239000	SAMEA1877459	2951311223	SC	public	bam,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX240993	Illumina HiSeq 2000	6526469	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2013-05-05T00:00:00Z	SAMEA1877459	ERP002088	ERS198954	2013-04-29	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2013-04-29T17:02:48Z	2018-03-08T16:10:47Z	public	ERS198954	Trematocranus placodon	NA	Tremitochranus_placodon-sc-2012-12-14T14:26:30Z-1512695	NA	0
PRJEB15289	ERR1749412	WGS	302	30093909514	SAMEA4032041	13476130641	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818592	HiSeq X Ten	DN461233J:A3	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2016-12-07T00:00:00Z	ca292390-2348-11e6-a63e-3c4a9275d6c8	ERP017005	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Trematocranus placodon	NA	NA	0
PRJEB15289	ERR1749414	WGS	302	28578381404	SAMEA4032042	12825304702	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818594	HiSeq X Ten	DN461233J:C3	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2016-12-07T00:00:00Z	ca3c5d70-2348-11e6-a63e-3c4a9275d6c8	ERP017005	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Trematocranus placodon	NA	NA	0
PRJEB15289	ERR1749461	WGS	302	31586387172	SAMEA4032043	13900297697	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818641	HiSeq X Ten	DN461233J:E3	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2016-12-07T00:00:00Z	ca4f7040-2348-11e6-a63e-3c4a9275d6c8	ERP017005	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Trematocranus placodon	NA	NA	0
