BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA690558	SRR13394195	WGS	302	11032061510	SAMN17251354	5111402547	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813499	Illumina NovaSeq 6000	ME2P1-1	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	ME2P1-1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	ME2P1-1	not applicable	not applicable	0
PRJNA690558	SRR13394197	WGS	302	7415989010	SAMN17251352	3311330143	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813497	Illumina NovaSeq 6000	LILP5	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	LILP5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	LILP5	not applicable	not applicable	0
PRJNA690558	SRR13394198	WGS	302	8188416222	SAMN17251351	3804213283	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813496	Illumina NovaSeq 6000	LILP4-2	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	LILP4-2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	LILP4-2	not applicable	not applicable	0
PRJNA690558	SRR13394265	WGS	302	9316069726	SAMN17251290	2886638392	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813429	Illumina NovaSeq 6000	CRPP9	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	CRPP9	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	CRPP9	not applicable	not applicable	0
PRJNA690558	SRR13394268	WGS	302	8639465000	SAMN17251288	2684016510	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813426	Illumina NovaSeq 6000	CRPP7	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	CRPP7	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	CRPP7	not applicable	not applicable	0
PRJNA690558	SRR13394305	WGS	302	4950863576	SAMN17251414	1528043902	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813389	Illumina NovaSeq 6000	OYSP7	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OYSP7	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OYSP7	not applicable	not applicable	0
PRJNA690558	SRR13394306	WGS	302	12529828698	SAMN17251413	5170577006	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813388	Illumina NovaSeq 6000	OYSP6	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OYSP6	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OYSP6	not applicable	not applicable	0
PRJNA690558	SRR13394307	WGS	302	2365688008	SAMN17251412	1033861058	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813387	Illumina NovaSeq 6000	OYSP4	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OYSP4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OYSP4	not applicable	not applicable	0
PRJNA690558	SRR13394319	WGS	302	8813050372	SAMN17251401	2755406103	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813375	Illumina NovaSeq 6000	OSPP9	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OSPP9	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPP9	not applicable	not applicable	0
PRJNA690558	SRR13394321	WGS	302	8330596614	SAMN17251399	2587979958	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813373	Illumina NovaSeq 6000	OSPP7	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OSPP7	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPP7	not applicable	not applicable	0
PRJNA690558	SRR13394323	WGS	302	22477399148	SAMN17251398	10003594477	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813371	Illumina NovaSeq 6000	OSPP6	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OSPP6	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPP6	not applicable	not applicable	0
PRJNA690558	SRR13394324	WGS	302	10438350046	SAMN17251397	4429762696	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813370	Illumina NovaSeq 6000	OSPP5	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OSPP5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPP5	not applicable	not applicable	0
PRJNA690558	SRR13394326	WGS	302	8281446114	SAMN17251395	2585268890	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813368	Illumina NovaSeq 6000	OSPP11	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OSPP11	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPP11	not applicable	not applicable	0
PRJNA690558	SRR13394327	WGS	302	9980779276	SAMN17251394	3085744468	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813367	Illumina NovaSeq 6000	OSPP10	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OSPP10	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPP10	not applicable	not applicable	0
PRJNA690558	SRR13394270	WGS	302	8493569404	SAMN17251286	4019585621	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813424	Illumina NovaSeq 6000	CRPP4	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	CRPP4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	CRPP4	not applicable	not applicable	0
PRJNA690558	SRR13394266	WGS	302	9884458490	SAMN17251289	3101773530	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813428	Illumina NovaSeq 6000	CRPP8	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	CRPP8	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	CRPP8	not applicable	not applicable	0
PRJNA690558	SRR13394269	WGS	302	15967170652	SAMN17251287	7171555347	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813425	Illumina NovaSeq 6000	CRPP5	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	CRPP5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	CRPP5	not applicable	not applicable	0
PRJNA690558	SRR13394325	WGS	302	15144038546	SAMN17251396	6456778177	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813369	Illumina NovaSeq 6000	OSPP4	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OSPP4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPP4	not applicable	not applicable	0
PRJNA690558	SRR13394320	WGS	302	7609538394	SAMN17251400	2337857335	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.US	SRX9813374	Illumina NovaSeq 6000	OSPP8	PAIRED	RANDOM	GENOMIC	Cyprinodon_desquamator	ILLUMINA	2021-01-09T00:00:00Z	OSPP8	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPP8	not applicable	not applicable	0
