BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	geo_loc_name_country	geo_loc_name_country_continent	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	use_species
PRJEB7359	ERR700462	WGS	215	25778904300	SAMEA3175116	12932633350	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644797	Illumina HiSeq 2000	FSP08-001_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175116	ERP007074	male	Morocco	Africa	ERS628293	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:49Z	public	ERS628293	FSP08-001	FSP08-001	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700463	WGS	214	22661850200	SAMEA3175117	11119734323	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644798	Illumina HiSeq 2000	FSP08-002_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175117	ERP007074	female	Morocco	Africa	ERS628294	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628294	FSP08-002	FSP08-002	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700464	WGS	211	28987781200	SAMEA3175118	14590830512	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644799	Illumina HiSeq 2000	FSP08-006_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175118	ERP007074	female	Morocco	Africa	ERS628295	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628295	FSP08-006	FSP08-006	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700465	WGS	204	21220486200	SAMEA3175119	10197815731	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644800	Illumina HiSeq 2000	FSP08-007_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175119	ERP007074	male	Morocco	Africa	ERS628296	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628296	FSP08-007	FSP08-007	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700466	WGS	213	22280865300	SAMEA3175120	11199403536	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644801	Illumina HiSeq 2000	FSP08-009_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175120	ERP007074	male	Morocco	Africa	ERS628297	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628297	FSP08-009	FSP08-009	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700468	WGS	217	27425986000	SAMEA3175122	13775707923	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644803	Illumina HiSeq 2000	FSP08-011_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175122	ERP007074	female	Morocco	Africa	ERS628299	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628299	FSP08-011	FSP08-011	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700469	WGS	215	28237810400	SAMEA3175123	14232715648	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644804	Illumina HiSeq 2000	FSP08-012_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175123	ERP007074	female	Morocco	Africa	ERS628300	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628300	FSP08-012	FSP08-012	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700470	WGS	212	28592484050	SAMEA3175124	14568323177	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644805	Illumina HiSeq 2000	FSP08-014_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175124	ERP007074	male	Morocco	Africa	ERS628301	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628301	FSP08-014	FSP08-014	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700471	WGS	212	30464221450	SAMEA3175125	15185355990	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644806	Illumina HiSeq 2000	FSP08-015_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175125	ERP007074	male	Morocco	Africa	ERS628302	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:49Z	2014-12-12T13:05:50Z	public	ERS628302	FSP08-015	FSP08-015	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
PRJEB7359	ERR700472	WGS	211	32651609850	SAMEA3175126	15729451480	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX644807	Illumina HiSeq 2000	FSP08-017_450	PAIRED	unspecified	GENOMIC	Ficedula_speculigera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3175126	ERP007074	male	Morocco	Africa	ERS628303	2014-12-12	2018-11-16	Morocco	Uppsala University	Uppsala University	2014-12-12T17:01:50Z	2014-12-12T13:05:50Z	public	ERS628303	FSP08-017	FSP08-017	GCF_000247815.1	Provided by the Natural History Museum in Oslo	ERC000011	1
