BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601724	WGS	300	7322578200	SAMN14363112	2950638555	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085668	Illumina HiSeq 4000	34	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S8	SRP280296	Model organism or animal	missing	muscle-34	Not applicable	missing	missing-34	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-34	0
PRJNA612146	SRR12601744	WGS	300	6651436500	SAMN14363107	2682924576	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085648	Illumina HiSeq 4000	29	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S12	SRP280296	Model organism or animal	missing	muscle-29	Not applicable	missing	missing-29	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-29	0
PRJNA612146	SRR12601755	WGS	300	8272849800	SAMN14363106	3331974637	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085637	Illumina HiSeq 4000	28	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S11	SRP280296	Model organism or animal	missing	muscle-28	Not applicable	missing	missing-28	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-28	0
PRJNA612146	SRR12601771	WGS	300	7062925200	SAMN14363111	2829868044	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085621	Illumina HiSeq 4000	33	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S6	SRP280296	Model organism or animal	missing	muscle-33	Not applicable	missing	missing-33	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-33	0
PRJNA612146	SRR12601793	WGS	300	7894255800	SAMN14363109	3164115940	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085599	Illumina HiSeq 4000	31	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S4	SRP280296	Model organism or animal	missing	muscle-31	Not applicable	missing	missing-31	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-31	0
PRJNA612146	SRR12601813	WGS	300	9853665600	SAMN14363104	3774844947	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085579	Illumina HiSeq 4000	26	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_12	SRP280296	Model organism or animal	missing	muscle-26	Not applicable	missing	missing-26	Luanda\, Angola	Not applicable	Not applicable	Not applicable-26	0
PRJNA612146	SRR12601880	WGS	300	20244276900	SAMN14363098	7486482919	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085512	Illumina HiSeq 4000	20	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_4	SRP280296	Model organism or animal	missing	muscle-20	Not applicable	missing	missing-20	Luanda\, Angola	Not applicable	Not applicable	Not applicable-20	0
PRJNA612146	SRR12601902	WGS	300	9515171700	SAMN14363096	3821598704	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085490	Illumina HiSeq 4000	18	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_2	SRP280296	Model organism or animal	missing	muscle-18	Not applicable	missing	missing-18	Luanda\, Angola	Not applicable	Not applicable	Not applicable-18	0
PRJNA612146	SRR12601990	WGS	300	8653630200	SAMN14363101	3353061197	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085402	Illumina HiSeq 4000	23	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_8	SRP280296	Model organism or animal	missing	muscle-23	Not applicable	missing	missing-23	Luanda\, Angola	Not applicable	Not applicable	Not applicable-23	0
PRJNA612146	SRR12602001	WGS	300	8930477400	SAMN14363100	3451144772	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085391	Illumina HiSeq 4000	22	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_6	SRP280296	Model organism or animal	missing	muscle-22	Not applicable	missing	missing-22	Luanda\, Angola	Not applicable	Not applicable	Not applicable-22	0
PRJNA612146	SRR12601733	WGS	300	8450437500	SAMN14363108	3404626589	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085659	Illumina HiSeq 4000	30	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S3	SRP280296	Model organism or animal	missing	muscle-30	Not applicable	missing	missing-30	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-30	0
PRJNA612146	SRR12601802	WGS	300	7501723200	SAMN14363105	2995762007	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085590	Illumina HiSeq 4000	27	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S10	SRP280296	Model organism or animal	missing	muscle-27	Not applicable	missing	missing-27	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-27	0
PRJNA612146	SRR12601824	WGS	300	10554889800	SAMN14363103	4235130923	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085568	Illumina HiSeq 4000	25	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_11	SRP280296	Model organism or animal	missing	muscle-25	Not applicable	missing	missing-25	Luanda\, Angola	Not applicable	Not applicable	Not applicable-25	0
PRJNA612146	SRR12601891	WGS	300	8403439200	SAMN14363097	3392398753	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085501	Illumina HiSeq 4000	19	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_3	SRP280296	Model organism or animal	missing	muscle-19	Not applicable	missing	missing-19	Luanda\, Angola	Not applicable	Not applicable	Not applicable-19	0
PRJNA612146	SRR12601979	WGS	300	6732773700	SAMN14363102	2585366937	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085413	Illumina HiSeq 4000	24	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_10	SRP280296	Model organism or animal	missing	muscle-24	Not applicable	missing	missing-24	Luanda\, Angola	Not applicable	Not applicable	Not applicable-24	0
PRJNA612146	SRR12602012	WGS	300	8179442100	SAMN14363099	3131569991	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085380	Illumina HiSeq 4000	21	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_5	SRP280296	Model organism or animal	missing	muscle-21	Not applicable	missing	missing-21	Luanda\, Angola	Not applicable	Not applicable	Not applicable-21	0
PRJNA612146	SRR12601782	WGS	300	6994080600	SAMN14363110	2823600725	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085610	Illumina HiSeq 4000	32	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S5	SRP280296	Model organism or animal	missing	muscle-32	Not applicable	missing	missing-32	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-32	0
PRJNA612146	SRR12601949	WGS	300	7706744400	SAMN14363095	3042717196	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085443	Illumina HiSeq 4000	17	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_1	SRP280296	Model organism or animal	missing	muscle-17	Not applicable	missing	missing-17	Luanda\, Angola	Not applicable	Not applicable	Not applicable-17	0
