BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601685	WGS	300	5785984800	SAMN14363155	2434795734	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085707	Illumina HiSeq 4000	77	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_14	SRP280296	Model organism or animal	missing	muscle-77	Not applicable	missing	missing-77	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-77	1
PRJNA612146	SRR12601687	WGS	300	6036020700	SAMN14363153	2545863447	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085705	Illumina HiSeq 4000	75	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_12	SRP280296	Model organism or animal	missing	muscle-75	Not applicable	missing	missing-75	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-75	1
PRJNA612146	SRR12601688	WGS	300	6379106400	SAMN14363152	2693211263	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085704	Illumina HiSeq 4000	74	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_11	SRP280296	Model organism or animal	missing	muscle-74	Not applicable	missing	missing-74	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-74	1
PRJNA612146	SRR12601834	WGS	300	6409833900	SAMN14363150	2557483947	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085558	Illumina HiSeq 4000	72	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_9	SRP280296	Model organism or animal	missing	muscle-72	Not applicable	missing	missing-72	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-72	1
PRJNA612146	SRR12601838	WGS	300	8426275200	SAMN14363147	3367501121	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085554	Illumina HiSeq 4000	69	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_5	SRP280296	Model organism or animal	missing	muscle-69	Not applicable	missing	missing-69	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-69	1
PRJNA612146	SRR12601839	WGS	300	7150627200	SAMN14363146	2870287077	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085553	Illumina HiSeq 4000	68	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_4	SRP280296	Model organism or animal	missing	muscle-68	Not applicable	missing	missing-68	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-68	1
PRJNA612146	SRR12601841	WGS	300	10758947400	SAMN14363144	4293337091	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085551	Illumina HiSeq 4000	66	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_2	SRP280296	Model organism or animal	missing	muscle-66	Not applicable	missing	missing-66	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-66	1
PRJNA612146	SRR12601679	WGS	300	7863396000	SAMN14363160	3141892665	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085713	Illumina HiSeq 4000	82	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_19	SRP280296	Model organism or animal	missing	muscle-82	Not applicable	missing	missing-82	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-82	1
PRJNA612146	SRR12601680	WGS	300	14171242200	SAMN14363159	5304410886	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085712	Illumina HiSeq 4000	81	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_18	SRP280296	Model organism or animal	missing	muscle-81	Not applicable	missing	missing-81	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-81	1
PRJNA612146	SRR12601682	WGS	300	19581433800	SAMN14363158	7514448824	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085710	Illumina HiSeq 4000	80	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_17	SRP280296	Model organism or animal	missing	muscle-80	Not applicable	missing	missing-80	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-80	1
