BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601740	WGS	300	7661488200	SAMN14363362	3121177610	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085652	Illumina HiSeq 4000	284	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_S6	SRP280296	Model organism or animal	missing	muscle-284	Not applicable	missing	missing-284	Amapa\, Brazil	Not applicable	Not applicable	Not applicable-284	0
PRJNA612146	SRR12601742	WGS	300	7644113100	SAMN14363360	3082900447	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085650	Illumina HiSeq 4000	282	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_S4	SRP280296	Model organism or animal	missing	muscle-282	Not applicable	missing	missing-282	Amapa\, Brazil	Not applicable	Not applicable	Not applicable-282	0
PRJNA612146	SRR12601746	WGS	300	15843236700	SAMN14363357	6068522448	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085646	Illumina HiSeq 4000	279	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_14	SRP280296	Model organism or animal	missing	muscle-279	Not applicable	missing	missing-279	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-279	0
PRJNA612146	SRR12601750	WGS	300	10347294000	SAMN14363353	3993173520	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085642	Illumina HiSeq 4000	275	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_10	SRP280296	Model organism or animal	missing	muscle-275	Not applicable	missing	missing-275	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-275	0
PRJNA612146	SRR12601752	WGS	300	7635918000	SAMN14363351	2950160380	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085640	Illumina HiSeq 4000	273	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_8	SRP280296	Model organism or animal	missing	muscle-273	Not applicable	missing	missing-273	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-273	0
PRJNA612146	SRR12601753	WGS	300	8990633400	SAMN14363350	3409338400	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085639	Illumina HiSeq 4000	272	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_7	SRP280296	Model organism or animal	missing	muscle-272	Not applicable	missing	missing-272	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-272	0
PRJNA612146	SRR12601758	WGS	300	8189076900	SAMN14363346	3278501961	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085634	Illumina HiSeq 4000	268	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_3	SRP280296	Model organism or animal	missing	muscle-268	Not applicable	missing	missing-268	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-268	0
PRJNA612146	SRR12601760	WGS	300	8030774100	SAMN14363344	3141751816	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085632	Illumina HiSeq 4000	266	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_1	SRP280296	Model organism or animal	missing	muscle-266	Not applicable	missing	missing-266	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-266	0
PRJNA612146	SRR12601743	WGS	300	8641590300	SAMN14363359	3535575966	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085649	Illumina HiSeq 4000	281	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_S2	SRP280296	Model organism or animal	missing	muscle-281	Not applicable	missing	missing-281	Amapa\, Brazil	Not applicable	Not applicable	Not applicable-281	0
PRJNA612146	SRR12601745	WGS	300	8624107200	SAMN14363358	3417810672	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085647	Illumina HiSeq 4000	280	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_S1	SRP280296	Model organism or animal	missing	muscle-280	Not applicable	missing	missing-280	Amapa\, Brazil	Not applicable	Not applicable	Not applicable-280	0
