BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA612146	SRR12601694	WGS	300	8448998100	SAMN14363436	3438765652	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085698	Illumina HiSeq 4000	358	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_S2	SRP280296	Model organism or animal	missing	muscle-358	Not applicable	missing	missing-358	Tampa\, US	Not applicable	Not applicable	Not applicable-358	0
PRJNA612146	SRR12601699	WGS	300	10213305600	SAMN14363431	3974471952	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085693	Illumina HiSeq 4000	353	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_16	SRP280296	Model organism or animal	missing	muscle-353	Not applicable	missing	missing-353	Tampa\, US	Not applicable	Not applicable	Not applicable-353	0
PRJNA612146	SRR12601700	WGS	300	8282885700	SAMN14363430	3226837673	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085692	Illumina HiSeq 4000	352	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_15	SRP280296	Model organism or animal	missing	muscle-352	Not applicable	missing	missing-352	Tampa\, US	Not applicable	Not applicable	Not applicable-352	0
PRJNA612146	SRR12601704	WGS	300	8551338600	SAMN14363427	3381438941	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085688	Illumina HiSeq 4000	349	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_12	SRP280296	Model organism or animal	missing	muscle-349	Not applicable	missing	missing-349	Tampa\, US	Not applicable	Not applicable	Not applicable-349	0
PRJNA612146	SRR12601706	WGS	300	10071831300	SAMN14363425	3934188818	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085686	Illumina HiSeq 4000	347	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_10	SRP280296	Model organism or animal	missing	muscle-347	Not applicable	missing	missing-347	Tampa\, US	Not applicable	Not applicable	Not applicable-347	0
PRJNA612146	SRR12601708	WGS	300	8465968500	SAMN14363423	3320455790	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085684	Illumina HiSeq 4000	345	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_8	SRP280296	Model organism or animal	missing	muscle-345	Not applicable	missing	missing-345	Tampa\, US	Not applicable	Not applicable	Not applicable-345	0
PRJNA612146	SRR12601709	WGS	300	8571569100	SAMN14363422	3339157870	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085683	Illumina HiSeq 4000	344	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_7	SRP280296	Model organism or animal	missing	muscle-344	Not applicable	missing	missing-344	Tampa\, US	Not applicable	Not applicable	Not applicable-344	0
PRJNA612146	SRR12601711	WGS	300	10251673500	SAMN14363420	4120555296	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085681	Illumina HiSeq 4000	342	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_5	SRP280296	Model organism or animal	missing	muscle-342	Not applicable	missing	missing-342	Tampa\, US	Not applicable	Not applicable	Not applicable-342	0
PRJNA612146	SRR12601714	WGS	300	9644259600	SAMN14363418	3806504383	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085678	Illumina HiSeq 4000	340	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_3	SRP280296	Model organism or animal	missing	muscle-340	Not applicable	missing	missing-340	Tampa\, US	Not applicable	Not applicable	Not applicable-340	0
PRJNA612146	SRR12601695	WGS	300	8094512700	SAMN14363435	3326963591	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085697	Illumina HiSeq 4000	357	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_S1	SRP280296	Model organism or animal	missing	muscle-357	Not applicable	missing	missing-357	Tampa\, US	Not applicable	Not applicable	Not applicable-357	0
PRJNA612146	SRR12601698	WGS	300	8275495500	SAMN14363432	3260319086	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085694	Illumina HiSeq 4000	354	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_18	SRP280296	Model organism or animal	missing	muscle-354	Not applicable	missing	missing-354	Tampa\, US	Not applicable	Not applicable	Not applicable-354	0
PRJNA612146	SRR12601701	WGS	300	10366708800	SAMN14363429	4046509302	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085691	Illumina HiSeq 4000	351	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_14	SRP280296	Model organism or animal	missing	muscle-351	Not applicable	missing	missing-351	Tampa\, US	Not applicable	Not applicable	Not applicable-351	0
PRJNA612146	SRR12601703	WGS	300	10496903100	SAMN14363428	3968886795	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085689	Illumina HiSeq 4000	350	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_13	SRP280296	Model organism or animal	missing	muscle-350	Not applicable	missing	missing-350	Tampa\, US	Not applicable	Not applicable	Not applicable-350	0
