BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	sub_species	use_species
PRJEB27649	ERR2697442	WGS	298	33671077912	SAMEA4785058	13062758061	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711835	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785058	ERP109758	missing	ERS2604996	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2604996	CSP03_161116	CSP03_161116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697443	WGS	298	36902854384	SAMEA4785059	13995095847	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711836	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785059	ERP109758	missing	ERS2604997	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2604997	CSP17_151116	CSP17_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, J\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697444	WGS	NA	NA	SAMEA4785060	NA	UNIVERSITY OF OSLO	public	NA	NA	NA	ERX2711837	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785060	ERP109758	missing	ERS2604998	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2604998	CSP18_151116	CSP18_151116	NA	Spanish sparrow\, M\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697446	WGS	NA	NA	SAMEA4785062	NA	UNIVERSITY OF OSLO	public	NA	NA	NA	ERX2711839	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785062	ERP109758	missing	ERS2605000	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605000	CSP31_151116	CSP31_151116	NA	Spanish sparrow\, F\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697447	WGS	298	28969557041	SAMEA4785063	11642028143	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711840	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785063	ERP109758	missing	ERS2605001	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605001	CSP36_151116	CSP36_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697448	WGS	297	38724780418	SAMEA4785064	14656150725	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711841	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785064	ERP109758	missing	ERS2605002	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605002	CSP4_161116	CSP4_161116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697449	WGS	298	36016653568	SAMEA4785065	13789955829	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711842	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785065	ERP109758	missing	ERS2605003	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605003	CSP6_151116	CSP6_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697450	WGS	297	39725062313	SAMEA4785066	16096214300	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711843	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785066	ERP109758	missing	ERS2605004	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605004	CSP7_151116	CSP7_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697451	WGS	298	40323621357	SAMEA4785067	15477340024	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711844	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785067	ERP109758	missing	ERS2605005	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605005	CSP9_151116	CSP9_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Tenerife	ERC000011	NA	1
PRJEB27649	ERR2697452	WGS	298	36491847525	SAMEA4785068	14514296003	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711845	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785068	ERP109758	missing	ERS2605006	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605006	CSV01	CSV01	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Cape_Verde	ERC000011	NA	1
PRJEB27649	ERR2697453	WGS	298	36690128953	SAMEA4785069	14226005008	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711846	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785069	ERP109758	missing	ERS2605007	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605007	CVS02	CVS02	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Cape_Verde	ERC000011	NA	1
PRJEB27649	ERR2697454	WGS	200	11406835200	SAMEA4785070	4430210249	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711847	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785070	ERP109758	missing	ERS2605008	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605008	Crotone498	Crotone498	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697455	WGS	200	9632282200	SAMEA4785071	3823804770	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711848	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785071	ERP109758	missing	ERS2605009	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605009	Crotone500	Crotone500	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697456	WGS	200	10748749600	SAMEA4785072	4189714800	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711849	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785072	ERP109758	missing	ERS2605010	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605010	Crotone501	Crotone501	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697457	WGS	200	10452227000	SAMEA4785073	4051020652	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711850	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785073	ERP109758	missing	ERS2605011	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605011	Crotone502	Crotone502	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697458	WGS	200	9343840000	SAMEA4785074	3645295222	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711851	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785074	ERP109758	missing	ERS2605012	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605012	Crotone505	Crotone505	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697459	WGS	200	9424573200	SAMEA4785075	3698312466	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711852	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785075	ERP109758	missing	ERS2605013	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605013	Crotone510	Crotone510	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697460	WGS	200	10397976800	SAMEA4785076	4039530849	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711853	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785076	ERP109758	missing	ERS2605014	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605014	Crotone512	Crotone512	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697462	WGS	200	10890618400	SAMEA4785078	4172617350	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711855	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785078	ERP109758	missing	ERS2605016	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605016	Crotone517	Crotone517	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697463	WGS	200	11740498200	SAMEA4785079	4640911866	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711856	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785079	ERP109758	missing	ERS2605017	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605017	Crotone518	Crotone518	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	NA	1
PRJEB27649	ERR2697464	WGS	298	30214750305	SAMEA4785080	11170791995	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711857	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785080	ERP109758	missing	ERS2605018	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605018	FR041	FR041	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697465	WGS	298	36224219121	SAMEA4785081	14636954903	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711858	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785081	ERP109758	missing	ERS2605019	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605019	FR044	FR044	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697466	WGS	298	39190284009	SAMEA4785082	15513247626	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711859	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785082	ERP109758	missing	ERS2605020	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605020	FR046	FR046	GCA_001700915.1	House sparrow\, M\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697467	WGS	298	36300846656	SAMEA4785083	14395455886	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711860	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785083	ERP109758	missing	ERS2605021	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605021	FR048	FR048	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697468	WGS	297	38284658354	SAMEA4785084	15641913216	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711861	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785084	ERP109758	missing	ERS2605022	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605022	FR049	FR049	GCA_001700915.1	House sparrow\, M\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697469	WGS	298	36093178152	SAMEA4785085	13402329023	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711862	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785085	ERP109758	missing	ERS2605023	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605023	FR050	FR050	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697470	WGS	NA	NA	SAMEA4785086	NA	UNIVERSITY OF OSLO	public	NA	NA	NA	ERX2711863	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785086	ERP109758	missing	ERS2605024	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605024	FR051	FR051	NA	House sparrow\, M\, Sales_France	ERC000011	NA	1
