BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	gssr_ids (run)	use_species
PRJNA89109	SRR2014292	WGS	200	10640615200	SAMN03568550	7236926142	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009693	Illumina HiSeq 2000	2893717277	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-05-13T00:00:00Z	476505	SRP015682	missing	NA	1
PRJNA89109	SRR1997457	WGS	200	2028280400	SAMN03568563	1218533768	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009706	Illumina HiSeq 2000	2895001301	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476657	SRP015682	missing	NA	1
PRJNA89109	SRR1997458	WGS	200	2444210400	SAMN03568560	1467939138	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009703	Illumina HiSeq 2000	2895001304	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476645	SRP015682	missing	NA	1
PRJNA89109	SRR1997459	WGS	200	2423292600	SAMN03568562	1432498803	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009705	Illumina HiSeq 2000	2895001941	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476653	SRP015682	missing	NA	1
PRJNA89109	SRR1997464	WGS	200	2458875400	SAMN03568558	1459557836	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009701	Illumina HiSeq 2000	2894998976	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476637	SRP015682	missing	NA	1
PRJNA89109	SRR1997466	WGS	200	2434211800	SAMN03568564	1455102439	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009707	Illumina HiSeq 2000	2894997583	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476661	SRP015682	missing	NA	1
PRJNA89109	SRR1997518	WGS	200	2054269400	SAMN03568568	1211047502	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009711	Illumina HiSeq 2000	2895001303	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476686	SRP015682	missing	NA	1
PRJNA89109	SRR1997519	WGS	200	2132322000	SAMN03568559	1288462167	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009702	Illumina HiSeq 2000	2895001306	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476641	SRP015682	missing	NA	1
PRJNA89109	SRR1997521	WGS	200	1895026400	SAMN03568567	1129860413	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009710	Illumina HiSeq 2000	2894998977	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476682	SRP015682	missing	NA	1
PRJNA89109	SRR1997522	WGS	200	2033740600	SAMN03568563	1219164139	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009706	Illumina HiSeq 2000	2895001301	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476657	SRP015682	missing	NA	1
