BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Sample_Name	Strain	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	store_cond	birth_location	Alias	AssemblyName	Description	ENA_CHECKLIST	birth_date	use_species
PRJEB27649	ERR2697464	WGS	298	30214750305	SAMEA4785080	11170791995	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711857	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785080	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605018	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605018	FR041	NA	NA	FR041	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697465	WGS	298	36224219121	SAMEA4785081	14636954903	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711858	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785081	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605019	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605019	FR044	NA	NA	FR044	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697466	WGS	298	39190284009	SAMEA4785082	15513247626	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711859	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785082	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605020	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605020	FR046	NA	NA	FR046	GCA_001700915.1	House sparrow\, M\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697467	WGS	298	36300846656	SAMEA4785083	14395455886	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711860	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785083	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605021	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605021	FR048	NA	NA	FR048	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697468	WGS	297	38284658354	SAMEA4785084	15641913216	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711861	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785084	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605022	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605022	FR049	NA	NA	FR049	GCA_001700915.1	House sparrow\, M\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697469	WGS	298	36093178152	SAMEA4785085	13402329023	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711862	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785085	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605023	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605023	FR050	NA	NA	FR050	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697470	WGS	NA	NA	SAMEA4785086	NA	UNIVERSITY OF OSLO	public	NA	NA	NA	ERX2711863	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785086	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605024	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605024	FR051	NA	NA	FR051	NA	House sparrow\, M\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697472	WGS	298	36277339739	SAMEA4785088	14026863298	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711865	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785088	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605026	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605026	FR063	NA	NA	FR063	GCA_001700915.1	House sparrow\, M\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697473	WGS	298	31162364163	SAMEA4785089	12013133849	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711866	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785089	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605027	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605027	FR064	NA	NA	FR064	GCA_001700915.1	House sparrow\, M\, Sales_France	ERC000011	NA	1
PRJEB27649	ERR2697495	WGS	297	39032514100	SAMEA4785111	15500973373	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711888	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785111	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605049	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605049	PO250	NA	NA	PO250	GCA_001700915.1	House sparrow\, M\, Oslo_Norway	ERC000011	NA	1
