BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	ENA_CHECKLIST	use_species
PRJEB10586	ERR1013135	WGS	198	33859396900	SAMEA3532832	16343586905	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092159	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532832	ERP011851	missing	ERS839981	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:26Z	2015-09-09T21:52:43Z	public	ERS839981	long-tailed finch (BAM)	G111	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013137	WGS	198	64706248800	SAMEA3532834	30929255967	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092161	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532834	ERP011851	missing	ERS839983	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-09T21:52:43Z	public	ERS839983	long-tailed finch (BAM)	G163	Taeniopygia_guttata-3.2.4	ERC000011	1
PRJEB10586	ERR1013138	WGS	198	31717115400	SAMEA3532835	15597056746	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092162	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532835	ERP011851	missing	ERS839984	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:25Z	2015-09-09T21:52:43Z	public	ERS839984	long-tailed finch (BAM)	G169	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013139	WGS	199	23956734200	SAMEA3532836	11449674158	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092163	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532836	ERP011851	missing	ERS839985	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:26Z	2015-09-09T21:52:43Z	public	ERS839985	long-tailed finch (BAM)	G183	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013140	WGS	199	26767235200	SAMEA3532837	13049329153	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092164	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532837	ERP011851	missing	ERS839986	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-09T21:52:43Z	public	ERS839986	long-tailed finch (BAM)	G250	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013141	WGS	199	24116398700	SAMEA3532838	11603645556	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092165	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532838	ERP011851	missing	ERS839987	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:24Z	2015-09-09T21:52:43Z	public	ERS839987	long-tailed finch (BAM)	G276	Taeniopygia_guttata-3.2.4	ERC000011	1
PRJEB10586	ERR1013142	WGS	199	43955834400	SAMEA3532839	20744068618	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092166	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532839	ERP011851	missing	ERS839988	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:24Z	2015-09-09T21:52:43Z	public	ERS839988	long-tailed finch (BAM)	G294	Taeniopygia_guttata-3.2.4	ERC000011	1
PRJEB10586	ERR1013143	WGS	199	25439869300	SAMEA3532840	12362146555	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092167	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532840	ERP011851	missing	ERS839989	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:26Z	2015-09-09T21:52:43Z	public	ERS839989	long-tailed finch (BAM)	W2703	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013144	WGS	198	37597641900	SAMEA3532841	18246702726	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092168	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532841	ERP011851	missing	ERS839990	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:24Z	2015-09-09T21:52:43Z	public	ERS839990	long-tailed finch (BAM)	W2994	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013145	WGS	199	40209977700	SAMEA3532842	20730924181	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092169	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532842	ERP011851	missing	ERS839991	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:24Z	2015-09-09T21:52:43Z	public	ERS839991	long-tailed finch (BAM)	73783	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013146	WGS	198	54738071800	SAMEA3532843	26141372515	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092170	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532843	ERP011851	missing	ERS839992	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:24Z	2015-09-09T21:52:44Z	public	ERS839992	long-tailed finch (BAM)	73788	Taeniopygia_guttata-3.2.4	ERC000011	1
PRJEB10586	ERR1013147	WGS	199	35648252700	SAMEA3532844	16789099323	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092171	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532844	ERP011851	missing	ERS839993	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-09T21:52:44Z	public	ERS839993	long-tailed finch (BAM)	73790	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013148	WGS	199	25472856200	SAMEA3532845	12061076697	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092172	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532845	ERP011851	missing	ERS839994	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:22Z	2015-09-09T21:52:44Z	public	ERS839994	long-tailed finch (BAM)	73900	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013149	WGS	199	41928749300	SAMEA3532846	19899545106	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092173	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532846	ERP011851	missing	ERS839995	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-09T21:52:44Z	public	ERS839995	long-tailed finch (BAM)	73903	Taeniopygia_guttata-3.2.4	ERC000011	1
PRJEB10586	ERR1013150	WGS	199	26674571100	SAMEA3532847	12627924325	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092174	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532847	ERP011851	missing	ERS839996	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:25Z	2015-09-09T21:52:44Z	public	ERS839996	long-tailed finch (BAM)	73907	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013151	WGS	199	35768914900	SAMEA3532848	16851588449	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092175	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532848	ERP011851	missing	ERS839997	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:24Z	2015-09-09T21:52:44Z	public	ERS839997	long-tailed finch (BAM)	73933	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013153	WGS	199	28625774400	SAMEA3532850	13498949766	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092177	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532850	ERP011851	missing	ERS839999	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:25Z	2015-09-09T21:52:44Z	public	ERS839999	long-tailed finch (BAM)	73948	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013154	WGS	198	27203046300	SAMEA3532851	13104465009	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092178	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532851	ERP011851	missing	ERS840000	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:25Z	2015-09-09T21:52:44Z	public	ERS840000	long-tailed finch (BAM)	73958	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
PRJEB10586	ERR1013136	WGS	199	42806510700	SAMEA3532833	23332988877	COLUMBIA UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1092160	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Poephila_acuticauda	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532833	ERP011851	missing	ERS839982	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:25Z	2015-09-09T21:52:43Z	public	ERS839982	long-tailed finch (BAM)	G118	TAENIOPYGIA_GUTTATA-3.2.4	ERC000011	1
