BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome
PRJEB38173,SAMEA6816021,Amphilophus_amarillo,missing,Xil_ama_d_ben_13637,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816012,Amphilophus_amarillo,missing,Xil_ama_d_ben_07661,CL Xiloá,2014,GCA_013435755.1
PRJEB38173,SAMEA6816013,Amphilophus_amarillo,missing,Xil_ama_d_ben_07666,CL Xiloá,2014,GCA_013435755.1
PRJEB38173,SAMEA6816014,Amphilophus_amarillo,missing,Xil_ama_d_ben_07667,CL Xiloá,2014,GCA_013435755.1
PRJEB38173,SAMEA6816015,Amphilophus_amarillo,missing,Xil_ama_d_ben_13025,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816016,Amphilophus_amarillo,missing,Xil_ama_d_ben_13039,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816017,Amphilophus_amarillo,missing,Xil_ama_d_ben_13091,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816018,Amphilophus_amarillo,missing,Xil_ama_d_ben_13185,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816019,Amphilophus_amarillo,missing,Xil_ama_d_ben_13268,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816020,Amphilophus_amarillo,missing,Xil_ama_d_ben_13636,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816022,Amphilophus_amarillo,missing,Xil_ama_d_ben_13638,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816023,Amphilophus_amarillo,missing,Xil_ama_d_ben_17973,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816024,Amphilophus_amarillo,missing,Xil_ama_d_ben_17974,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816025,Amphilophus_amarillo,missing,Xil_ama_d_ben_17985,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816026,Amphilophus_amarillo,missing,Xil_ama_d_ben_19033,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816028,Amphilophus_amarillo,missing,Xil_ama_d_ben_19035,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816029,Amphilophus_amarillo,missing,Xil_ama_d_ben_19315,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816030,Amphilophus_amarillo,missing,Xil_ama_d_ben_19481,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816031,Amphilophus_amarillo,missing,Xil_ama_d_ben_19482,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816032,Amphilophus_amarillo,missing,Xil_ama_d_ben_19503,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816027,Amphilophus_amarillo,missing,Xil_ama_d_ben_19034,CL Xiloá,2015,GCA_013435755.1
