BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6815653,library_SAMEA6815653,GCA_013435755.1,ERR4189665,Amphilophus_astorquii,PRJEB38173
SAMEA6815654,library_SAMEA6815654,GCA_013435755.1,ERR4189666,Amphilophus_astorquii,PRJEB38173
SAMEA6815655,library_SAMEA6815655,GCA_013435755.1,ERR4189667,Amphilophus_astorquii,PRJEB38173
SAMEA6815657,library_SAMEA6815657,GCA_013435755.1,ERR4189669,Amphilophus_astorquii,PRJEB38173
SAMEA6815658,library_SAMEA6815658,GCA_013435755.1,ERR4189670,Amphilophus_astorquii,PRJEB38173
SAMEA6815659,library_SAMEA6815659,GCA_013435755.1,ERR4189671,Amphilophus_astorquii,PRJEB38173
SAMEA6815660,library_SAMEA6815660,GCA_013435755.1,ERR4189672,Amphilophus_astorquii,PRJEB38173
SAMEA6815661,library_SAMEA6815661,GCA_013435755.1,ERR4189673,Amphilophus_astorquii,PRJEB38173
SAMEA6815662,library_SAMEA6815662,GCA_013435755.1,ERR4189674,Amphilophus_astorquii,PRJEB38173
SAMEA6815663,library_SAMEA6815663,GCA_013435755.1,ERR4189675,Amphilophus_astorquii,PRJEB38173
SAMEA6815664,library_SAMEA6815664,GCA_013435755.1,ERR4189676,Amphilophus_astorquii,PRJEB38173
SAMEA6815665,library_SAMEA6815665,GCA_013435755.1,ERR4189677,Amphilophus_astorquii,PRJEB38173
SAMEA6815666,library_SAMEA6815666,GCA_013435755.1,ERR4189678,Amphilophus_astorquii,PRJEB38173
SAMEA6815667,library_SAMEA6815667,GCA_013435755.1,ERR4189679,Amphilophus_astorquii,PRJEB38173
SAMEA6815669,library_SAMEA6815669,GCA_013435755.1,ERR4189680,Amphilophus_astorquii,PRJEB38173
SAMEA6815670,library_SAMEA6815670,GCA_013435755.1,ERR4189681,Amphilophus_astorquii,PRJEB38173
SAMEA6815671,library_SAMEA6815671,GCA_013435755.1,ERR4189682,Amphilophus_astorquii,PRJEB38173
SAMEA6815672,library_SAMEA6815672,GCA_013435755.1,ERR4189683,Amphilophus_astorquii,PRJEB38173
SAMEA6815674,library_SAMEA6815674,GCA_013435755.1,ERR4189685,Amphilophus_astorquii,PRJEB38173
SAMEA6815675,library_SAMEA6815675,GCA_013435755.1,ERR4189686,Amphilophus_astorquii,PRJEB38173
SAMEA6815676,library_SAMEA6815676,GCA_013435755.1,ERR4189687,Amphilophus_astorquii,PRJEB38173
SAMEA6815673,library_SAMEA6815673,GCA_013435755.1,ERR4189684,Amphilophus_astorquii,PRJEB38173
SAMEA6815656,library_SAMEA6815656,GCA_013435755.1,ERR4189668,Amphilophus_astorquii,PRJEB38173
