Organism,BioProject,BioSample,Run,LibraryName,refGenome
Amphilophus_chancho,PRJEB38173,SAMEA6815677,ERR4189688,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815678,ERR4189689,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815680,ERR4189691,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815683,ERR4189694,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815687,ERR4189698,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815688,ERR4189699,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815689,ERR4189700,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815690,ERR4189701,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815691,ERR4189702,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815692,ERR4189703,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815693,ERR4189704,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815694,ERR4189705,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815697,ERR4189708,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815698,ERR4189709,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815679,ERR4189690,unspecified,GCA_013435755.1
Amphilophus_chancho,PRJEB38173,SAMEA6815681,ERR4189692,unspecified,GCA_013435755.1
