Sample_name,Species,Lake,Sampling_Year,BioProject,BioSample,Organism,sex
Apo_cl2_d_ben_01074,Amphilophus astorquii,CL Apoyo,2007,PRJEB38173,SAMEA6815653,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_01076,Amphilophus astorquii,CL Apoyo,2007,PRJEB38173,SAMEA6815654,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_01100,Amphilophus astorquii,CL Apoyo,2007,PRJEB38173,SAMEA6815655,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_01101,Amphilophus astorquii,CL Apoyo,2007,PRJEB38173,SAMEA6815656,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_01102,Amphilophus astorquii,CL Apoyo,2007,PRJEB38173,SAMEA6815657,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_01103,Amphilophus astorquii,CL Apoyo,2007,PRJEB38173,SAMEA6815658,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_03979,Amphilophus astorquii,CL Apoyo,2003,PRJEB38173,SAMEA6815659,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_07674,Amphilophus astorquii,CL Apoyo,2014,PRJEB38173,SAMEA6815660,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_07682,Amphilophus astorquii,CL Apoyo,2014,PRJEB38173,SAMEA6815661,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_07683,Amphilophus astorquii,CL Apoyo,2014,PRJEB38173,SAMEA6815662,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_12407,Amphilophus astorquii,CL Apoyo,2010,PRJEB38173,SAMEA6815663,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_12451,Amphilophus astorquii,CL Apoyo,2010,PRJEB38173,SAMEA6815664,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_12494,Amphilophus astorquii,CL Apoyo,2010,PRJEB38173,SAMEA6815665,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_12521,Amphilophus astorquii,CL Apoyo,2010,PRJEB38173,SAMEA6815666,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_13695,Amphilophus astorquii,CL Apoyo,2010,PRJEB38173,SAMEA6815667,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_13727,Amphilophus astorquii,CL Apoyo,2010,PRJEB38173,SAMEA6815669,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_13732,Amphilophus astorquii,CL Apoyo,2010,PRJEB38173,SAMEA6815670,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_18030,Amphilophus astorquii,CL Apoyo,2014,PRJEB38173,SAMEA6815671,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_18449,Amphilophus astorquii,CL Apoyo,2014,PRJEB38173,SAMEA6815672,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_19353,Amphilophus astorquii,CL Apoyo,2015,PRJEB38173,SAMEA6815673,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_19361,Amphilophus astorquii,CL Apoyo,2015,PRJEB38173,SAMEA6815674,Amphilophus_citrinellus,missing
Apo_cl2_d_ben_19362,Amphilophus astorquii,CL Apoyo,2015,PRJEB38173,SAMEA6815675,Amphilophus_citrinellus,missing
Apo_cl2_g_ben_18446,Amphilophus astorquii,CL Apoyo,2014,PRJEB38173,SAMEA6815676,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_01234,Amphilophus chancho,CL Apoyo,2007,PRJEB38173,SAMEA6815677,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_03977,Amphilophus chancho,CL Apoyo,2003,PRJEB38173,SAMEA6815678,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_05663,Amphilophus chancho,CL Apoyo,2005,PRJEB38173,SAMEA6815679,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_05664,Amphilophus chancho,CL Apoyo,2005,PRJEB38173,SAMEA6815680,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_05665,Amphilophus chancho,CL Apoyo,2005,PRJEB38173,SAMEA6815681,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_05666,Amphilophus spp. (hybrid),CL Apoyo,2005,PRJEB38173,SAMEA6815682,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_05667,Amphilophus chancho,CL Apoyo,2005,PRJEB38173,SAMEA6815683,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_07670,Amphilophus spp. (hybrid),CL Apoyo,2014,PRJEB38173,SAMEA6815684,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_07690,Amphilophus spp. (hybrid),CL Apoyo,2014,PRJEB38173,SAMEA6815685,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_07699,Amphilophus spp. (hybrid),CL Apoyo,2014,PRJEB38173,SAMEA6815686,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_13713,Amphilophus chancho,CL Apoyo,2010,PRJEB38173,SAMEA6815687,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_18011,Amphilophus chancho,CL Apoyo,2014,PRJEB38173,SAMEA6815688,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_18034,Amphilophus chancho,CL Apoyo,2014,PRJEB38173,SAMEA6815689,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_18397,Amphilophus chancho,CL Apoyo,2014,PRJEB38173,SAMEA6815690,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_18399,Amphilophus chancho,CL Apoyo,2014,PRJEB38173,SAMEA6815691,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_18400,Amphilophus chancho,CL Apoyo,2014,PRJEB38173,SAMEA6815692,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_18401,Amphilophus chancho,CL Apoyo,2014,PRJEB38173,SAMEA6815693,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_18412,Amphilophus chancho,CL Apoyo,2014,PRJEB38173,SAMEA6815694,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_18423,Amphilophus spp. (hybrid),CL Apoyo,2014,PRJEB38173,SAMEA6815695,Amphilophus_citrinellus,missing
Apo_cl3_d_ben_19338,Amphilophus spp. (hybrid),CL Apoyo,2015,PRJEB38173,SAMEA6815696,Amphilophus_citrinellus,missing
