BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6815854,library_SAMEA6815854,GCA_013435755.1,ERR4189865,Amphilophus_citrinellus,PRJEB38173
SAMEA6815855,library_SAMEA6815855,GCA_013435755.1,ERR4189866,Amphilophus_citrinellus,PRJEB38173
SAMEA6815856,library_SAMEA6815856,GCA_013435755.1,ERR4189867,Amphilophus_citrinellus,PRJEB38173
SAMEA6815857,library_SAMEA6815857,GCA_013435755.1,ERR4189868,Amphilophus_citrinellus,PRJEB38173
SAMEA6815858,library_SAMEA6815858,GCA_013435755.1,ERR4189869,Amphilophus_citrinellus,PRJEB38173
SAMEA6815859,library_SAMEA6815859,GCA_013435755.1,ERR4189870,Amphilophus_citrinellus,PRJEB38173
SAMEA6815860,library_SAMEA6815860,GCA_013435755.1,ERR4189871,Amphilophus_citrinellus,PRJEB38173
SAMEA6815861,library_SAMEA6815861,GCA_013435755.1,ERR4189872,Amphilophus_citrinellus,PRJEB38173
SAMEA6815862,library_SAMEA6815862,GCA_013435755.1,ERR4189873,Amphilophus_citrinellus,PRJEB38173
SAMEA6815863,library_SAMEA6815863,GCA_013435755.1,ERR4189874,Amphilophus_citrinellus,PRJEB38173
SAMEA6815864,library_SAMEA6815864,GCA_013435755.1,ERR4189875,Amphilophus_citrinellus,PRJEB38173
SAMEA6815865,library_SAMEA6815865,GCA_013435755.1,ERR4189876,Amphilophus_citrinellus,PRJEB38173
SAMEA6815866,library_SAMEA6815866,GCA_013435755.1,ERR4189877,Amphilophus_citrinellus,PRJEB38173
SAMEA6815867,library_SAMEA6815867,GCA_013435755.1,ERR4189878,Amphilophus_citrinellus,PRJEB38173
SAMEA6815868,library_SAMEA6815868,GCA_013435755.1,ERR4189879,Amphilophus_citrinellus,PRJEB38173
SAMEA6815869,library_SAMEA6815869,GCA_013435755.1,ERR4189880,Amphilophus_citrinellus,PRJEB38173
SAMEA6815870,library_SAMEA6815870,GCA_013435755.1,ERR4189881,Amphilophus_citrinellus,PRJEB38173
SAMEA6815871,library_SAMEA6815871,GCA_013435755.1,ERR4189882,Amphilophus_citrinellus,PRJEB38173
SAMEA6815872,library_SAMEA6815872,GCA_013435755.1,ERR4189883,Amphilophus_citrinellus,PRJEB38173
SAMEA6815873,library_SAMEA6815873,GCA_013435755.1,ERR4189884,Amphilophus_citrinellus,PRJEB38173
SAMEA6815874,library_SAMEA6815874,GCA_013435755.1,ERR4189885,Amphilophus_citrinellus,PRJEB38173
SAMEA6815875,library_SAMEA6815875,GCA_013435755.1,ERR4189886,Amphilophus_citrinellus,PRJEB38173
SAMEA6815876,library_SAMEA6815876,GCA_013435755.1,ERR4189887,Amphilophus_citrinellus,PRJEB38173
SAMEA6815877,library_SAMEA6815877,GCA_013435755.1,ERR4189888,Amphilophus_citrinellus,PRJEB38173
SAMEA6815878,library_SAMEA6815878,GCA_013435755.1,ERR4189889,Amphilophus_citrinellus,PRJEB38173
SAMEA6815944,library_SAMEA6815944,GCA_013435755.1,ERR4189955,Amphilophus_citrinellus,PRJEB38173
SAMEA6815945,library_SAMEA6815945,GCA_013435755.1,ERR4189956,Amphilophus_citrinellus,PRJEB38173
SAMEA6815946,library_SAMEA6815946,GCA_013435755.1,ERR4189957,Amphilophus_citrinellus,PRJEB38173
SAMEA6815947,library_SAMEA6815947,GCA_013435755.1,ERR4189958,Amphilophus_citrinellus,PRJEB38173
SAMEA6815948,library_SAMEA6815948,GCA_013435755.1,ERR4189959,Amphilophus_citrinellus,PRJEB38173
