BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies
PRJEB38173,SAMEA6815854,Amphilophus_citrinellus,missing,Man_cit_d_nlp_02589,GL Managua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815855,Amphilophus_citrinellus,missing,Man_cit_d_nlp_03928,GL Managua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815856,Amphilophus_citrinellus,missing,Man_cit_d_nlp_07731,GL Managua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815857,Amphilophus_citrinellus,missing,Man_cit_d_nlp_07736,GL Managua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815858,Amphilophus_citrinellus,missing,Man_cit_d_nlp_07737,GL Managua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815859,Amphilophus_citrinellus,missing,Man_cit_d_nlp_07738,GL Managua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815860,Amphilophus_citrinellus,missing,Man_cit_d_nlp_07739,GL Managua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815861,Amphilophus_citrinellus,missing,Man_cit_d_nlp_13350,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815862,Amphilophus_citrinellus,missing,Man_cit_d_nlp_13358,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815863,Amphilophus_citrinellus,missing,Man_cit_d_nlp_13370,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815864,Amphilophus_citrinellus,missing,Man_cit_d_nlp_13458,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815865,Amphilophus_citrinellus,missing,Man_cit_d_nlp_13676,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815866,Amphilophus_citrinellus,missing,Man_cit_d_nlp_13677,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815867,Amphilophus_citrinellus,missing,Man_cit_g_nlp_02584,GL Managua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815868,Amphilophus_citrinellus,missing,Man_cit_g_nlp_03043,GL Managua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815869,Amphilophus_citrinellus,missing,Man_cit_g_nlp_03926,GL Managua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815870,Amphilophus_citrinellus,missing,Man_cit_g_nlp_07740,GL Managua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815871,Amphilophus_citrinellus,missing,Man_cit_g_nlp_07741,GL Managua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815872,Amphilophus_citrinellus,missing,Man_cit_g_nlp_13376,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815873,Amphilophus_citrinellus,missing,Man_cit_g_nlp_13460,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815874,Amphilophus_citrinellus,missing,Man_cit_g_nlp_13946,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815875,Amphilophus_citrinellus,missing,Man_cit_g_nlp_13947,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815876,Amphilophus_citrinellus,missing,Man_cit_g_nlp_14025,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815877,Amphilophus_citrinellus,missing,Man_cit_g_nlp_14026,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815878,Amphilophus_citrinellus,missing,Man_cit_g_nlp_14029,GL Managua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815944,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_00834,GL Nicaragua,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815945,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_00836,GL Nicaragua,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815946,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_02536,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815947,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_02537,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815948,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_03186,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815949,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_03304,GL Nicaragua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815950,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_03683,GL Nicaragua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815951,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_03685,GL Nicaragua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815952,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_03702,GL Nicaragua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815953,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_05656,GL Nicaragua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815954,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_05766,GL Nicaragua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815955,Amphilophus_citrinellus,missing,Nic_cit_d_nlp_07747,GL Nicaragua,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815956,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_00850,GL Nicaragua,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815957,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_02524,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815958,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_02525,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815959,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_02526,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815961,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_02528,GL Nicaragua,2013,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815962,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_04003,GL Nicaragua,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815963,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_05794,GL Nicaragua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815964,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_05810,GL Nicaragua,2005,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815965,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_13775,GL Nicaragua,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815966,Amphilophus_citrinellus,missing,Nic_cit_g_nlp_13776,GL Nicaragua,2010,GCA_013435755.1,Amphilophus_citrinellus
