BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome
PRJEB38173,SAMEA6815716,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_02419,CL Apoyo,2013,GCA_013435755.1
PRJEB38173,SAMEA6815718,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_03120,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815719,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_03972,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815720,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_03975,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815721,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_07689,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815722,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12413,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815723,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12437,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815724,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12440,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815725,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12454,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815726,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12478,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815727,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12479,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815728,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_12482,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815729,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_13245,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815731,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_18032,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815732,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_18036,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815717,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_02426,CL Apoyo,2013,GCA_013435755.1
