BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6815700,library_SAMEA6815700,GCA_013435755.1,ERR4189711,Amphilophus_globosus,PRJEB38173
SAMEA6815702,library_SAMEA6815702,GCA_013435755.1,ERR4189713,Amphilophus_globosus,PRJEB38173
SAMEA6815703,library_SAMEA6815703,GCA_013435755.1,ERR4189714,Amphilophus_globosus,PRJEB38173
SAMEA6815704,library_SAMEA6815704,GCA_013435755.1,ERR4189715,Amphilophus_globosus,PRJEB38173
SAMEA6815705,library_SAMEA6815705,GCA_013435755.1,ERR4189716,Amphilophus_globosus,PRJEB38173
SAMEA6815706,library_SAMEA6815706,GCA_013435755.1,ERR4189717,Amphilophus_globosus,PRJEB38173
SAMEA6815707,library_SAMEA6815707,GCA_013435755.1,ERR4189718,Amphilophus_globosus,PRJEB38173
SAMEA6815708,library_SAMEA6815708,GCA_013435755.1,ERR4189719,Amphilophus_globosus,PRJEB38173
SAMEA6815709,library_SAMEA6815709,GCA_013435755.1,ERR4189720,Amphilophus_globosus,PRJEB38173
SAMEA6815710,library_SAMEA6815710,GCA_013435755.1,ERR4189721,Amphilophus_globosus,PRJEB38173
SAMEA6815712,library_SAMEA6815712,GCA_013435755.1,ERR4189723,Amphilophus_globosus,PRJEB38173
SAMEA6815713,library_SAMEA6815713,GCA_013435755.1,ERR4189724,Amphilophus_globosus,PRJEB38173
SAMEA6815714,library_SAMEA6815714,GCA_013435755.1,ERR4189725,Amphilophus_globosus,PRJEB38173
SAMEA6815715,library_SAMEA6815715,GCA_013435755.1,ERR4189726,Amphilophus_globosus,PRJEB38173
SAMEA6815733,library_SAMEA6815733,GCA_013435755.1,ERR4189744,Amphilophus_globosus,PRJEB38173
SAMEA6815734,library_SAMEA6815734,GCA_013435755.1,ERR4189745,Amphilophus_globosus,PRJEB38173
SAMEA6815737,library_SAMEA6815737,GCA_013435755.1,ERR4189748,Amphilophus_globosus,PRJEB38173
SAMEA6815738,library_SAMEA6815738,GCA_013435755.1,ERR4189749,Amphilophus_globosus,PRJEB38173
SAMEA6815739,library_SAMEA6815739,GCA_013435755.1,ERR4189750,Amphilophus_globosus,PRJEB38173
SAMEA6815740,library_SAMEA6815740,GCA_013435755.1,ERR4189751,Amphilophus_globosus,PRJEB38173
SAMEA6815741,library_SAMEA6815741,GCA_013435755.1,ERR4189752,Amphilophus_globosus,PRJEB38173
SAMEA6815742,library_SAMEA6815742,GCA_013435755.1,ERR4189753,Amphilophus_globosus,PRJEB38173
SAMEA6815735,library_SAMEA6815735,GCA_013435755.1,ERR4189746,Amphilophus_globosus,PRJEB38173
SAMEA6815701,library_SAMEA6815701,GCA_013435755.1,ERR4189712,Amphilophus_globosus,PRJEB38173
SAMEA6815736,library_SAMEA6815736,GCA_013435755.1,ERR4189747,Amphilophus_globosus,PRJEB38173
