BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6816033,library_SAMEA6816033,GCA_013435755.1,ERR4190044,Amphilophus_sagittae,PRJEB38173
SAMEA6816034,library_SAMEA6816034,GCA_013435755.1,ERR4190045,Amphilophus_sagittae,PRJEB38173
SAMEA6816036,library_SAMEA6816036,GCA_013435755.1,ERR4190047,Amphilophus_sagittae,PRJEB38173
SAMEA6816038,library_SAMEA6816038,GCA_013435755.1,ERR4190049,Amphilophus_sagittae,PRJEB38173
SAMEA6816039,library_SAMEA6816039,GCA_013435755.1,ERR4190050,Amphilophus_sagittae,PRJEB38173
SAMEA6816040,library_SAMEA6816040,GCA_013435755.1,ERR4190051,Amphilophus_sagittae,PRJEB38173
SAMEA6816041,library_SAMEA6816041,GCA_013435755.1,ERR4190052,Amphilophus_sagittae,PRJEB38173
SAMEA6816042,library_SAMEA6816042,GCA_013435755.1,ERR4190053,Amphilophus_sagittae,PRJEB38173
SAMEA6816043,library_SAMEA6816043,GCA_013435755.1,ERR4190054,Amphilophus_sagittae,PRJEB38173
SAMEA6816044,library_SAMEA6816044,GCA_013435755.1,ERR4190055,Amphilophus_sagittae,PRJEB38173
SAMEA6816045,library_SAMEA6816045,GCA_013435755.1,ERR4190056,Amphilophus_sagittae,PRJEB38173
SAMEA6816046,library_SAMEA6816046,GCA_013435755.1,ERR4190057,Amphilophus_sagittae,PRJEB38173
SAMEA6816048,library_SAMEA6816048,GCA_013435755.1,ERR4190059,Amphilophus_sagittae,PRJEB38173
SAMEA6816049,library_SAMEA6816049,GCA_013435755.1,ERR4190060,Amphilophus_sagittae,PRJEB38173
SAMEA6816050,library_SAMEA6816050,GCA_013435755.1,ERR4190061,Amphilophus_sagittae,PRJEB38173
SAMEA6816051,library_SAMEA6816051,GCA_013435755.1,ERR4190062,Amphilophus_sagittae,PRJEB38173
SAMEA6816052,library_SAMEA6816052,GCA_013435755.1,ERR4190063,Amphilophus_sagittae,PRJEB38173
SAMEA6816053,library_SAMEA6816053,GCA_013435755.1,ERR4190064,Amphilophus_sagittae,PRJEB38173
SAMEA6816054,library_SAMEA6816054,GCA_013435755.1,ERR4190065,Amphilophus_sagittae,PRJEB38173
SAMEA6816055,library_SAMEA6816055,GCA_013435755.1,ERR4190066,Amphilophus_sagittae,PRJEB38173
SAMEA6816085,library_SAMEA6816085,GCA_013435755.1,ERR4190096,Amphilophus_sagittae,PRJEB38173
SAMEA6816090,library_SAMEA6816090,GCA_013435755.1,ERR4190101,Amphilophus_sagittae,PRJEB38173
SAMEA6816092,library_SAMEA6816092,GCA_013435755.1,ERR4190103,Amphilophus_sagittae,PRJEB38173
SAMEA6816093,library_SAMEA6816093,GCA_013435755.1,ERR4190104,Amphilophus_sagittae,PRJEB38173
SAMEA6816105,library_SAMEA6816105,GCA_013435755.1,ERR4190116,Amphilophus_sagittae,PRJEB38173
SAMEA6816106,library_SAMEA6816106,GCA_013435755.1,ERR4190117,Amphilophus_sagittae,PRJEB38173
SAMEA6816047,library_SAMEA6816047,GCA_013435755.1,ERR4190058,Amphilophus_sagittae,PRJEB38173
