Organism,BioProject,BioSample,Run,LibraryName,refGenome
Amphilophus_spp,PRJEB38173,SAMEA6815782,ERR4189793,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815816,ERR4189827,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815915,ERR4189926,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815682,ERR4189693,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815684,ERR4189695,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815685,ERR4189696,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815686,ERR4189697,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815695,ERR4189706,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815696,ERR4189707,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815699,ERR4189710,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815711,ERR4189722,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815730,ERR4189741,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815775,ERR4189786,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815776,ERR4189787,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815777,ERR4189788,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815778,ERR4189789,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815779,ERR4189790,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815780,ERR4189791,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815781,ERR4189792,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815783,ERR4189794,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815785,ERR4189796,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815786,ERR4189797,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815787,ERR4189798,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815788,ERR4189799,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815789,ERR4189800,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815790,ERR4189801,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815791,ERR4189802,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815792,ERR4189803,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815793,ERR4189804,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815814,ERR4189825,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815815,ERR4189826,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815817,ERR4189828,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815818,ERR4189829,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815819,ERR4189830,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815820,ERR4189831,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815821,ERR4189832,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815822,ERR4189833,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815823,ERR4189834,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815824,ERR4189835,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815825,ERR4189836,unspecified,GCA_013435755.1
Amphilophus_spp,PRJEB38173,SAMEA6815826,ERR4189837,unspecified,GCA_013435755.1
