BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies
PRJEB38173,SAMEA6815743,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO164,CL Apoyo,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815744,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO247,CL Apoyo,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815745,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO250,CL Apoyo,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815746,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO251,CL Apoyo,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815747,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO252,CL Apoyo,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815748,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO629,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815749,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO723,CL Apoyo,2008,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815750,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO728,CL Apoyo,2008,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815751,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO735,CL Apoyo,2008,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815752,Amphilophus_supercilius,missing,Apo_sup_d_ben_MO736,CL Apoyo,2008,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815753,Amphilophus_supercilius,missing,Apo_zal_d_lim_03119,CL Apoyo,2003,GCA_013435755.1,Amphilophus_citrinellus
