BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome
PRJEB38173,SAMEA6816100,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_03841,CL Xiloá,2003,GCA_013435755.1
PRJEB38173,SAMEA6816076,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_00872,CL Xiloá,2007,GCA_013435755.1
PRJEB38173,SAMEA6816077,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_00874,CL Xiloá,2007,GCA_013435755.1
PRJEB38173,SAMEA6816078,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_00880,CL Xiloá,2007,GCA_013435755.1
PRJEB38173,SAMEA6816087,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_13152,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816091,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_17975,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816094,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_19501,CL Xiloá,2015,GCA_013435755.1
PRJEB38173,SAMEA6816095,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_00869,CL Xiloá,2007,GCA_013435755.1
PRJEB38173,SAMEA6816096,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_00871,CL Xiloá,2007,GCA_013435755.1
PRJEB38173,SAMEA6816097,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_00873,CL Xiloá,2007,GCA_013435755.1
PRJEB38173,SAMEA6816098,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_00875,CL Xiloá,2007,GCA_013435755.1
PRJEB38173,SAMEA6816099,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_01239,CL Xiloá,2007,GCA_013435755.1
PRJEB38173,SAMEA6816101,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_13154,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816102,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_13262,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816103,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_13408,CL Xiloá,2010,GCA_013435755.1
PRJEB38173,SAMEA6816104,Amphilophus_xiloaensis,missing,Xil_xil_g_ben_13413,CL Xiloá,2010,GCA_013435755.1
