Organism,BioProject,BioSample,Run,LibraryName,refGenome
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816100,ERR4190111,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816076,ERR4190087,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816077,ERR4190088,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816078,ERR4190089,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816087,ERR4190098,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816091,ERR4190102,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816094,ERR4190105,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816095,ERR4190106,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816096,ERR4190107,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816097,ERR4190108,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816098,ERR4190109,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816099,ERR4190110,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816101,ERR4190112,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816102,ERR4190113,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816103,ERR4190114,unspecified,GCA_013435755.1
Amphilophus_xiloaensis,PRJEB38173,SAMEA6816104,ERR4190115,unspecified,GCA_013435755.1
