Organism,BioProject,BioSample,Run,LibraryName,refGenome
Amphilophus_zaliosus,PRJEB38173,SAMEA6815754,ERR4189765,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815755,ERR4189766,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815756,ERR4189767,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815757,ERR4189768,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815758,ERR4189769,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815759,ERR4189770,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815760,ERR4189771,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815761,ERR4189772,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815762,ERR4189773,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815763,ERR4189774,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815764,ERR4189775,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815765,ERR4189776,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815766,ERR4189777,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815767,ERR4189778,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815768,ERR4189779,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815769,ERR4189780,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815770,ERR4189781,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815771,ERR4189782,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815772,ERR4189783,unspecified,GCA_013435755.1
Amphilophus_zaliosus,PRJEB38173,SAMEA6815773,ERR4189784,unspecified,GCA_013435755.1
