BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome
PRJEB38173,SAMEA6815754,Amphilophus_zaliosus,missing,Apo_zal_d_lim_03122,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815755,Amphilophus_zaliosus,missing,Apo_zal_d_lim_03124,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815756,Amphilophus_zaliosus,missing,Apo_zal_d_lim_03964,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815757,Amphilophus_zaliosus,missing,Apo_zal_d_lim_03965,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815758,Amphilophus_zaliosus,missing,Apo_zal_d_lim_03969,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815759,Amphilophus_zaliosus,missing,Apo_zal_d_lim_03976,CL Apoyo,2003,GCA_013435755.1
PRJEB38173,SAMEA6815760,Amphilophus_zaliosus,missing,Apo_zal_d_lim_05386,CL Apoyo,2005,GCA_013435755.1
PRJEB38173,SAMEA6815761,Amphilophus_zaliosus,missing,Apo_zal_d_lim_05396,CL Apoyo,2005,GCA_013435755.1
PRJEB38173,SAMEA6815762,Amphilophus_zaliosus,missing,Apo_zal_d_lim_07676,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815763,Amphilophus_zaliosus,missing,Apo_zal_d_lim_07678,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815764,Amphilophus_zaliosus,missing,Apo_zal_d_lim_07687,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815765,Amphilophus_zaliosus,missing,Apo_zal_d_lim_07697,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815766,Amphilophus_zaliosus,missing,Apo_zal_d_lim_12498,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815767,Amphilophus_zaliosus,missing,Apo_zal_d_lim_12523,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815768,Amphilophus_zaliosus,missing,Apo_zal_d_lim_12534,CL Apoyo,2010,GCA_013435755.1
PRJEB38173,SAMEA6815769,Amphilophus_zaliosus,missing,Apo_zal_d_lim_18026,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815770,Amphilophus_zaliosus,missing,Apo_zal_d_lim_18031,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815771,Amphilophus_zaliosus,missing,Apo_zal_d_lim_18413,CL Apoyo,2014,GCA_013435755.1
PRJEB38173,SAMEA6815772,Amphilophus_zaliosus,missing,Apo_zal_d_lim_19349,CL Apoyo,2015,GCA_013435755.1
PRJEB38173,SAMEA6815773,Amphilophus_zaliosus,missing,Apo_zal_d_lim_19352,CL Apoyo,2015,GCA_013435755.1
