Organism,BioProject,BioSample,Run,LibraryName,refGenome
Anas_platyrhynchos,PRJNA450892,SAMN08952547,SRR7091459,10,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952580,SRR7091444,102,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952548,SRR7091462,16,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952549,SRR7091461,17,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952550,SRR7091464,18,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952551,SRR7091463,21,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952552,SRR7091466,25,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952553,SRR7091465,26,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952554,SRR7091426,28,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952555,SRR7091425,29,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952556,SRR7091424,32,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952557,SRR7091423,33,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952558,SRR7091430,34,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952559,SRR7091429,45,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952560,SRR7091428,46,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952561,SRR7091427,49,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952562,SRR7091422,51,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952563,SRR7091421,52,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952564,SRR7091469,53,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952565,SRR7091470,58,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952566,SRR7091467,59,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952544,SRR7091458,6,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952567,SRR7091468,64,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952568,SRR7091473,65,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952545,SRR7091457,7,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952569,SRR7091474,70,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952570,SRR7091471,71,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952571,SRR7091472,76,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952572,SRR7091475,78,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952573,SRR7091476,80,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952574,SRR7091438,82,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952575,SRR7091437,83,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952576,SRR7091440,84,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952546,SRR7091460,9,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952577,SRR7091439,90,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952578,SRR7091442,95,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952579,SRR7091441,96,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952581,SRR7091443,B,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952582,SRR7091446,C,GCF_015476345.1
Anas_platyrhynchos,PRJNA450892,SAMN08952583,SRR7091445,D,GCF_015476345.1
