BioProject,BioSample,Organism,sex,Isolate,Ecotype,Collection_date,lat_lon,Country,Continent,Locality,refGenome,refSpecies
PRJNA668259,SAMN16492482,Anguilla_rostrata,missing,ACA36,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492486,Anguilla_rostrata,missing,ACA3,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492474,Anguilla_rostrata,missing,ACA29,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492472,Anguilla_rostrata,missing,ACA27,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492468,Anguilla_rostrata,missing,ACA23,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492475,Anguilla_rostrata,missing,ACA2,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492458,Anguilla_rostrata,missing,ACA14,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492456,Anguilla_rostrata,missing,ACA12,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492501,Anguilla_rostrata,missing,ACA8,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492490,Anguilla_rostrata,missing,ACA43,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492487,Anguilla_rostrata,missing,ACA40,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492473,Anguilla_rostrata,missing,ACA28,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492460,Anguilla_rostrata,missing,ACA16,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492484,Anguilla_rostrata,missing,ACA38,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492469,Anguilla_rostrata,missing,ACA24,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492500,Anguilla_rostrata,missing,ACA7,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492494,Anguilla_rostrata,missing,ACA47,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492491,Anguilla_rostrata,missing,ACA44,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492497,Anguilla_rostrata,missing,ACA4,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492483,Anguilla_rostrata,missing,ACA37,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492476,Anguilla_rostrata,missing,ACA30,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
PRJNA668259,SAMN16492455,Anguilla_rostrata,missing,ACA11,ACA,NA,45.18285 N 66.25026 W,Canada,North America,Canada:Musquash River,GCF_013347855.1,Anguilla_anguilla
