Organism,BioProject,BioSample,Run,LibraryName,refGenome
Astatotilapia_calliptera,PRJEB1254,SAMEA1904323,ERR299198,6811013,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904323,ERR299207,6811013,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904323,ERR295124,6811013,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904326,ERR299201,6811049,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904326,ERR299210,6811049,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904326,ERR295127,6811049,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904327,ERR299199,6811025,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904327,ERR299208,6811025,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904327,ERR295125,6811025,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904328,ERR299200,6811037,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904328,ERR299209,6811037,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904328,ERR295126,6811037,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR315228,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR303340,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR303349,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR303358,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR303367,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR303376,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR303385,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR303394,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920090,ERR303403,6813841,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR315227,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR303339,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR303348,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR303357,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR303366,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR303375,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR303384,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR303393,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920092,ERR303402,6813829,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661381,ERR715530,11649600,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661382,ERR715531,11649612,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661383,ERR715532,11649624,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661384,ERR715533,11649636,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661385,ERR715534,11649553,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661386,ERR715535,11649565,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661387,ERR715536,11649577,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661389,ERR715538,11649601,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661390,ERR715539,11649613,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661391,ERR715540,11649625,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR315229,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR303341,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR303350,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR303359,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR303368,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR303377,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR303386,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR303404,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1920091,ERR303395,6813853,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661388,ERR715537,11649589,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA3388875,ERR1081385,14544823,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA3388876,ERR1081386,14544835,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA3388877,ERR1081387,14544847,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661291,ERR715525,11649635,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661293,ERR715527,11649564,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA2661295,ERR715529,11649588,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA1904833,ERR294657,6868862,GCF_900246225.1
Astatotilapia_calliptera,PRJEB1254,SAMEA3388878,ERR1081388,14544859,GCF_900246225.1
