Organism,BioProject,BioSample,Run,LibraryName,refGenome
Astatotilapia_spp,PRJEB1254,SAMEA1877404,ERR266458,6526385,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877404,ERR266482,6526385,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877404,ERR266490,6526385,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877436,ERR266457,6526468,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877436,ERR266473,6526468,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877436,ERR266481,6526468,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877511,ERR266456,6526456,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877511,ERR266472,6526456,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877511,ERR266480,6526456,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877425,ERR266455,6526444,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877425,ERR266471,6526444,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877425,ERR266479,6526444,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877494,ERR266451,6526396,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877494,ERR266467,6526396,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877494,ERR266475,6526396,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877464,ERR266450,6526384,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877464,ERR266466,6526384,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA1877464,ERR266474,6526384,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661333,ERR730990,11657603,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661334,ERR730991,11657615,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661335,ERR730992,11657532,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661336,ERR730993,11657544,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661337,ERR730994,11657556,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661338,ERR730995,11657568,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661339,ERR730996,11657580,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661341,ERR730997,11657604,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661342,ERR730998,11657616,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661343,ERR730999,11657533,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661344,ERR731000,11657545,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661345,ERR731001,11657557,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661346,ERR731002,11657569,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661347,ERR731003,11657581,GCF_900246225.1
Astatotilapia_spp,PRJEB1254,SAMEA2661349,ERR731004,11657605,GCF_900246225.1
