BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN09786233,KBE1,GCF_000239415.1,SRR7662362,Astatotilapia_stappersii,PRJNA485198
SAMN09786232,KBD7,GCF_000239415.1,SRR7662363,Astatotilapia_stappersii,PRJNA485198
SAMN09786231,KBD3,GCF_000239415.1,SRR7662368,Astatotilapia_stappersii,PRJNA485198
SAMN09786240,KBH5,GCF_000239415.1,SRR7662382,Astatotilapia_stappersii,PRJNA485198
SAMN09786241,KBH6,GCF_000239415.1,SRR7662383,Astatotilapia_stappersii,PRJNA485198
SAMN09786239,KBH4,GCF_000239415.1,SRR7662385,Astatotilapia_stappersii,PRJNA485198
SAMN09786236,KBG5,GCF_000239415.1,SRR7662386,Astatotilapia_stappersii,PRJNA485198
SAMN09786237,KBG8,GCF_000239415.1,SRR7662387,Astatotilapia_stappersii,PRJNA485198
SAMN09786234,KBE7,GCF_000239415.1,SRR7662388,Astatotilapia_stappersii,PRJNA485198
SAMN09786235,KBE9,GCF_000239415.1,SRR7662389,Astatotilapia_stappersii,PRJNA485198
SAMN09786242,KZD7,GCF_000239415.1,SRR7662390,Astatotilapia_stappersii,PRJNA485198
SAMN09786243,KZD8,GCF_000239415.1,SRR7662391,Astatotilapia_stappersii,PRJNA485198
SAMN09786248,KZE8,GCF_000239415.1,SRR7662396,Astatotilapia_stappersii,PRJNA485198
SAMN09786251,KZF3,GCF_000239415.1,SRR7662397,Astatotilapia_stappersii,PRJNA485198
SAMN09786250,KZF2,GCF_000239415.1,SRR7662398,Astatotilapia_stappersii,PRJNA485198
SAMN09786245,KZE3,GCF_000239415.1,SRR7662399,Astatotilapia_stappersii,PRJNA485198
SAMN09786247,KZE7,GCF_000239415.1,SRR7662401,Astatotilapia_stappersii,PRJNA485198
SAMN09786246,KZE5,GCF_000239415.1,SRR7662402,Astatotilapia_stappersii,PRJNA485198
SAMN09786253,KZF6,GCF_000239415.1,SRR7662403,Astatotilapia_stappersii,PRJNA485198
SAMN09786252,KZF4,GCF_000239415.1,SRR7662404,Astatotilapia_stappersii,PRJNA485198
SAMN09786249,KZE9,GCF_000239415.1,SRR7662516,Astatotilapia_stappersii,PRJNA485198
SAMN09786238,KBH1,GCF_000239415.1,SRR7662384,Astatotilapia_stappersii,PRJNA485198
SAMN09786244,KZE2,GCF_000239415.1,SRR7662400,Astatotilapia_stappersii,PRJNA485198
SAMN09786230,KBA6,GCF_000239415.1,SRR7662369,Astatotilapia_stappersii,PRJNA485198
