BioProject,BioSample,Organism,sex,Submitter_Id,Population
PRJNA260715,SAMN03734634,Astyanax_mexicanus,unknown,Texas_Surface,Texas
PRJNA260715,SAMN03421319,Astyanax_mexicanus,unknown,Tinaja_C,Tinaja
PRJNA260715,SAMN03421321,Astyanax_mexicanus,unknown,Tinaja_D,Tinaja
PRJNA260715,SAMN03421322,Astyanax_mexicanus,unknown,Tinaja_5,Tinaja
PRJNA260715,SAMN03421323,Astyanax_mexicanus,unknown,Tinaja_E,Tinaja
PRJNA260715,SAMN03421324,Astyanax_mexicanus,unknown,Rascon_13,Rascon
PRJNA260715,SAMN03421325,Astyanax_mexicanus,unknown,Rascon_15,Rascon
PRJNA260715,SAMN03421326,Astyanax_mexicanus,unknown,Rascon_8,Rascon
PRJNA260715,SAMN03421314,Astyanax_mexicanus,unknown,Tinaja_11,Tinaja
PRJNA260715,SAMN03421315,Astyanax_mexicanus,unknown,Tinaja_6,Tinaja
PRJNA260715,SAMN03421316,Astyanax_mexicanus,unknown,Tinaja_12,Tinaja
PRJNA260715,SAMN03421317,Astyanax_mexicanus,unknown,Tinaja_B,Tinaja
PRJNA260715,SAMN03421318,Astyanax_mexicanus,unknown,Tinaja_2,Tinaja
PRJNA260715,SAMN03421320,Astyanax_mexicanus,unknown,Tinaja_3,Tinaja
PRJNA260715,SAMN03421327,Astyanax_mexicanus,unknown,Rascon_6,Rascon
PRJNA260715,SAMN03024475,Astyanax_mexicanus,unknown,Choy_01,Choy
PRJNA260715,SAMN03024476,Astyanax_mexicanus,unknown,Choy_05,Choy
PRJNA260715,SAMN03024477,Astyanax_mexicanus,unknown,Choy_06,Choy
PRJNA260715,SAMN03024478,Astyanax_mexicanus,unknown,Choy_09,Choy
PRJNA260715,SAMN03024479,Astyanax_mexicanus,unknown,Choy_10,Choy
PRJNA260715,SAMN03024480,Astyanax_mexicanus,unknown,Choy_11,Choy
PRJNA260715,SAMN03024481,Astyanax_mexicanus,unknown,Choy_12,Choy
PRJNA260715,SAMN03024482,Astyanax_mexicanus,unknown,Choy_13,Choy
PRJNA260715,SAMN03024483,Astyanax_mexicanus,unknown,Choy_14,Choy
PRJNA260715,SAMN03024484,Astyanax_mexicanus,unknown,Pach_3,Pach
PRJNA260715,SAMN03024485,Astyanax_mexicanus,unknown,Pach_7,Pach
PRJNA260715,SAMN03024486,Astyanax_mexicanus,unknown,Pach_8,Pach
PRJNA260715,SAMN03024487,Astyanax_mexicanus,unknown,Pach_9,Pach
PRJNA260715,SAMN03024488,Astyanax_mexicanus,unknown,Pach_11,Pach
PRJNA260715,SAMN03024489,Astyanax_mexicanus,unknown,Pach_12,Pach
PRJNA260715,SAMN03024490,Astyanax_mexicanus,unknown,Pach_14,Pach
PRJNA260715,SAMN03024491,Astyanax_mexicanus,unknown,Pach_15,Pach
PRJNA260715,SAMN03024492,Astyanax_mexicanus,unknown,Pach_17,Pach
PRJNA260715,SAMN03024493,Astyanax_mexicanus,unknown,Molino_2a,Molino
PRJNA260715,SAMN03024494,Astyanax_mexicanus,unknown,Molino_7a,Molino
PRJNA260715,SAMN03024495,Astyanax_mexicanus,unknown,Molino_9b,Molino
PRJNA260715,SAMN03024496,Astyanax_mexicanus,unknown,Molino_10b,Molino
PRJNA260715,SAMN03024497,Astyanax_mexicanus,unknown,Molino_11a,Molino
PRJNA260715,SAMN03024498,Astyanax_mexicanus,unknown,Molino_12a,Molino
PRJNA260715,SAMN03024499,Astyanax_mexicanus,unknown,Molino_13b,Molino
PRJNA260715,SAMN03024500,Astyanax_mexicanus,unknown,Molino_14a,Molino
PRJNA260715,SAMN03024501,Astyanax_mexicanus,unknown,Molino_15b,Molino
PRJNA260715,SAMN03024502,Astyanax_mexicanus,unknown,Rascon_02,Rascon
PRJNA260715,SAMN03024503,Astyanax_mexicanus,unknown,Rascon_04,Rascon
