Organism,BioProject,BioSample,Run,LibraryName,refGenome
Astyanax_mexicanus,PRJNA260715,SAMN03734634,SRR2040423,library_Texas_Surface,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421319,SRR1927221,library_Tinaja_C,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421321,SRR1927228,library_Tinaja_D,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421322,SRR1927232,library_Tinaja_5,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421323,SRR1927233,library_Tinaja_E,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421324,SRR1927234,library_Rascon_13,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421325,SRR1927235,library_Rascon_15,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421326,SRR1927236,library_Rascon_8,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421314,SRR1927184,library_Tinaja_11,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421315,SRR1927212,library_Tinaja_6,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421316,SRR1927214,library_Tinaja_12,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421317,SRR1927215,library_Tinaja_B,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421318,SRR1927218,library_Tinaja_2,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421320,SRR1927224,library_Tinaja_3,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03421327,SRR1927237,library_Rascon_6,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024475,SRR1575270,library_Choy_01,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024476,SRR1575271,library_Choy_05,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024477,SRR1575272,library_Choy_06,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024478,SRR1575273,library_Choy_09,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024479,SRR1575274,library_Choy_10,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024480,SRR1575275,library_Choy_11,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024481,SRR1575276,library_Choy_12,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024482,SRR1575277,library_Choy_13,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024483,SRR1575278,library_Choy_14,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024484,SRR1575279,library_Pach_3,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024485,SRR1575280,library_Pach_7,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024486,SRR1575281,library_Pach_8,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024487,SRR1575282,library_Pach_9,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024488,SRR1575283,library_Pach_11,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024489,SRR1575284,library_Pach_12,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024490,SRR1575285,library_Pach_14,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024491,SRR1575286,library_Pach_15,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024492,SRR1575287,library_Pach_17,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024493,SRR1575288,library_Molino_2a,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024494,SRR1575289,library_Molino_7a,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024495,SRR1575290,library_Molino_9b,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024496,SRR1575291,library_Molino_10b,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024497,SRR1575292,library_Molino_11a,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024498,SRR1575293,library_Molino_12a,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024499,SRR1575294,library_Molino_13b,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024500,SRR1575295,library_Molino_14a,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024501,SRR1575296,library_Molino_15b,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024502,SRR1575297,library_Rascon_02,GCF_000372685.2
Astyanax_mexicanus,PRJNA260715,SAMN03024503,SRR1575298,library_Rascon_04,GCF_000372685.2
