BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN08465492,L6418-1_BO15-101_S9,GCF_003259725.1,SRR6670124,Athene_cunicularia,PRJNA431202
SAMN08465487,L6426-1_BO15-109_S24,GCF_003259725.1,SRR6670127,Athene_cunicularia,PRJNA431202
SAMN08465489,L6428-1_BO15-111_S16,GCF_003259725.1,SRR6670129,Athene_cunicularia,PRJNA431202
SAMN08465483,L6422-1_BO15-105_S13,GCF_003259725.1,SRR6670131,Athene_cunicularia,PRJNA431202
SAMN08465485,L6424-1_BO15-107_S15,GCF_003259725.1,SRR6670133,Athene_cunicularia,PRJNA431202
SAMN08465551,L5748-1_BO15-069_S18,GCF_003259725.1,SRR6670135,Athene_cunicularia,PRJNA431202
SAMN08465501,L6420-1_BO15-103_S11,GCF_003259725.1,SRR6670136,Athene_cunicularia,PRJNA431202
SAMN08465499,L6437-1_BO15-120_S6,GCF_003259725.1,SRR6670138,Athene_cunicularia,PRJNA431202
SAMN08465500,L6419-1_BO15-102_S10,GCF_003259725.1,SRR6670139,Athene_cunicularia,PRJNA431202
SAMN08465497,L6435-1_BO15-118_S2,GCF_003259725.1,SRR6670140,Athene_cunicularia,PRJNA431202
SAMN08465495,L6433-1_BO15-116_S21,GCF_003259725.1,SRR6670142,Athene_cunicularia,PRJNA431202
SAMN08465493,L6431-1_BO15-114_S19,GCF_003259725.1,SRR6670144,Athene_cunicularia,PRJNA431202
SAMN08465494,L6432-1_BO15-115_S20,GCF_003259725.1,SRR6670145,Athene_cunicularia,PRJNA431202
SAMN08465506,L6409-1_BO15-092_S24,GCF_003259725.1,SRR6670148,Athene_cunicularia,PRJNA431202
SAMN08465504,L6398-1_BO15-081_S13,GCF_003259725.1,SRR6670150,Athene_cunicularia,PRJNA431202
SAMN08465503,L6410-1_BO15-093_S1,GCF_003259725.1,SRR6670151,Athene_cunicularia,PRJNA431202
SAMN08465510,L6408-1_BO15-091_S23,GCF_003259725.1,SRR6670152,Athene_cunicularia,PRJNA431202
SAMN08465508,L6401-1_BO15-084_S16,GCF_003259725.1,SRR6670154,Athene_cunicularia,PRJNA431202
SAMN08465517,L6411-1_BO15-094_S2,GCF_003259725.1,SRR6670156,Athene_cunicularia,PRJNA431202
SAMN08465518,L6413-1_BO15-096_S4,GCF_003259725.1,SRR6670157,Athene_cunicularia,PRJNA431202
SAMN08465519,L6417-1_BO15-100_S8,GCF_003259725.1,SRR6670158,Athene_cunicularia,PRJNA431202
SAMN08465513,L6404-1_BO15-087_S19,GCF_003259725.1,SRR6670160,Athene_cunicularia,PRJNA431202
SAMN08465526,L6388-1_BO15-067_S3,GCF_003259725.1,SRR6670168,Athene_cunicularia,PRJNA431202
SAMN08465527,L5745-1_BO15-065_S2,GCF_003259725.1,SRR6670171,Athene_cunicularia,PRJNA431202
SAMN08465530,L5740-1_BO15-059_ATGTCA_L007,GCF_003259725.1,SRR6670172,Athene_cunicularia,PRJNA431202
SAMN08465582,L6466-1_BO15-150_S12,GCF_003259725.1,SRR6670177,Athene_cunicularia,PRJNA431202
SAMN08465574,L10047-1_BO17-004_S12,GCF_003259725.1,SRR6670179,Athene_cunicularia,PRJNA431202
SAMN08465576,L10049-3_BO17-006_S36,GCF_003259725.1,SRR6670181,Athene_cunicularia,PRJNA431202
SAMN08465578,L10051-3_BO17-008_S37,GCF_003259725.1,SRR6670183,Athene_cunicularia,PRJNA431202
SAMN08465580,L6467-1_BO15-151_S22,GCF_003259725.1,SRR6670185,Athene_cunicularia,PRJNA431202
SAMN08465533,L5750-1_BO15-071_GCCAAT_L005,GCF_003259725.1,SRR6670188,Athene_cunicularia,PRJNA431202
SAMN08465539,L6391-1_BO15-074_S6,GCF_003259725.1,SRR6670190,Athene_cunicularia,PRJNA431202
SAMN08465537,L5725-1_BO15-044_ATTCCT_L003,GCF_003259725.1,SRR6670192,Athene_cunicularia,PRJNA431202
SAMN08465542,L6392-1_BO15-075_S7,GCF_003259725.1,SRR6670195,Athene_cunicularia,PRJNA431202
SAMN08465569,L8332-1_BO15-236_S22,GCF_003259725.1,SRR6670197,Athene_cunicularia,PRJNA431202
SAMN08465565,L8328-1_BO15-232_S17,GCF_003259725.1,SRR6670201,Athene_cunicularia,PRJNA431202
SAMN08465563,L8326-1_BO15-230_S14,GCF_003259725.1,SRR6670203,Athene_cunicularia,PRJNA431202
SAMN08465572,L10045-1_BO17-002_S10,GCF_003259725.1,SRR6670204,Athene_cunicularia,PRJNA431202
SAMN08465571,L10044-1_BO17-001_S9,GCF_003259725.1,SRR6670205,Athene_cunicularia,PRJNA431202
SAMN08465595,L6465-1_BO15-149_S11,GCF_003259725.1,SRR6670208,Athene_cunicularia,PRJNA431202
SAMN08465593,L6462-1_BO15-146_S8,GCF_003259725.1,SRR6670210,Athene_cunicularia,PRJNA431202
SAMN08465599,L6460-1_BO15-144_S6,GCF_003259725.1,SRR6670212,Athene_cunicularia,PRJNA431202
SAMN08465598,L6463-1_BO15-147_S9,GCF_003259725.1,SRR6670214,Athene_cunicularia,PRJNA431202
SAMN08465549,L5742-1_BO15-062_GTCCGC_L008,GCF_003259725.1,SRR6670216,Athene_cunicularia,PRJNA431202
SAMN08465547,L5747-1_BO15-068_S4,GCF_003259725.1,SRR6670218,Athene_cunicularia,PRJNA431202
SAMN08465545,L6394-1_BO15-077_S9,GCF_003259725.1,SRR6670220,Athene_cunicularia,PRJNA431202
SAMN08465543,L5734-1_BO15-053_S9,GCF_003259725.1,SRR6670222,Athene_cunicularia,PRJNA431202
SAMN08465467,L6444-1_BO15-127_S11,GCF_003259725.1,SRR6670223,Athene_cunicularia,PRJNA431202
