BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies
PRJNA431202,SAMN08465492,Athene_cunicularia,male,BO15-101,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465487,Athene_cunicularia,male,BO15-109,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465489,Athene_cunicularia,female,BO15-111,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465483,Athene_cunicularia,female,BO15-105,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465485,Athene_cunicularia,male,BO15-107,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465551,Athene_cunicularia,male,BO15-069,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465501,Athene_cunicularia,male,BO15-103,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465499,Athene_cunicularia,male,BO15-120,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465500,Athene_cunicularia,female,BO15-102,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465497,Athene_cunicularia,male,BO15-118,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465495,Athene_cunicularia,male,BO15-116,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465493,Athene_cunicularia,male,BO15-114,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465494,Athene_cunicularia,female,BO15-115,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465506,Athene_cunicularia,female,BO15-092,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465504,Athene_cunicularia,male,BO15-081,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465503,Athene_cunicularia,female,BO15-093,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465510,Athene_cunicularia,female,BO15-091,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465508,Athene_cunicularia,male,BO15-084,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465517,Athene_cunicularia,male,BO15-094,B_urban_2014,B,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465518,Athene_cunicularia,male,BO15-096,B_urban_2014,B,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465519,Athene_cunicularia,female,BO15-100,B_urban_2014,B,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465513,Athene_cunicularia,female,BO15-087,B_urban_2013,B,urban,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465526,Athene_cunicularia,male,BO15-067,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465527,Athene_cunicularia,male,BO15-065,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465530,Athene_cunicularia,female,BO15-059,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465582,Athene_cunicularia,male,BO15-150,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465574,Athene_cunicularia,male,BO17-004,B_rural_2016,B,rural,2016,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465576,Athene_cunicularia,male,BO17-006,B_rural_2016,B,rural,2016,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465578,Athene_cunicularia,female,BO17-008,B_rural_2016,B,rural,2016,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465580,Athene_cunicularia,female,BO15-151,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465533,Athene_cunicularia,male,BO15-071,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465539,Athene_cunicularia,male,BO15-074,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465537,Athene_cunicularia,female,BO15-044,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465542,Athene_cunicularia,male,BO15-075,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465569,Athene_cunicularia,female,BO15-236,B_rural_2015,B,rural,2015,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465565,Athene_cunicularia,missing,BO15-232,B_rural_2015,B,rural,2015,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465563,Athene_cunicularia,female,BO15-230,B_rural_2015,B,rural,2015,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465572,Athene_cunicularia,female,BO17-002,B_rural_2016,B,rural,2016,GCF_003259725.1,Athene_cunicularia
