BioProject,BioSample,Organism,sex,Submitter_Id,Type,Locality,Population,No.,Position,refGenome
PRJNA422339,SAMN13381277,Coilia_nasus,unknown,wHAXPI033920-24,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381278,Coilia_nasus,unknown,wHAXPI033921-25,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381271,Coilia_nasus,unknown,wHAXPI033877-16,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381272,Coilia_nasus,unknown,wHAXPI033881-19,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381269,Coilia_nasus,unknown,wHAXPI033870-18,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381275,Coilia_nasus,unknown,wHAXPI033918-22,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381276,Coilia_nasus,unknown,wHAXPI033919-23,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381273,Coilia_nasus,unknown,wHAXPI033916-20,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381274,Coilia_nasus,unknown,wHAXPI033917-21,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381304,Coilia_nasus,unknown,wHAXPI033976-74,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381303,Coilia_nasus,unknown,wHAXPI033975-73,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381301,Coilia_nasus,unknown,wHAXPI033973-68,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381300,Coilia_nasus,unknown,wHAXPI033972-63,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381299,Coilia_nasus,unknown,wHAXPI033971-61,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381228,Coilia_nasus,unknown,wHAXPI033740-34,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381227,Coilia_nasus,unknown,wHAXPI033739-32,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381226,Coilia_nasus,unknown,wHAXPI033738-31,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381225,Coilia_nasus,unknown,wHAXPI033737-30,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381224,Coilia_nasus,unknown,wHAXPI033736-29,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381222,Coilia_nasus,unknown,wHAXPI033734-27,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381221,Coilia_nasus,unknown,wHAXPI033733-26,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381220,Coilia_nasus,unknown,wHAXPI033732-25,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381219,Coilia_nasus,unknown,wHAXPI033731-24,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381289,Coilia_nasus,unknown,wHAXPI033932-39,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381290,Coilia_nasus,unknown,wHAXPI033933-40,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381291,Coilia_nasus,unknown,wHAXPI033934-41,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381292,Coilia_nasus,unknown,wHAXPI033935-42,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381293,Coilia_nasus,unknown,wHAXPI033965-45,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381294,Coilia_nasus,unknown,wHAXPI033966-47,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381295,Coilia_nasus,unknown,wHAXPI033967-50,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381297,Coilia_nasus,unknown,wHAXPI033969-58,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381298,Coilia_nasus,unknown,wHAXPI033970-59,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381244,Coilia_nasus,unknown,wHAXPI033840-72,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381243,Coilia_nasus,unknown,wHAXPI033839-68,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381246,Coilia_nasus,unknown,wHAXPI033842-74,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381245,Coilia_nasus,unknown,wHAXPI033841-73,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381240,Coilia_nasus,unknown,wHAXPI033836-59,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381239,Coilia_nasus,unknown,wHAXPI033835-58,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381242,Coilia_nasus,unknown,wHAXPI033838-63,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381241,Coilia_nasus,unknown,wHAXPI033837-61,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381248,Coilia_nasus,unknown,wHAXPI033844-78,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381247,Coilia_nasus,unknown,wHAXPI033843-75,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381235,Coilia_nasus,unknown,wHAXPI033747-45,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381236,Coilia_nasus,unknown,wHAXPI033748-47,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381233,Coilia_nasus,unknown,wHAXPI033745-41,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381234,Coilia_nasus,unknown,wHAXPI033746-42,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381231,Coilia_nasus,unknown,wHAXPI033743-39,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381232,Coilia_nasus,unknown,wHAXPI033744-40,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381229,Coilia_nasus,unknown,wHAXPI033741-35,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381230,Coilia_nasus,unknown,wHAXPI033742-36,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381237,Coilia_nasus,unknown,wHAXPI033749-50,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381238,Coilia_nasus,unknown,wHAXPI033834-54,River,Chongming,E,15,"31.767 N, 121.117 E",GCA_007927625.1
PRJNA422339,SAMN13381262,Coilia_nasus,unknown,wHAXPI033859-111,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381261,Coilia_nasus,unknown,wHAXPI033858-108,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381260,Coilia_nasus,unknown,wHAXPI033856-101,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381259,Coilia_nasus,unknown,wHAXPI033855-98,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381266,Coilia_nasus,unknown,wHAXPI033866-17,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381265,Coilia_nasus,unknown,wHAXPI033865-142,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381264,Coilia_nasus,unknown,wHAXPI033861-133,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381263,Coilia_nasus,unknown,wHAXPI033860-112,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381268,Coilia_nasus,unknown,wHAXPI033869-140,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381267,Coilia_nasus,unknown,wHAXPI033867-13,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381218,Coilia_nasus,unknown,wHAXPI033730-23,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381217,Coilia_nasus,unknown,wHAXPI033729-22,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381214,Coilia_nasus,unknown,wHAXPI033726-19,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381213,Coilia_nasus,unknown,wHAXPI033725-18,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381216,Coilia_nasus,unknown,wHAXPI033728-21,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381215,Coilia_nasus,unknown,wHAXPI033727-20,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN08177143,Coilia_nasus,unknown,wHAXPI033721-13,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381212,Coilia_nasus,unknown,wHAXPI033724-17,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381211,Coilia_nasus,unknown,wHAXPI033723-16,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381257,Coilia_nasus,unknown,wHAXPI033853-94,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381258,Coilia_nasus,unknown,wHAXPI033854-95,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381253,Coilia_nasus,unknown,wHAXPI033849-88,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381254,Coilia_nasus,unknown,wHAXPI033850-89,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381255,Coilia_nasus,unknown,wHAXPI033851-92,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381256,Coilia_nasus,unknown,wHAXPI033852-93,River,Jingjiang,3R,11,"31.933 N, 120.233 E",GCA_007927625.1
PRJNA422339,SAMN13381249,Coilia_nasus,unknown,wHAXPI033845-80,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381251,Coilia_nasus,unknown,wHAXPI033847-84,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381252,Coilia_nasus,unknown,wHAXPI033848-87,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381288,Coilia_nasus,unknown,wHAXPI033931-36,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381287,Coilia_nasus,unknown,wHAXPI033930-35,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381280,Coilia_nasus,unknown,wHAXPI033923-27,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381279,Coilia_nasus,unknown,wHAXPI033922-26,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381282,Coilia_nasus,unknown,wHAXPI033925-29,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381281,Coilia_nasus,unknown,wHAXPI033924-28,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381284,Coilia_nasus,unknown,wHAXPI033927-31,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381283,Coilia_nasus,unknown,wHAXPI033926-30,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381286,Coilia_nasus,unknown,wHAXPI033929-34,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381285,Coilia_nasus,unknown,wHAXPI033928-32,Lake,Hukou,5R,13,"29.733 N, 116.200 E",GCA_007927625.1
PRJNA422339,SAMN13381296,Coilia_nasus,unknown,wHAXPI033968-54,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
PRJNA422339,SAMN13381210,Coilia_nasus,unknown,wHAXPI033722-15,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381250,Coilia_nasus,unknown,wHAXPI033846-81,River,Nantong,2R,15,"31.967 N, 120.817 E",GCA_007927625.1
PRJNA422339,SAMN13381223,Coilia_nasus,unknown,wHAXPI033735-28,Sea,Yellow Sea,S,15,"31.500 N, 122.400 E",GCA_007927625.1
PRJNA422339,SAMN13381270,Coilia_nasus,unknown,wHAXPI033874-15,River,Anqing,4R,13,"30.500 N, 117.067 E",GCA_007927625.1
PRJNA422339,SAMN13381302,Coilia_nasus,unknown,wHAXPI033974-72,Lake,Duchang,6R,14,"29.233 N, 116.183 E",GCA_007927625.1
