BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN13381277,wHAXPI033920-24,GCA_007927625.1,SRR6384181,Coilia_nasus,PRJNA422339
SAMN13381278,wHAXPI033921-25,GCA_007927625.1,SRR6384182,Coilia_nasus,PRJNA422339
SAMN13381271,wHAXPI033877-16,GCA_007927625.1,SRR6384183,Coilia_nasus,PRJNA422339
SAMN13381272,wHAXPI033881-19,GCA_007927625.1,SRR6384184,Coilia_nasus,PRJNA422339
SAMN13381269,wHAXPI033870-18,GCA_007927625.1,SRR6384185,Coilia_nasus,PRJNA422339
SAMN13381275,wHAXPI033918-22,GCA_007927625.1,SRR6384187,Coilia_nasus,PRJNA422339
SAMN13381276,wHAXPI033919-23,GCA_007927625.1,SRR6384188,Coilia_nasus,PRJNA422339
SAMN13381273,wHAXPI033916-20,GCA_007927625.1,SRR6384189,Coilia_nasus,PRJNA422339
SAMN13381274,wHAXPI033917-21,GCA_007927625.1,SRR6384190,Coilia_nasus,PRJNA422339
SAMN13381304,wHAXPI033976-74,GCA_007927625.1,SRR6384193,Coilia_nasus,PRJNA422339
SAMN13381303,wHAXPI033975-73,GCA_007927625.1,SRR6384194,Coilia_nasus,PRJNA422339
SAMN13381301,wHAXPI033973-68,GCA_007927625.1,SRR6384196,Coilia_nasus,PRJNA422339
SAMN13381300,wHAXPI033972-63,GCA_007927625.1,SRR6384197,Coilia_nasus,PRJNA422339
SAMN13381299,wHAXPI033971-61,GCA_007927625.1,SRR6384198,Coilia_nasus,PRJNA422339
SAMN13381228,wHAXPI033740-34,GCA_007927625.1,SRR6384201,Coilia_nasus,PRJNA422339
SAMN13381227,wHAXPI033739-32,GCA_007927625.1,SRR6384202,Coilia_nasus,PRJNA422339
SAMN13381226,wHAXPI033738-31,GCA_007927625.1,SRR6384203,Coilia_nasus,PRJNA422339
SAMN13381225,wHAXPI033737-30,GCA_007927625.1,SRR6384204,Coilia_nasus,PRJNA422339
SAMN13381224,wHAXPI033736-29,GCA_007927625.1,SRR6384205,Coilia_nasus,PRJNA422339
SAMN13381222,wHAXPI033734-27,GCA_007927625.1,SRR6384207,Coilia_nasus,PRJNA422339
SAMN13381221,wHAXPI033733-26,GCA_007927625.1,SRR6384208,Coilia_nasus,PRJNA422339
SAMN13381220,wHAXPI033732-25,GCA_007927625.1,SRR6384209,Coilia_nasus,PRJNA422339
SAMN13381219,wHAXPI033731-24,GCA_007927625.1,SRR6384210,Coilia_nasus,PRJNA422339
SAMN13381289,wHAXPI033932-39,GCA_007927625.1,SRR6384211,Coilia_nasus,PRJNA422339
SAMN13381290,wHAXPI033933-40,GCA_007927625.1,SRR6384212,Coilia_nasus,PRJNA422339
SAMN13381291,wHAXPI033934-41,GCA_007927625.1,SRR6384213,Coilia_nasus,PRJNA422339
SAMN13381292,wHAXPI033935-42,GCA_007927625.1,SRR6384214,Coilia_nasus,PRJNA422339
SAMN13381293,wHAXPI033965-45,GCA_007927625.1,SRR6384215,Coilia_nasus,PRJNA422339
SAMN13381294,wHAXPI033966-47,GCA_007927625.1,SRR6384216,Coilia_nasus,PRJNA422339
SAMN13381295,wHAXPI033967-50,GCA_007927625.1,SRR6384217,Coilia_nasus,PRJNA422339
SAMN13381297,wHAXPI033969-58,GCA_007927625.1,SRR6384219,Coilia_nasus,PRJNA422339
SAMN13381298,wHAXPI033970-59,GCA_007927625.1,SRR6384220,Coilia_nasus,PRJNA422339
SAMN13381244,wHAXPI033840-72,GCA_007927625.1,SRR6384221,Coilia_nasus,PRJNA422339
SAMN13381243,wHAXPI033839-68,GCA_007927625.1,SRR6384222,Coilia_nasus,PRJNA422339
SAMN13381246,wHAXPI033842-74,GCA_007927625.1,SRR6384223,Coilia_nasus,PRJNA422339
SAMN13381245,wHAXPI033841-73,GCA_007927625.1,SRR6384224,Coilia_nasus,PRJNA422339
SAMN13381240,wHAXPI033836-59,GCA_007927625.1,SRR6384225,Coilia_nasus,PRJNA422339
SAMN13381239,wHAXPI033835-58,GCA_007927625.1,SRR6384226,Coilia_nasus,PRJNA422339
SAMN13381242,wHAXPI033838-63,GCA_007927625.1,SRR6384227,Coilia_nasus,PRJNA422339
SAMN13381241,wHAXPI033837-61,GCA_007927625.1,SRR6384228,Coilia_nasus,PRJNA422339
SAMN13381248,wHAXPI033844-78,GCA_007927625.1,SRR6384229,Coilia_nasus,PRJNA422339
SAMN13381247,wHAXPI033843-75,GCA_007927625.1,SRR6384230,Coilia_nasus,PRJNA422339
SAMN13381235,wHAXPI033747-45,GCA_007927625.1,SRR6384231,Coilia_nasus,PRJNA422339
SAMN13381236,wHAXPI033748-47,GCA_007927625.1,SRR6384232,Coilia_nasus,PRJNA422339
SAMN13381233,wHAXPI033745-41,GCA_007927625.1,SRR6384233,Coilia_nasus,PRJNA422339
SAMN13381234,wHAXPI033746-42,GCA_007927625.1,SRR6384234,Coilia_nasus,PRJNA422339
SAMN13381231,wHAXPI033743-39,GCA_007927625.1,SRR6384235,Coilia_nasus,PRJNA422339
SAMN13381232,wHAXPI033744-40,GCA_007927625.1,SRR6384236,Coilia_nasus,PRJNA422339
SAMN13381229,wHAXPI033741-35,GCA_007927625.1,SRR6384237,Coilia_nasus,PRJNA422339
SAMN13381230,wHAXPI033742-36,GCA_007927625.1,SRR6384238,Coilia_nasus,PRJNA422339
SAMN13381237,wHAXPI033749-50,GCA_007927625.1,SRR6384240,Coilia_nasus,PRJNA422339
SAMN13381238,wHAXPI033834-54,GCA_007927625.1,SRR6384241,Coilia_nasus,PRJNA422339
SAMN13381262,wHAXPI033859-111,GCA_007927625.1,SRR6384243,Coilia_nasus,PRJNA422339
SAMN13381261,wHAXPI033858-108,GCA_007927625.1,SRR6384244,Coilia_nasus,PRJNA422339
SAMN13381260,wHAXPI033856-101,GCA_007927625.1,SRR6384245,Coilia_nasus,PRJNA422339
SAMN13381259,wHAXPI033855-98,GCA_007927625.1,SRR6384246,Coilia_nasus,PRJNA422339
SAMN13381266,wHAXPI033866-17,GCA_007927625.1,SRR6384247,Coilia_nasus,PRJNA422339
SAMN13381265,wHAXPI033865-142,GCA_007927625.1,SRR6384248,Coilia_nasus,PRJNA422339
SAMN13381264,wHAXPI033861-133,GCA_007927625.1,SRR6384249,Coilia_nasus,PRJNA422339
SAMN13381263,wHAXPI033860-112,GCA_007927625.1,SRR6384250,Coilia_nasus,PRJNA422339
SAMN13381268,wHAXPI033869-140,GCA_007927625.1,SRR6384252,Coilia_nasus,PRJNA422339
SAMN13381267,wHAXPI033867-13,GCA_007927625.1,SRR6384253,Coilia_nasus,PRJNA422339
SAMN13381218,wHAXPI033730-23,GCA_007927625.1,SRR6384254,Coilia_nasus,PRJNA422339
SAMN13381217,wHAXPI033729-22,GCA_007927625.1,SRR6384255,Coilia_nasus,PRJNA422339
SAMN13381214,wHAXPI033726-19,GCA_007927625.1,SRR6384256,Coilia_nasus,PRJNA422339
SAMN13381213,wHAXPI033725-18,GCA_007927625.1,SRR6384257,Coilia_nasus,PRJNA422339
SAMN13381216,wHAXPI033728-21,GCA_007927625.1,SRR6384258,Coilia_nasus,PRJNA422339
SAMN13381215,wHAXPI033727-20,GCA_007927625.1,SRR6384259,Coilia_nasus,PRJNA422339
SAMN08177143,wHAXPI033721-13,GCA_007927625.1,SRR6384261,Coilia_nasus,PRJNA422339
SAMN13381212,wHAXPI033724-17,GCA_007927625.1,SRR6384262,Coilia_nasus,PRJNA422339
