Organism,BioProject,BioSample,Run,LibraryName,refGenome
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867110,Hooded_crow_S_Up_H32_5kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867112,Hooded_crow_S_Up_H32_5kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867113,Hooded_crow_S_Up_H32_5kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867114,Hooded_crow_S_Up_H32_5kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867115,Hooded_crow_S_Up_H32_5kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867116,Hooded_crow_S_Up_H32_5kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867117,Hooded_crow_S_Up_H32_5kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867118,Hooded_crow_S_Up_H32_20kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02143031,SRR867119,Hooded_crow_S_Up_H32_20kb,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439805,SRR1265090,PL_Wa_H02,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439805,SRR1265091,PL_Wa_H02,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439805,SRR1265092,PL_Wa_H02,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439805,SRR1265093,PL_Wa_H02,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439805,SRR1265094,PL_Wa_H02,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439806,SRR1265101,PL_Wa_H03,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439806,SRR1265102,PL_Wa_H03,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439806,SRR1265103,PL_Wa_H03,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439807,SRR1265105,PL_Wa_H05,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439807,SRR1265106,PL_Wa_H05,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439807,SRR1265107,PL_Wa_H05,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439807,SRR1265108,PL_Wa_H05,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439808,SRR1265116,PL_Wa_H06,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439808,SRR1265118,PL_Wa_H06,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439808,SRR1265119,PL_Wa_H06,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439808,SRR1265120,PL_Wa_H06,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439809,SRR1265419,PL_Wa_H09,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439809,SRR1265420,PL_Wa_H09,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439809,SRR1265421,PL_Wa_H09,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439810,SRR1265422,PL_Wa_H11,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439810,SRR1265423,PL_Wa_H11,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439810,SRR1265424,PL_Wa_H11,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439810,SRR1265425,PL_Wa_H11,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439811,SRR1265427,PL_Wa_H14,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439811,SRR1265428,PL_Wa_H14,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439812,SRR1265485,PL_Wa_H16,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439812,SRR1265486,PL_Wa_H16,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439812,SRR1265487,PL_Wa_H16,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439812,SRR1265488,PL_Wa_H16,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439814,SRR1265490,PL_Wa_H22,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439814,SRR1265491,PL_Wa_H22,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439814,SRR1265493,PL_Wa_H22,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439813,SRR1265959,PL_Wa_H17,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439813,SRR1265960,PL_Wa_H17,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439813,SRR1265961,PL_Wa_H17,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439813,SRR1265962,PL_Wa_H17,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439815,SRR1266946,PL_Wa_H23,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439815,SRR1266947,PL_Wa_H23,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439815,SRR1266948,PL_Wa_H23,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439815,SRR1266949,PL_Wa_H23,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439816,SRR1266950,PL_Wa_H32,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439816,SRR1266951,PL_Wa_H32,GCF_000738735.5
Corvus_cornix_cornix,PRJNA192205,SAMN02439816,SRR1266953,PL_Wa_H32,GCF_000738735.5
