BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,refGenome,refSpecies
PRJNA192205,SAMN02143031,Corvus_cornix_cornix,male,S_Up_H32,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439805,Corvus_cornix_cornix,male,PL_Wa_H02,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439806,Corvus_cornix_cornix,male,PL_Wa_H03,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439807,Corvus_cornix_cornix,male,PL_Wa_H05,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439808,Corvus_cornix_cornix,male,PL_Wa_H06,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439809,Corvus_cornix_cornix,male,PL_Wa_H09,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439810,Corvus_cornix_cornix,male,PL_Wa_H11,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439811,Corvus_cornix_cornix,male,PL_Wa_H14,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439812,Corvus_cornix_cornix,male,PL_Wa_H16,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439814,Corvus_cornix_cornix,male,PL_Wa_H22,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439813,Corvus_cornix_cornix,male,PL_Wa_H17,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439815,Corvus_cornix_cornix,male,PL_Wa_H23,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439816,Corvus_cornix_cornix,male,PL_Wa_H32,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439817,Corvus_cornix_cornix,male,PL_Wa_H35,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439818,Corvus_cornix_cornix,male,PL_Wa_H50,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439819,Corvus_cornix_cornix,male,PL_Wa_H52,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439820,Corvus_cornix_cornix,male,S_Ri_H05,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439821,Corvus_cornix_cornix,male,S_Ri_H07,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439822,Corvus_cornix_cornix,male,S_Ri_H23,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439823,Corvus_cornix_cornix,male,S_Ri_H29,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439824,Corvus_cornix_cornix,male,S_Ri_H43,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439825,Corvus_cornix_cornix,male,S_Up_H03,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439826,Corvus_cornix_cornix,male,S_Up_H09,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439827,Corvus_cornix_cornix,male,S_Up_H16,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439828,Corvus_cornix_cornix,male,S_Up_H24,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439829,Corvus_cornix_cornix,male,S_Up_H29,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439830,Corvus_cornix_cornix,male,S_Up_H37,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439831,Corvus_cornix_cornix,male,S_Up_H43,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439832,Corvus_cornix_cornix,male,S_Up_H47,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439833,Corvus_cornix_cornix,male,S_Up_H51,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
PRJNA192205,SAMN02439834,Corvus_cornix_cornix,male,S_Up_H52,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix
