BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN02743819,D_Ko_C04,GCF_000738735.5,SRR1284299,Corvus_corone_corone,PRJNA192205
SAMN02743819,D_Ko_C04,GCF_000738735.5,SRR1284300,Corvus_corone_corone,PRJNA192205
SAMN02743819,D_Ko_C04,GCF_000738735.5,SRR1284302,Corvus_corone_corone,PRJNA192205
SAMN02743819,D_Ko_C04,GCF_000738735.5,SRR1284304,Corvus_corone_corone,PRJNA192205
SAMN02743819,D_Ko_C04,GCF_000738735.5,SRR1284307,Corvus_corone_corone,PRJNA192205
SAMN02743820,D_Ko_C05,GCF_000738735.5,SRR1284320,Corvus_corone_corone,PRJNA192205
SAMN02743820,D_Ko_C05,GCF_000738735.5,SRR1284321,Corvus_corone_corone,PRJNA192205
SAMN02743820,D_Ko_C05,GCF_000738735.5,SRR1284322,Corvus_corone_corone,PRJNA192205
SAMN02743820,D_Ko_C05,GCF_000738735.5,SRR1284323,Corvus_corone_corone,PRJNA192205
SAMN02743820,D_Ko_C05,GCF_000738735.5,SRR1284324,Corvus_corone_corone,PRJNA192205
SAMN02743821,D_Ko_C08,GCF_000738735.5,SRR1284325,Corvus_corone_corone,PRJNA192205
SAMN02743821,D_Ko_C08,GCF_000738735.5,SRR1284326,Corvus_corone_corone,PRJNA192205
SAMN02743821,D_Ko_C08,GCF_000738735.5,SRR1284327,Corvus_corone_corone,PRJNA192205
SAMN02743821,D_Ko_C08,GCF_000738735.5,SRR1284328,Corvus_corone_corone,PRJNA192205
SAMN02743822,D_Ko_C11,GCF_000738735.5,SRR1284329,Corvus_corone_corone,PRJNA192205
SAMN02743822,D_Ko_C11,GCF_000738735.5,SRR1284330,Corvus_corone_corone,PRJNA192205
SAMN02743822,D_Ko_C11,GCF_000738735.5,SRR1284331,Corvus_corone_corone,PRJNA192205
SAMN02743822,D_Ko_C11,GCF_000738735.5,SRR1284332,Corvus_corone_corone,PRJNA192205
SAMN02743823,D_Ko_C13,GCF_000738735.5,SRR1284333,Corvus_corone_corone,PRJNA192205
SAMN02743823,D_Ko_C13,GCF_000738735.5,SRR1284334,Corvus_corone_corone,PRJNA192205
SAMN02743823,D_Ko_C13,GCF_000738735.5,SRR1284335,Corvus_corone_corone,PRJNA192205
SAMN02743823,D_Ko_C13,GCF_000738735.5,SRR1284336,Corvus_corone_corone,PRJNA192205
SAMN02743823,D_Ko_C13,GCF_000738735.5,SRR1284337,Corvus_corone_corone,PRJNA192205
SAMN02743824,D_Ko_C15,GCF_000738735.5,SRR1284338,Corvus_corone_corone,PRJNA192205
SAMN02743824,D_Ko_C15,GCF_000738735.5,SRR1284339,Corvus_corone_corone,PRJNA192205
SAMN02743824,D_Ko_C15,GCF_000738735.5,SRR1284340,Corvus_corone_corone,PRJNA192205
SAMN02743824,D_Ko_C15,GCF_000738735.5,SRR1284341,Corvus_corone_corone,PRJNA192205
SAMN02743824,D_Ko_C15,GCF_000738735.5,SRR1284342,Corvus_corone_corone,PRJNA192205
SAMN02743825,D_Ko_C19,GCF_000738735.5,SRR1284343,Corvus_corone_corone,PRJNA192205
SAMN02743825,D_Ko_C19,GCF_000738735.5,SRR1284344,Corvus_corone_corone,PRJNA192205
SAMN02743825,D_Ko_C19,GCF_000738735.5,SRR1284345,Corvus_corone_corone,PRJNA192205
SAMN02743825,D_Ko_C19,GCF_000738735.5,SRR1284346,Corvus_corone_corone,PRJNA192205
SAMN02743825,D_Ko_C19,GCF_000738735.5,SRR1284347,Corvus_corone_corone,PRJNA192205
SAMN02743826,D_Ko_C20,GCF_000738735.5,SRR1284348,Corvus_corone_corone,PRJNA192205
SAMN02743826,D_Ko_C20,GCF_000738735.5,SRR1284349,Corvus_corone_corone,PRJNA192205
SAMN02743826,D_Ko_C20,GCF_000738735.5,SRR1284350,Corvus_corone_corone,PRJNA192205
SAMN02743826,D_Ko_C20,GCF_000738735.5,SRR1284351,Corvus_corone_corone,PRJNA192205
SAMN02743827,D_Ra_C01,GCF_000738735.5,SRR1284353,Corvus_corone_corone,PRJNA192205
SAMN02743827,D_Ra_C01,GCF_000738735.5,SRR1284354,Corvus_corone_corone,PRJNA192205
SAMN02743827,D_Ra_C01,GCF_000738735.5,SRR1284355,Corvus_corone_corone,PRJNA192205
SAMN02743827,D_Ra_C01,GCF_000738735.5,SRR1284356,Corvus_corone_corone,PRJNA192205
SAMN02743827,D_Ra_C01,GCF_000738735.5,SRR1284357,Corvus_corone_corone,PRJNA192205
SAMN02743828,D_Ra_C05,GCF_000738735.5,SRR1284358,Corvus_corone_corone,PRJNA192205
SAMN02743828,D_Ra_C05,GCF_000738735.5,SRR1284359,Corvus_corone_corone,PRJNA192205
SAMN02743828,D_Ra_C05,GCF_000738735.5,SRR1284360,Corvus_corone_corone,PRJNA192205
SAMN02743828,D_Ra_C05,GCF_000738735.5,SRR1284361,Corvus_corone_corone,PRJNA192205
SAMN02743828,D_Ra_C05,GCF_000738735.5,SRR1284362,Corvus_corone_corone,PRJNA192205
SAMN02743828,D_Ra_C05,GCF_000738735.5,SRR1284363,Corvus_corone_corone,PRJNA192205
SAMN02743829,D_Ra_C06,GCF_000738735.5,SRR1284364,Corvus_corone_corone,PRJNA192205
SAMN02743829,D_Ra_C06,GCF_000738735.5,SRR1284365,Corvus_corone_corone,PRJNA192205
SAMN02743829,D_Ra_C06,GCF_000738735.5,SRR1284366,Corvus_corone_corone,PRJNA192205
SAMN02743829,D_Ra_C06,GCF_000738735.5,SRR1284367,Corvus_corone_corone,PRJNA192205
SAMN02743830,D_Ra_C11,GCF_000738735.5,SRR1284368,Corvus_corone_corone,PRJNA192205
