BioProject,BioSample,Organism,sex,Submitter_Id,Population,Subpopulation,refGenome,refSpecies
PRJNA472842,SAMN09245601,Dicentrarchus_labrax,female,T7F_CAGATC_L007,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245600,Dicentrarchus_labrax,male,T7M_ACTTGA_L007,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245593,Dicentrarchus_labrax,unknown,T4C_CTTGTA_L004,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245592,Dicentrarchus_labrax,female,T4F_TAGCTT_L004,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245595,Dicentrarchus_labrax,female,T5F_ATCACG_L005,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245594,Dicentrarchus_labrax,male,T5M_CGATGT_L005,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245597,Dicentrarchus_labrax,male,T6M_ACAGTG_L006,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245596,Dicentrarchus_labrax,unknown,T5C_TTAGGC_L005,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245599,Dicentrarchus_labrax,unknown,T6C_GCCAAT_L006,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245598,Dicentrarchus_labrax,female,T6F_TGACCA_L006,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245591,Dicentrarchus_labrax,male,T4M_GGCTAC_L004,Atlantic,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245590,Dicentrarchus_labrax,unknown,T3C_GATCAG_L003,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245585,Dicentrarchus_labrax,male,T2M_ACAGTG_L002,Atlantic,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245584,Dicentrarchus_labrax,unknown,T1C_TTAGGC_L001,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245583,Dicentrarchus_labrax,female,T1F_ATCACG_L001,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245582,Dicentrarchus_labrax,male,T1M_CGATGT_L001,Atlantic,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245589,Dicentrarchus_labrax,female,T3F_CAGATC_L003,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245588,Dicentrarchus_labrax,male,T3M_ACTTGA_L003,Atlantic,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245587,Dicentrarchus_labrax,unknown,T2C_GCCAAT_L002,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245586,Dicentrarchus_labrax,female,T2F_TGACCA_L002,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245602,Dicentrarchus_labrax,unknown,T7C_GATCAG_L007,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245603,Dicentrarchus_labrax,male,T8M_GGCTAC_L008,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245604,Dicentrarchus_labrax,female,T8F_TAGCTT_L008,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA472842,SAMN09245605,Dicentrarchus_labrax,unknown,T8C_CTTGTA_L008,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732662,Dicentrarchus_labrax,male,AT211267,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732661,Dicentrarchus_labrax,male,AT211069,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732659,Dicentrarchus_labrax,male,AT207193,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732712,Dicentrarchus_labrax,male,WME97522,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732711,Dicentrarchus_labrax,unknown,WME78204,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732710,Dicentrarchus_labrax,male,WM204910,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732709,Dicentrarchus_labrax,male,WM103016,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732708,Dicentrarchus_labrax,male,WM102209,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732707,Dicentrarchus_labrax,male,WM101174,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732706,Dicentrarchus_labrax,male,WM098577,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732705,Dicentrarchus_labrax,male,WM098394,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732704,Dicentrarchus_labrax,male,WM095636,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732703,Dicentrarchus_labrax,male,SEM21,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax
PRJNA628166,SAMN14732658,Dicentrarchus_labrax,male,AT206125,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax
