BioProject,BioSample,Organism,sex,Submitter_Id,Population,refGenome
PRJNA686418,SAMN17255110,Falco_peregrinus,unknown,Yamal5,Yamal,GCF_000337955.1
PRJNA686418,SAMN17118395,Falco_peregrinus,unknown,Kola2,Kola,GCF_000337955.1
PRJNA686418,SAMN17118869,Falco_peregrinus,unknown,Kola3,Kola,GCF_000337955.1
PRJNA686418,SAMN17150318,Falco_peregrinus,unknown,Kolguev4,Kolguev,GCF_000337955.1
PRJNA686418,SAMN17150848,Falco_peregrinus,unknown,Kolguev3,Kolguev,GCF_000337955.1
PRJNA686418,SAMN17132314,Falco_peregrinus,unknown,Kolyma7,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17132232,Falco_peregrinus,unknown,Kolyma4,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17132259,Falco_peregrinus,unknown,Kolyma6,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17132315,Falco_peregrinus,unknown,Kolyma8,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17134049,Falco_peregrinus,unknown,Yamal2,Yamal,GCF_000337955.1
PRJNA686418,SAMN17141464,Falco_peregrinus,unknown,Kolyma9,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17141518,Falco_peregrinus,unknown,Kolyma-2,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17141580,Falco_peregrinus,unknown,Kolyma-3,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17154545,Falco_peregrinus,unknown,Kolguev5,Kolguev,GCF_000337955.1
PRJNA686418,SAMN17120643,Falco_peregrinus,unknown,Kola5,Kola,GCF_000337955.1
PRJNA686418,SAMN17120864,Falco_peregrinus,unknown,Kola10,Kola,GCF_000337955.1
PRJNA686418,SAMN17120865,Falco_peregrinus,unknown,Yamal1,Yamal,GCF_000337955.1
PRJNA686418,SAMN17120983,Falco_peregrinus,unknown,Yamal3,Yamal,GCF_000337955.1
PRJNA686418,SAMN17125934,Falco_peregrinus,unknown,Yamal11,Yamal,GCF_000337955.1
PRJNA686418,SAMN17125939,Falco_peregrinus,unknown,Kola8,Kola,GCF_000337955.1
PRJNA686418,SAMN17125933,Falco_peregrinus,unknown,Yamal9,Yamal,GCF_000337955.1
PRJNA686418,SAMN17125937,Falco_peregrinus,unknown,Yamal6,Yamal,GCF_000337955.1
PRJNA686418,SAMN17125936,Falco_peregrinus,unknown,Yamal7,Yamal,GCF_000337955.1
PRJNA686418,SAMN17125938,Falco_peregrinus,unknown,Yamal4,Yamal,GCF_000337955.1
PRJNA686418,SAMN17126931,Falco_peregrinus,unknown,Kola6,Kola,GCF_000337955.1
PRJNA686418,SAMN17126933,Falco_peregrinus,unknown,Kolyma1,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17132248,Falco_peregrinus,unknown,Kolyma5,Kolyma,GCF_000337955.1
PRJNA686418,SAMN17169283,Falco_peregrinus,unknown,Yamal10,Yamal,GCF_000337955.1
PRJNA686418,SAMN17125946,Falco_peregrinus,unknown,Kola7,Kola,GCF_000337955.1
PRJNA686418,SAMN17155198,Falco_peregrinus,unknown,Kolguev1,Kolguev,GCF_000337955.1
PRJNA686418,SAMN17155199,Falco_peregrinus,unknown,Kolguev2,Kolguev,GCF_000337955.1
PRJNA686418,SAMN17117209,Falco_peregrinus,unknown,Kola1,Kola,GCF_000337955.1
PRJNA686418,SAMN17189680,Falco_peregrinus,unknown,Kola-4,Kola,GCF_000337955.1
PRJNA686418,SAMN17125935,Falco_peregrinus,unknown,Yamal8,Yamal,GCF_000337955.1
PRJNA686418,SAMN17188551,Falco_peregrinus,unknown,Kola9,Kola,GCF_000337955.1
