Organism,BioProject,BioSample,Run,LibraryName,refGenome
Ficedula_albicollis,PRJEB7359,SAMEA2785380,ERR637360,OC_1_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785381,ERR637361,OC_2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785382,ERR637362,OC_3_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785383,ERR637363,OC_4_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785384,ERR637364,OC_5_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785385,ERR637365,OC_6_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785386,ERR637366,OC_7_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785387,ERR637367,OC_8_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785388,ERR637368,OC_10_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785389,ERR637369,OC_HB1_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785390,ERR637370,OC_HB2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785391,ERR637371,OC_HB3_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785392,ERR637372,OC_HB4_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785393,ERR637373,OC_HB5_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785394,ERR637374,OC_HB6_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785395,ERR637375,OC_HB7_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785396,ERR637376,OC_HB8_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785398,ERR637378,OC_HB10_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785558,ERR637505,I_D5-2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785559,ERR637506,I_D6-2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785560,ERR637507,I_DA-3_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785561,ERR637508,I_DB-1_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785562,ERR637509,I_E30-3_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785563,ERR637510,I_F1-1_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785564,ERR637511,I_F16-2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785565,ERR637512,I_F9-1_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785567,ERR637514,I_GX_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785568,ERR637515,I_GY-2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785569,ERR637516,I_LA_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785570,ERR637517,I_LC-2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785571,ERR637518,I_LX-2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785572,ERR637519,I_LY-1_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785574,ERR637521,I_S1_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785575,ERR637522,I_S2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785576,ERR637523,I_S3_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785577,ERR637524,I_S4-19_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166387,ERR692007,H_117_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166388,ERR692008,H_118_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166389,ERR692009,H_126_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166397,ERR692010,H_12_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166390,ERR692011,H_31_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166391,ERR692012,H_354_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166392,ERR692013,H_367_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166393,ERR692014,H_377_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166394,ERR692015,H_379_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166395,ERR692016,H_392_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166398,ERR692017,H_43_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166396,ERR692018,H_452_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166399,ERR692019,H_454_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166400,ERR692020,H_473_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166401,ERR692021,H_52_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166402,ERR692022,H_53_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166403,ERR692023,H_76_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166404,ERR692024,H_78_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166405,ERR692025,H_86_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166406,ERR692026,H_94_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166413,ERR692047,CZC_119601_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166414,ERR692048,CZC_304236_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166417,ERR692051,CZC_419135_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166418,ERR692052,CZC_419251_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166419,ERR692053,CZC_419493_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166420,ERR692054,CZC_461398_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166421,ERR692055,CZC_48837_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166422,ERR692056,CZC_73077_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166423,ERR692057,CZC_82259_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166425,ERR692059,CZC_82348_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166426,ERR692060,CZC_82352_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166427,ERR692061,CZC_82355_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166428,ERR692062,CZC_82356_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166429,ERR692063,CZC_83353_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166430,ERR692064,CZC_83359_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166431,ERR692065,CZC_91319_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166432,ERR692066,CZC_91360_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785397,ERR637377,OC_HB9_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166415,ERR692049,CZC_382648_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785566,ERR637513,I_G13-2_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166416,ERR692050,CZC_382761_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA2785573,ERR637520,I_LZ-1_450,GCF_000247815.1
Ficedula_albicollis,PRJEB7359,SAMEA3166424,ERR692058,CZC_82317_450,GCF_000247815.1
Ficedula_albicollis,PRJEB12616,SAMEA3868732,ERR1254817,unspecified,GCF_000247815.1
Ficedula_albicollis,PRJEB12616,SAMEA3868733,ERR1254818,unspecified,GCF_000247815.1
Ficedula_albicollis,PRJEB12616,SAMEA3868735,ERR1254820,unspecified,GCF_000247815.1
Ficedula_albicollis,PRJEB12616,SAMEA3868736,ERR1254821,unspecified,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638001,ERR1097507,u003_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638017,ERR1097508,u004_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637999,ERR1097509,u005_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638002,ERR1097510,u007_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638013,ERR1097511,u010_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638012,ERR1097512,u011_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638019,ERR1097513,u012_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638011,ERR1097514,u013_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638020,ERR1097515,u014_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638000,ERR1097516,u016_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638009,ERR1097517,u017_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638008,ERR1097518,u018_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638005,ERR1097519,u019_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637987,ERR1097521,u021_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637998,ERR1097522,u022_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638021,ERR1097523,u023_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637990,ERR1097524,u024_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638016,ERR1097525,u025_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637995,ERR1097526,u026_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638014,ERR1097528,u028_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638003,ERR1097529,u029_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638018,ERR1097530,u030_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638004,ERR1097531,u032_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637993,ERR1097534,u036_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637992,ERR1097535,u037_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637997,ERR1097536,u038_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637996,ERR1097537,u040_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637988,ERR1097538,u041_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637991,ERR1097539,u042_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3637994,ERR1097540,u043_450,GCF_000247815.1
Ficedula_albicollis,PRJEB11502,SAMEA3638027,ERR1097541,u101_450,GCF_000247815.1
