BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome
PRJEB7359,SAMEA3175116,Ficedula_speculigera,male,Morocco,Africa,FSP08-001,FSP08,001,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175117,Ficedula_speculigera,female,Morocco,Africa,FSP08-002,FSP08,002,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175118,Ficedula_speculigera,female,Morocco,Africa,FSP08-006,FSP08,006,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175119,Ficedula_speculigera,male,Morocco,Africa,FSP08-007,FSP08,007,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175120,Ficedula_speculigera,male,Morocco,Africa,FSP08-009,FSP08,009,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175122,Ficedula_speculigera,female,Morocco,Africa,FSP08-011,FSP08,011,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175123,Ficedula_speculigera,female,Morocco,Africa,FSP08-012,FSP08,012,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175124,Ficedula_speculigera,male,Morocco,Africa,FSP08-014,FSP08,014,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175125,Ficedula_speculigera,male,Morocco,Africa,FSP08-015,FSP08,015,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175126,Ficedula_speculigera,male,Morocco,Africa,FSP08-017,FSP08,017,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175127,Ficedula_speculigera,female,Morocco,Africa,FSP08-018,FSP08,018,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175128,Ficedula_speculigera,male,Morocco,Africa,FSP08-019,FSP08,019,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175129,Ficedula_speculigera,male,Morocco,Africa,FSP08-020,FSP08,020,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175130,Ficedula_speculigera,male,Morocco,Africa,FSP08-021,FSP08,021,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175131,Ficedula_speculigera,male,Morocco,Africa,FSP08-022,FSP08,022,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175132,Ficedula_speculigera,male,Morocco,Africa,FSP08-023,FSP08,023,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175133,Ficedula_speculigera,female,Morocco,Africa,FSP08-024,FSP08,024,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175134,Ficedula_speculigera,male,Morocco,Africa,FSP08-025,FSP08,025,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175135,Ficedula_speculigera,male,Morocco,Africa,FSP08-026,FSP08,026,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3175121,Ficedula_speculigera,male,Morocco,Africa,FSP08-010,FSP08,010,Unknown,NA,NA,GCF_000247815.1
