BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN05930393,BI-50,GCF_011125445.2,SRR4781320,Fundulus_heteroclitus,PRJNA323589
SAMN05930394,BI-52,GCF_011125445.2,SRR4781324,Fundulus_heteroclitus,PRJNA323589
SAMN05930395,BI-53,GCF_011125445.2,SRR4781327,Fundulus_heteroclitus,PRJNA323589
SAMN05930396,BI-54,GCF_011125445.2,SRR4781331,Fundulus_heteroclitus,PRJNA323589
SAMN05930397,BI-55,GCF_011125445.2,SRR4781334,Fundulus_heteroclitus,PRJNA323589
SAMN05930398,BI-56,GCF_011125445.2,SRR4781338,Fundulus_heteroclitus,PRJNA323589
SAMN05930399,BI-5,GCF_011125445.2,SRR4781341,Fundulus_heteroclitus,PRJNA323589
SAMN05930400,BI-6,GCF_011125445.2,SRR4781346,Fundulus_heteroclitus,PRJNA323589
SAMN05930391,BI-48,GCF_011125445.2,SRR4781349,Fundulus_heteroclitus,PRJNA323589
SAMN05930392,BI-49,GCF_011125445.2,SRR4781352,Fundulus_heteroclitus,PRJNA323589
SAMN05930643,NBH-6,GCF_011125445.2,SRR4781355,Fundulus_heteroclitus,PRJNA323589
SAMN05930428,BP-32,GCF_011125445.2,SRR4781361,Fundulus_heteroclitus,PRJNA323589
SAMN05930427,BP-31,GCF_011125445.2,SRR4781364,Fundulus_heteroclitus,PRJNA323589
SAMN05930430,BP-34,GCF_011125445.2,SRR4781367,Fundulus_heteroclitus,PRJNA323589
SAMN05930429,BP-33,GCF_011125445.2,SRR4781370,Fundulus_heteroclitus,PRJNA323589
SAMN05930424,BP-29,GCF_011125445.2,SRR4781373,Fundulus_heteroclitus,PRJNA323589
SAMN05930423,BP-28,GCF_011125445.2,SRR4781375,Fundulus_heteroclitus,PRJNA323589
SAMN05930425,BP-2,GCF_011125445.2,SRR4781382,Fundulus_heteroclitus,PRJNA323589
SAMN05930422,BP-27,GCF_011125445.2,SRR4781386,Fundulus_heteroclitus,PRJNA323589
SAMN05930421,BP-26,GCF_011125445.2,SRR4781390,Fundulus_heteroclitus,PRJNA323589
SAMN05930528,F-33,GCF_011125445.2,SRR4781394,Fundulus_heteroclitus,PRJNA323589
SAMN05930526,F-31,GCF_011125445.2,SRR4781400,Fundulus_heteroclitus,PRJNA323589
SAMN05930527,F-32,GCF_011125445.2,SRR4781403,Fundulus_heteroclitus,PRJNA323589
SAMN05930524,F-2,GCF_011125445.2,SRR4781406,Fundulus_heteroclitus,PRJNA323589
SAMN05930525,F-30,GCF_011125445.2,SRR4781410,Fundulus_heteroclitus,PRJNA323589
SAMN05930522,F-28,GCF_011125445.2,SRR4781413,Fundulus_heteroclitus,PRJNA323589
SAMN05930523,F-29,GCF_011125445.2,SRR4781415,Fundulus_heteroclitus,PRJNA323589
SAMN05930520,F-26,GCF_011125445.2,SRR4781417,Fundulus_heteroclitus,PRJNA323589
SAMN05930521,F-27,GCF_011125445.2,SRR4781419,Fundulus_heteroclitus,PRJNA323589
SAMN05930511,F-18,GCF_011125445.2,SRR4781420,Fundulus_heteroclitus,PRJNA323589
SAMN05930510,F-17,GCF_011125445.2,SRR4781426,Fundulus_heteroclitus,PRJNA323589
SAMN05930515,F-21,GCF_011125445.2,SRR4781431,Fundulus_heteroclitus,PRJNA323589
SAMN05930514,F-20,GCF_011125445.2,SRR4781433,Fundulus_heteroclitus,PRJNA323589
SAMN05930513,F-1,GCF_011125445.2,SRR4781436,Fundulus_heteroclitus,PRJNA323589
SAMN05930512,F-19,GCF_011125445.2,SRR4781439,Fundulus_heteroclitus,PRJNA323589
SAMN05930519,F-25,GCF_011125445.2,SRR4781443,Fundulus_heteroclitus,PRJNA323589
SAMN05930518,F-24,GCF_011125445.2,SRR4781446,Fundulus_heteroclitus,PRJNA323589
SAMN05930517,F-23,GCF_011125445.2,SRR4781448,Fundulus_heteroclitus,PRJNA323589
SAMN05930419,BP-24,GCF_011125445.2,SRR4781457,Fundulus_heteroclitus,PRJNA323589
SAMN05930420,BP-25,GCF_011125445.2,SRR4781460,Fundulus_heteroclitus,PRJNA323589
SAMN05930417,BP-22,GCF_011125445.2,SRR4781462,Fundulus_heteroclitus,PRJNA323589
SAMN05930418,BP-23,GCF_011125445.2,SRR4781466,Fundulus_heteroclitus,PRJNA323589
SAMN05930415,BP-20,GCF_011125445.2,SRR4781469,Fundulus_heteroclitus,PRJNA323589
SAMN05930413,BP-19,GCF_011125445.2,SRR4781475,Fundulus_heteroclitus,PRJNA323589
SAMN05930414,BP-1,GCF_011125445.2,SRR4781477,Fundulus_heteroclitus,PRJNA323589
SAMN05930411,BP-17,GCF_011125445.2,SRR4781480,Fundulus_heteroclitus,PRJNA323589
SAMN05930537,F-45,GCF_011125445.2,SRR4781487,Fundulus_heteroclitus,PRJNA323589
SAMN05930536,F-44,GCF_011125445.2,SRR4781490,Fundulus_heteroclitus,PRJNA323589
SAMN05930539,F-47,GCF_011125445.2,SRR4781493,Fundulus_heteroclitus,PRJNA323589
SAMN05930538,F-46,GCF_011125445.2,SRR4781495,Fundulus_heteroclitus,PRJNA323589
SAMN05930533,F-41,GCF_011125445.2,SRR4781500,Fundulus_heteroclitus,PRJNA323589
SAMN05930532,F-40,GCF_011125445.2,SRR4781504,Fundulus_heteroclitus,PRJNA323589
SAMN05930535,F-43,GCF_011125445.2,SRR4781508,Fundulus_heteroclitus,PRJNA323589
SAMN05930534,F-42,GCF_011125445.2,SRR4781511,Fundulus_heteroclitus,PRJNA323589
SAMN05930531,F-39,GCF_011125445.2,SRR4781514,Fundulus_heteroclitus,PRJNA323589
SAMN05930451,BP-7,GCF_011125445.2,SRR4781519,Fundulus_heteroclitus,PRJNA323589
SAMN05930452,BP-8,GCF_011125445.2,SRR4781521,Fundulus_heteroclitus,PRJNA323589
SAMN05930540,F-49,GCF_011125445.2,SRR4781522,Fundulus_heteroclitus,PRJNA323589
SAMN05930541,F-4,GCF_011125445.2,SRR4781524,Fundulus_heteroclitus,PRJNA323589
SAMN05930542,F-50,GCF_011125445.2,SRR4781525,Fundulus_heteroclitus,PRJNA323589
SAMN05930543,F-51,GCF_011125445.2,SRR4781527,Fundulus_heteroclitus,PRJNA323589
SAMN05930544,F-52,GCF_011125445.2,SRR4781528,Fundulus_heteroclitus,PRJNA323589
SAMN05930545,F-53,GCF_011125445.2,SRR4781530,Fundulus_heteroclitus,PRJNA323589
SAMN05930546,F-54,GCF_011125445.2,SRR4781534,Fundulus_heteroclitus,PRJNA323589
SAMN05930547,F-5,GCF_011125445.2,SRR4781538,Fundulus_heteroclitus,PRJNA323589
SAMN05930548,F-6,GCF_011125445.2,SRR4781542,Fundulus_heteroclitus,PRJNA323589
SAMN05930549,F-7,GCF_011125445.2,SRR4781545,Fundulus_heteroclitus,PRJNA323589
SAMN05930637,NBH-47,GCF_011125445.2,SRR4781548,Fundulus_heteroclitus,PRJNA323589
SAMN05930638,NBH-48,GCF_011125445.2,SRR4781552,Fundulus_heteroclitus,PRJNA323589
SAMN05930551,F-9,GCF_011125445.2,SRR4781555,Fundulus_heteroclitus,PRJNA323589
SAMN05930550,F-8,GCF_011125445.2,SRR4781558,Fundulus_heteroclitus,PRJNA323589
SAMN05930606,NBH-18,GCF_011125445.2,SRR4781559,Fundulus_heteroclitus,PRJNA323589
SAMN05930605,NBH-17,GCF_011125445.2,SRR4781561,Fundulus_heteroclitus,PRJNA323589
SAMN05930604,NBH-16,GCF_011125445.2,SRR4781562,Fundulus_heteroclitus,PRJNA323589
SAMN05930603,NBH-14,GCF_011125445.2,SRR4781565,Fundulus_heteroclitus,PRJNA323589
SAMN05930602,NBH-13,GCF_011125445.2,SRR4781566,Fundulus_heteroclitus,PRJNA323589
SAMN05930601,NBH-12,GCF_011125445.2,SRR4781568,Fundulus_heteroclitus,PRJNA323589
SAMN05930599,NBH-10,GCF_011125445.2,SRR4781572,Fundulus_heteroclitus,PRJNA323589
SAMN05930366,BI-23,GCF_011125445.2,SRR4781574,Fundulus_heteroclitus,PRJNA323589
SAMN05930365,BI-22,GCF_011125445.2,SRR4781576,Fundulus_heteroclitus,PRJNA323589
SAMN05930364,BI-21,GCF_011125445.2,SRR4781578,Fundulus_heteroclitus,PRJNA323589
SAMN05930363,BI-20,GCF_011125445.2,SRR4781581,Fundulus_heteroclitus,PRJNA323589
SAMN05930370,BI-27,GCF_011125445.2,SRR4781585,Fundulus_heteroclitus,PRJNA323589
SAMN05930369,BI-26,GCF_011125445.2,SRR4781591,Fundulus_heteroclitus,PRJNA323589
SAMN05930368,BI-25,GCF_011125445.2,SRR4781593,Fundulus_heteroclitus,PRJNA323589
SAMN05930367,BI-24,GCF_011125445.2,SRR4781596,Fundulus_heteroclitus,PRJNA323589
SAMN05930639,NBH-49,GCF_011125445.2,SRR4781599,Fundulus_heteroclitus,PRJNA323589
SAMN05930640,NBH-4,GCF_011125445.2,SRR4781604,Fundulus_heteroclitus,PRJNA323589
SAMN05930641,NBH-56,GCF_011125445.2,SRR4781607,Fundulus_heteroclitus,PRJNA323589
SAMN05930362,BI-19,GCF_011125445.2,SRR4781610,Fundulus_heteroclitus,PRJNA323589
SAMN05930361,BI-17,GCF_011125445.2,SRR4781612,Fundulus_heteroclitus,PRJNA323589
SAMN05930645,NBH-8,GCF_011125445.2,SRR4781614,Fundulus_heteroclitus,PRJNA323589
SAMN05930646,NBH-9,GCF_011125445.2,SRR4781616,Fundulus_heteroclitus,PRJNA323589
SAMN05930442,BP-48,GCF_011125445.2,SRR4781618,Fundulus_heteroclitus,PRJNA323589
SAMN05930441,BP-47,GCF_011125445.2,SRR4781621,Fundulus_heteroclitus,PRJNA323589
SAMN05930446,BP-51,GCF_011125445.2,SRR4781626,Fundulus_heteroclitus,PRJNA323589
SAMN05930445,BP-50,GCF_011125445.2,SRR4781629,Fundulus_heteroclitus,PRJNA323589
SAMN05930444,BP-4,GCF_011125445.2,SRR4781633,Fundulus_heteroclitus,PRJNA323589
SAMN05930443,BP-49,GCF_011125445.2,SRR4781638,Fundulus_heteroclitus,PRJNA323589
SAMN05930450,BP-6,GCF_011125445.2,SRR4781642,Fundulus_heteroclitus,PRJNA323589
SAMN05930448,BP-53,GCF_011125445.2,SRR4781651,Fundulus_heteroclitus,PRJNA323589
SAMN05930447,BP-52,GCF_011125445.2,SRR4781655,Fundulus_heteroclitus,PRJNA323589
SAMN05930644,NBH-7,GCF_011125445.2,SRR4781657,Fundulus_heteroclitus,PRJNA323589
SAMN05930381,BI-38,GCF_011125445.2,SRR4781666,Fundulus_heteroclitus,PRJNA323589
SAMN05930384,BI-41,GCF_011125445.2,SRR4781671,Fundulus_heteroclitus,PRJNA323589
SAMN05930383,BI-40,GCF_011125445.2,SRR4781675,Fundulus_heteroclitus,PRJNA323589
SAMN05930386,BI-43,GCF_011125445.2,SRR4781678,Fundulus_heteroclitus,PRJNA323589
SAMN05930385,BI-42,GCF_011125445.2,SRR4781682,Fundulus_heteroclitus,PRJNA323589
SAMN05930388,BI-45,GCF_011125445.2,SRR4781684,Fundulus_heteroclitus,PRJNA323589
SAMN05930387,BI-44,GCF_011125445.2,SRR4781694,Fundulus_heteroclitus,PRJNA323589
SAMN05930390,BI-47,GCF_011125445.2,SRR4781696,Fundulus_heteroclitus,PRJNA323589
SAMN05930607,NBH-19,GCF_011125445.2,SRR4781699,Fundulus_heteroclitus,PRJNA323589
SAMN05930608,NBH-1,GCF_011125445.2,SRR4781701,Fundulus_heteroclitus,PRJNA323589
SAMN05930611,NBH-22,GCF_011125445.2,SRR4781702,Fundulus_heteroclitus,PRJNA323589
SAMN05930612,NBH-23,GCF_011125445.2,SRR4781704,Fundulus_heteroclitus,PRJNA323589
SAMN05930609,NBH-20,GCF_011125445.2,SRR4781705,Fundulus_heteroclitus,PRJNA323589
SAMN05930610,NBH-21,GCF_011125445.2,SRR4781707,Fundulus_heteroclitus,PRJNA323589
SAMN05930615,NBH-26,GCF_011125445.2,SRR4781709,Fundulus_heteroclitus,PRJNA323589
SAMN05930616,NBH-27,GCF_011125445.2,SRR4781711,Fundulus_heteroclitus,PRJNA323589
SAMN05930613,NBH-24,GCF_011125445.2,SRR4781713,Fundulus_heteroclitus,PRJNA323589
SAMN05930614,NBH-25,GCF_011125445.2,SRR4781714,Fundulus_heteroclitus,PRJNA323589
SAMN05930357,BI-11,GCF_011125445.2,SRR4781716,Fundulus_heteroclitus,PRJNA323589
SAMN05930358,BI-12,GCF_011125445.2,SRR4781718,Fundulus_heteroclitus,PRJNA323589
SAMN05930359,BI-14,GCF_011125445.2,SRR4781720,Fundulus_heteroclitus,PRJNA323589
SAMN05930360,BI-15,GCF_011125445.2,SRR4781721,Fundulus_heteroclitus,PRJNA323589
SAMN05930506,F-13,GCF_011125445.2,SRR4781722,Fundulus_heteroclitus,PRJNA323589
SAMN05930356,BI-10,GCF_011125445.2,SRR4781723,Fundulus_heteroclitus,PRJNA323589
SAMN05930431,BP-38,GCF_011125445.2,SRR4781724,Fundulus_heteroclitus,PRJNA323589
SAMN05930432,BP-39,GCF_011125445.2,SRR4781725,Fundulus_heteroclitus,PRJNA323589
SAMN05930437,BP-43,GCF_011125445.2,SRR4781726,Fundulus_heteroclitus,PRJNA323589
SAMN05930438,BP-44,GCF_011125445.2,SRR4781728,Fundulus_heteroclitus,PRJNA323589
SAMN05930439,BP-45,GCF_011125445.2,SRR4781730,Fundulus_heteroclitus,PRJNA323589
SAMN05930433,BP-3,GCF_011125445.2,SRR4781733,Fundulus_heteroclitus,PRJNA323589
SAMN05930434,BP-40,GCF_011125445.2,SRR4781735,Fundulus_heteroclitus,PRJNA323589
SAMN05930435,BP-41,GCF_011125445.2,SRR4781736,Fundulus_heteroclitus,PRJNA323589
SAMN05930436,BP-42,GCF_011125445.2,SRR4781738,Fundulus_heteroclitus,PRJNA323589
SAMN05930507,F-14,GCF_011125445.2,SRR4781740,Fundulus_heteroclitus,PRJNA323589
SAMN05930371,BI-28,GCF_011125445.2,SRR4781741,Fundulus_heteroclitus,PRJNA323589
SAMN05930372,BI-29,GCF_011125445.2,SRR4781743,Fundulus_heteroclitus,PRJNA323589
SAMN05930375,BI-32,GCF_011125445.2,SRR4781745,Fundulus_heteroclitus,PRJNA323589
SAMN05930376,BI-33,GCF_011125445.2,SRR4781747,Fundulus_heteroclitus,PRJNA323589
SAMN05930374,BI-30,GCF_011125445.2,SRR4781750,Fundulus_heteroclitus,PRJNA323589
SAMN05930379,BI-36,GCF_011125445.2,SRR4781752,Fundulus_heteroclitus,PRJNA323589
SAMN05930380,BI-37,GCF_011125445.2,SRR4781753,Fundulus_heteroclitus,PRJNA323589
SAMN05930618,NBH-29,GCF_011125445.2,SRR4781758,Fundulus_heteroclitus,PRJNA323589
SAMN05930617,NBH-28,GCF_011125445.2,SRR4781760,Fundulus_heteroclitus,PRJNA323589
SAMN05930620,NBH-30,GCF_011125445.2,SRR4781761,Fundulus_heteroclitus,PRJNA323589
SAMN05930619,NBH-2,GCF_011125445.2,SRR4781763,Fundulus_heteroclitus,PRJNA323589
SAMN05930621,NBH-31,GCF_011125445.2,SRR4781766,Fundulus_heteroclitus,PRJNA323589
SAMN05930624,NBH-34,GCF_011125445.2,SRR4781769,Fundulus_heteroclitus,PRJNA323589
SAMN05930623,NBH-33,GCF_011125445.2,SRR4781770,Fundulus_heteroclitus,PRJNA323589
SAMN05930626,NBH-36,GCF_011125445.2,SRR4781772,Fundulus_heteroclitus,PRJNA323589
SAMN05930402,BI-8,GCF_011125445.2,SRR4781775,Fundulus_heteroclitus,PRJNA323589
SAMN05930401,BI-7,GCF_011125445.2,SRR4781777,Fundulus_heteroclitus,PRJNA323589
SAMN05930508,F-15,GCF_011125445.2,SRR4781780,Fundulus_heteroclitus,PRJNA323589
SAMN05930509,F-16,GCF_011125445.2,SRR4781784,Fundulus_heteroclitus,PRJNA323589
SAMN05930453,BP-9,GCF_011125445.2,SRR4781789,Fundulus_heteroclitus,PRJNA323589
SAMN05930504,F-11,GCF_011125445.2,SRR4781793,Fundulus_heteroclitus,PRJNA323589
SAMN05930505,F-12,GCF_011125445.2,SRR4781796,Fundulus_heteroclitus,PRJNA323589
SAMN05930410,BP-16,GCF_011125445.2,SRR4781798,Fundulus_heteroclitus,PRJNA323589
SAMN05930409,BP-15,GCF_011125445.2,SRR4781801,Fundulus_heteroclitus,PRJNA323589
SAMN05930408,BP-14,GCF_011125445.2,SRR4781802,Fundulus_heteroclitus,PRJNA323589
SAMN05930406,BP-12,GCF_011125445.2,SRR4781806,Fundulus_heteroclitus,PRJNA323589
SAMN05930405,BP-11,GCF_011125445.2,SRR4781808,Fundulus_heteroclitus,PRJNA323589
SAMN05930404,BP-10,GCF_011125445.2,SRR4781810,Fundulus_heteroclitus,PRJNA323589
SAMN05930403,BI-9,GCF_011125445.2,SRR4781812,Fundulus_heteroclitus,PRJNA323589
SAMN05930627,NBH-37,GCF_011125445.2,SRR4781814,Fundulus_heteroclitus,PRJNA323589
SAMN05930628,NBH-38,GCF_011125445.2,SRR4781816,Fundulus_heteroclitus,PRJNA323589
SAMN05930633,NBH-43,GCF_011125445.2,SRR4781818,Fundulus_heteroclitus,PRJNA323589
SAMN05930635,NBH-45,GCF_011125445.2,SRR4781821,Fundulus_heteroclitus,PRJNA323589
SAMN05930636,NBH-46,GCF_011125445.2,SRR4781823,Fundulus_heteroclitus,PRJNA323589
SAMN05930629,NBH-39,GCF_011125445.2,SRR4781824,Fundulus_heteroclitus,PRJNA323589
SAMN05930630,NBH-40,GCF_011125445.2,SRR4781826,Fundulus_heteroclitus,PRJNA323589
SAMN05930631,NBH-41,GCF_011125445.2,SRR4781828,Fundulus_heteroclitus,PRJNA323589
SAMN05930632,NBH-42,GCF_011125445.2,SRR4781830,Fundulus_heteroclitus,PRJNA323589
SAMN05930683,NYC-51,GCF_011125445.2,SRR7208806,Fundulus_heteroclitus,PRJNA323589
SAMN05930685,NYC-53,GCF_011125445.2,SRR7208808,Fundulus_heteroclitus,PRJNA323589
SAMN05930686,NYC-54,GCF_011125445.2,SRR7208811,Fundulus_heteroclitus,PRJNA323589
SAMN05930689,NYC-9,GCF_011125445.2,SRR7208812,Fundulus_heteroclitus,PRJNA323589
SAMN05930484,ER-42,GCF_011125445.2,SRR7208814,Fundulus_heteroclitus,PRJNA323589
SAMN05930485,ER-43,GCF_011125445.2,SRR7208817,Fundulus_heteroclitus,PRJNA323589
SAMN05930488,ER-46,GCF_011125445.2,SRR7208818,Fundulus_heteroclitus,PRJNA323589
SAMN05930490,ER-48,GCF_011125445.2,SRR7208820,Fundulus_heteroclitus,PRJNA323589
SAMN05930489,ER-47,GCF_011125445.2,SRR7208821,Fundulus_heteroclitus,PRJNA323589
SAMN05930491,ER-49,GCF_011125445.2,SRR7208823,Fundulus_heteroclitus,PRJNA323589
SAMN05930671,NYC-34,GCF_011125445.2,SRR7208825,Fundulus_heteroclitus,PRJNA323589
SAMN05930716,SH-26,GCF_011125445.2,SRR7208828,Fundulus_heteroclitus,PRJNA323589
SAMN05930718,SH-28,GCF_011125445.2,SRR7208830,Fundulus_heteroclitus,PRJNA323589
SAMN05930712,SH-22,GCF_011125445.2,SRR7208832,Fundulus_heteroclitus,PRJNA323589
SAMN05930713,SH-23,GCF_011125445.2,SRR7208833,Fundulus_heteroclitus,PRJNA323589
SAMN05930715,SH-25,GCF_011125445.2,SRR7208835,Fundulus_heteroclitus,PRJNA323589
SAMN05930650,NYC-13,GCF_011125445.2,SRR7208836,Fundulus_heteroclitus,PRJNA323589
SAMN05930494,ER-52,GCF_011125445.2,SRR7208839,Fundulus_heteroclitus,PRJNA323589
SAMN05930498,ER-56,GCF_011125445.2,SRR7208841,Fundulus_heteroclitus,PRJNA323589
SAMN05930496,ER-54,GCF_011125445.2,SRR7208843,Fundulus_heteroclitus,PRJNA323589
