Organism,BioProject,BioSample,Run,LibraryName,refGenome
Gasterosteus_aculeatus,PRJDB2614,SAMD00013064,DRR032274,library_SAMD00013064,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB2614,SAMD00013068,DRR032275,library_SAMD00013068,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB2614,SAMD00013057,DRR032276,library_SAMD00013057,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB2614,SAMD00013056,DRR032277,library_SAMD00013056,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056765,DRR066576,library_SAMD00056765,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056767,DRR066578,library_SAMD00056767,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056772,DRR066583,library_SAMD00056772,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056774,DRR066585,library_SAMD00056774,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056779,DRR066590,library_SAMD00056779,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056780,DRR066591,library_SAMD00056780,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056784,DRR066595,library_SAMD00056784,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056786,DRR066597,library_SAMD00056786,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056794,DRR066605,library_SAMD00056794,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056795,DRR066606,library_SAMD00056795,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056797,DRR066608,library_SAMD00056797,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056766,DRR066577,library_SAMD00056766,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056770,DRR066581,library_SAMD00056770,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056773,DRR066584,library_SAMD00056773,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056775,DRR066586,library_SAMD00056775,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056777,DRR066588,library_SAMD00056777,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056778,DRR066589,library_SAMD00056778,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056781,DRR066592,library_SAMD00056781,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056783,DRR066594,library_SAMD00056783,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056785,DRR066596,library_SAMD00056785,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056790,DRR066601,library_SAMD00056790,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056791,DRR066602,library_SAMD00056791,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056793,DRR066604,library_SAMD00056793,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056796,DRR066607,library_SAMD00056796,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056801,DRR066612,library_SAMD00056801,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056802,DRR066613,library_SAMD00056802,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056803,DRR066614,library_SAMD00056803,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056776,DRR066587,library_SAMD00056776,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056782,DRR066593,library_SAMD00056782,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056764,DRR066575,library_SAMD00056764,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056769,DRR066580,library_SAMD00056769,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056798,DRR066609,library_SAMD00056798,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056799,DRR066610,library_SAMD00056799,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056787,DRR066598,library_SAMD00056787,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056768,DRR066579,library_SAMD00056768,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056800,DRR066611,library_SAMD00056800,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056792,DRR066603,library_SAMD00056792,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056789,DRR066600,library_SAMD00056789,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056788,DRR066599,library_SAMD00056788,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5056,SAMD00056771,DRR066582,library_SAMD00056771,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5097,SAMD00057639,DRR067125,library_SAMD00057639,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5097,SAMD00057640,DRR067126,library_SAMD00057640,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5097,SAMD00057642,DRR067128,library_SAMD00057642,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5097,SAMD00057643,DRR067129,library_SAMD00057643,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5097,SAMD00057645,DRR067131,library_SAMD00057645,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5097,SAMD00057641,DRR067127,library_SAMD00057641,GCA_000180675.1
Gasterosteus_aculeatus,PRJDB5097,SAMD00057644,DRR067130,library_SAMD00057644,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385615,ERR1599894,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385615,ERR1599895,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385616,ERR1599896,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385616,ERR1599897,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385617,ERR1599898,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385617,ERR1599899,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385618,ERR1599900,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385620,ERR1599902,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385621,ERR1599903,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385622,ERR1599904,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385623,ERR1599905,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385624,ERR1599906,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385625,ERR1599907,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385626,ERR1599908,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385627,ERR1599909,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385627,ERR1599910,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385628,ERR1599911,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385628,ERR1599912,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385629,ERR1599913,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385629,ERR1599914,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB15181,SAMEA4385619,ERR1599901,unspecified,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338557,ERR407002,NG-5241_4kb.BS10,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338582,ERR407003,NG-5241_4kb.BS11,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338545,ERR407004,NG-5241_4kb.BS12,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338575,ERR407006,NG-5241_4kb.BS14,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338595,ERR407007,NG-5241_4kb.BS15,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338584,ERR407009,NG-5241_4kb.BS17,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338541,ERR407010,NG-5241_4kb.BS18,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338539,ERR407011,NG-5241_4kb.BS19,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338587,ERR407012,NG-5241_4kb.BS1,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338592,ERR407013,NG-5241_4kb.BS20,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338560,ERR407014,NG-5241_4kb.BS21,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338549,ERR407015,NG-5241_4kb.BS22,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338581,ERR407016,NG-5241_4kb.BS23,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338567,ERR407017,NG-5241_4kb.BS24,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA1523621,ERR407018,NG-5241_4kb.BS25,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA1523618,ERR407019,NG-5241_4kb.BS26,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA1523619,ERR407021,NG-5241_4kb.BS28,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA1523623,ERR407022,NG-5241_4kb.BS29,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338598,ERR407023,NG-5241_4kb.BS2,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA1523620,ERR407024,NG-5241_4kb.BS30,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338569,ERR407025,NG-5241_4kb.BS3,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338546,ERR407026,NG-5241_4kb.BS4,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338559,ERR407027,NG-5241_4kb.BS5,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338594,ERR407028,NG-5241_4kb.BS6,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338552,ERR407029,NG-5241_4kb.BS7,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338579,ERR407030,NG-5241_4kb.BS8,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338593,ERR407031,NG-5241_4kb.BS9,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338557,ERR407032,NG-5241_STD.BS10,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338557,ERR407034,NG-5241_STD.BS10,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338557,ERR407035,NG-5241_STD.BS10,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338557,ERR407036,NG-5241_STD.BS10,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338557,ERR407038,NG-5241_STD.BS10,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338582,ERR407042,NG-5241_STD.BS11,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338582,ERR407043,NG-5241_STD.BS11,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338582,ERR407044,NG-5241_STD.BS11,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338582,ERR407045,NG-5241_STD.BS11,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338545,ERR407046,NG-5241_STD.BS12,GCA_000180675.1
Gasterosteus_aculeatus,PRJEB5198,SAMEA2338545,ERR407047,NG-5241_STD.BS12,GCA_000180675.1
