Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hippocampus_comes,PRJNA612146,SAMN14363155,SRR12601685,77,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363153,SRR12601687,75,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363152,SRR12601688,74,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363150,SRR12601834,72,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363147,SRR12601838,69,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363146,SRR12601839,68,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363144,SRR12601841,66,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363160,SRR12601679,82,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363159,SRR12601680,81,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363158,SRR12601682,80,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363157,SRR12601683,79,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363156,SRR12601684,78,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363154,SRR12601686,76,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363151,SRR12601689,73,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363149,SRR12601835,71,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363145,SRR12601840,67,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363143,SRR12601842,65,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363148,SRR12601837,70,GCF_001891065.1
Hippocampus_comes,PRJNA612146,SAMN14363161,SRR12601678,83,GCF_001891065.1
