BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome
PRJNA612146,SAMN14363155,Hippocampus_comes,missing,Hcm_14,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363153,Hippocampus_comes,missing,Hcm_12,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363152,Hippocampus_comes,missing,Hcm_11,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363150,Hippocampus_comes,missing,Hcm_9,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363147,Hippocampus_comes,missing,Hcm_5,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363146,Hippocampus_comes,missing,Hcm_4,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363144,Hippocampus_comes,missing,Hcm_2,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363160,Hippocampus_comes,missing,Hcm_19,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363159,Hippocampus_comes,missing,Hcm_18,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363158,Hippocampus_comes,missing,Hcm_17,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363157,Hippocampus_comes,missing,Hcm_16,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363156,Hippocampus_comes,missing,Hcm_15,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363154,Hippocampus_comes,missing,Hcm_13,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363151,Hippocampus_comes,missing,Hcm_10,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363149,Hippocampus_comes,missing,Hcm_8,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363145,Hippocampus_comes,missing,Hcm_3,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363143,Hippocampus_comes,missing,Hcm_1,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363148,Hippocampus_comes,missing,Hcm_7,Banjarmasin,NA,Malaysia,GCF_001891065.1
PRJNA612146,SAMN14363161,Hippocampus_comes,missing,Hcm_20,Banjarmasin,NA,Malaysia,GCF_001891065.1
