BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363178,100,GCF_001891065.1,SRR12601660,Hippocampus_erectus,PRJNA612146
SAMN14363177,99,GCF_001891065.1,SRR12601661,Hippocampus_erectus,PRJNA612146
SAMN14363175,97,GCF_001891065.1,SRR12601663,Hippocampus_erectus,PRJNA612146
SAMN14363174,96,GCF_001891065.1,SRR12601664,Hippocampus_erectus,PRJNA612146
SAMN14363172,94,GCF_001891065.1,SRR12601666,Hippocampus_erectus,PRJNA612146
SAMN14363170,92,GCF_001891065.1,SRR12601668,Hippocampus_erectus,PRJNA612146
SAMN14363189,111,GCF_001891065.1,SRR12601931,Hippocampus_erectus,PRJNA612146
SAMN14363188,110,GCF_001891065.1,SRR12601933,Hippocampus_erectus,PRJNA612146
SAMN14363187,109,GCF_001891065.1,SRR12601934,Hippocampus_erectus,PRJNA612146
SAMN14363185,107,GCF_001891065.1,SRR12601936,Hippocampus_erectus,PRJNA612146
SAMN14363184,106,GCF_001891065.1,SRR12601937,Hippocampus_erectus,PRJNA612146
SAMN14363176,98,GCF_001891065.1,SRR12601662,Hippocampus_erectus,PRJNA612146
SAMN14363173,95,GCF_001891065.1,SRR12601665,Hippocampus_erectus,PRJNA612146
SAMN14363171,93,GCF_001891065.1,SRR12601667,Hippocampus_erectus,PRJNA612146
SAMN14363169,91,GCF_001891065.1,SRR12601669,Hippocampus_erectus,PRJNA612146
SAMN14363186,108,GCF_001891065.1,SRR12601935,Hippocampus_erectus,PRJNA612146
SAMN14363183,105,GCF_001891065.1,SRR12601938,Hippocampus_erectus,PRJNA612146
SAMN14363181,103,GCF_001891065.1,SRR12601940,Hippocampus_erectus,PRJNA612146
SAMN14363179,101,GCF_001891065.1,SRR12602014,Hippocampus_erectus,PRJNA612146
SAMN14363180,102,GCF_001891065.1,SRR12601941,Hippocampus_erectus,PRJNA612146
SAMN14363182,104,GCF_001891065.1,SRR12601939,Hippocampus_erectus,PRJNA612146
