Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hippocampus_hippocampus,PRJNA612146,SAMN14363212,SRR12601906,134,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363210,SRR12601908,132,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363223,SRR12601966,145,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363222,SRR12601967,144,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363217,SRR12601973,139,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363215,SRR12601975,137,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363214,SRR12601976,136,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363211,SRR12601907,133,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363221,SRR12601968,143,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363219,SRR12601970,141,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363216,SRR12601974,138,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363213,SRR12601977,135,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363220,SRR12601969,142,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363224,SRR12601965,146,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363209,SRR12601909,131,GCF_001891065.1
Hippocampus_hippocampus,PRJNA612146,SAMN14363218,SRR12601972,140,GCF_001891065.1
