Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hippocampus_histrix,PRJNA612146,SAMN14363244,SRR12601943,166,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363242,SRR12601945,164,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363240,SRR12601947,162,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363237,SRR12601951,159,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363235,SRR12601953,157,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363233,SRR12601955,155,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363232,SRR12601956,154,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363230,SRR12601958,152,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363229,SRR12601959,151,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363228,SRR12601961,150,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363226,SRR12601963,148,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363225,SRR12601964,147,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363246,SRR12601905,168,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363245,SRR12601942,167,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363243,SRR12601944,165,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363241,SRR12601946,163,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363239,SRR12601948,161,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363236,SRR12601952,158,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363234,SRR12601954,156,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363231,SRR12601957,153,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363227,SRR12601962,149,GCF_001891065.1
Hippocampus_histrix,PRJNA612146,SAMN14363238,SRR12601950,160,GCF_001891065.1
