BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome
PRJNA612146,SAMN14363244,Hippocampus_histrix,missing,Hht_20,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363242,Hippocampus_histrix,missing,Hht_18,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363240,Hippocampus_histrix,missing,Hht_16,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363237,Hippocampus_histrix,missing,Hht_13,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363235,Hippocampus_histrix,missing,Hht_11,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363233,Hippocampus_histrix,missing,Hht_9,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363232,Hippocampus_histrix,missing,Hht_8,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363230,Hippocampus_histrix,missing,Hht_6,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363229,Hippocampus_histrix,missing,Hht_5,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363228,Hippocampus_histrix,missing,Hht_4,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363226,Hippocampus_histrix,missing,Hht_2,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363225,Hippocampus_histrix,missing,Hht_1,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363246,Hippocampus_histrix,missing,Hht_22,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363245,Hippocampus_histrix,missing,Hht_21,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363243,Hippocampus_histrix,missing,Hht_19,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363241,Hippocampus_histrix,missing,Hht_17,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363239,Hippocampus_histrix,missing,Hht_15,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363236,Hippocampus_histrix,missing,Hht_12,Brunei Bay,NA,Philippines,GCF_001891065.1
PRJNA612146,SAMN14363234,Hippocampus_histrix,missing,Hht_10,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363231,Hippocampus_histrix,missing,Hht_7,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363227,Hippocampus_histrix,missing,Hht_3,Nha Trang,NA,Vietnum,GCF_001891065.1
PRJNA612146,SAMN14363238,Hippocampus_histrix,missing,Hht_14,Brunei Bay,NA,Philippines,GCF_001891065.1
