Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hippocampus_ingens,PRJNA612146,SAMN14363266,SRR12601883,188,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363264,SRR12601885,186,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363261,SRR12601888,183,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363259,SRR12601890,181,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363258,SRR12601892,180,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363256,SRR12601894,178,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363250,SRR12601900,172,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363247,SRR12601904,169,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363265,SRR12601884,187,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363263,SRR12601886,185,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363262,SRR12601887,184,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363260,SRR12601889,182,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363257,SRR12601893,179,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363253,SRR12601897,175,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363251,SRR12601899,173,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363249,SRR12601901,171,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363248,SRR12601903,170,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363255,SRR12601895,177,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363254,SRR12601896,176,GCF_001891065.1
Hippocampus_ingens,PRJNA612146,SAMN14363252,SRR12601898,174,GCF_001891065.1
